iId;sCountry;sRegion
1;Alžírsko;Aus|Afr|JAm
2;Argentina;Aus|Afr|JAm
3;Austrálie;Aus|Afr|JAm
4;Belgie;Evropa
5;Bosna a Hercegovina;Evropa
6;Brazílie;Aus|Afr|JAm
7;Bulharsko;Evropa
8;Česko;Cz/Sk
9;Československo;Cz/Sk
10;Čína;Asie
11;Dánsko;Evropa
12;Estonsko;Evropa
13;Fed. rep. Jugoslávie;Evropa
14;Filipíny;Asie
15;Finsko;Evropa
16;Francie;FR
17;Gruzie;Asie
18;Hongkong;JP|KR|HK
19;Chorvatsko;Evropa
20;Indie;Asie
21;Írán;Asie
22;Irsko;Evropa
23;Island;Evropa
24;Itálie;IT
25;Izrael;Evropa
26;Japonsko;JP|KR|HK
27;Jihoafrická republika;Aus|Afr|JAm
28;Jižní Korea;JP|KR|HK
29;Jugoslávie;Evropa
30;Kanada;US|Kan
31;Libanon;Asie
32;Lucembursko;Evropa
33;Maďarsko;Evropa
34;Makedonie;Evropa
35;Mexiko;Aus|Afr|JAm
36;Německá říše;Evropa
37;Německo;Evropa
38;Nizozemsko;Evropa
39;Norsko;Evropa
40;Nový Zéland;Aus|Afr|JAm
41;Polsko;Evropa
42;Protektorát Čechy a Morava;Cz/Sk
43;Rakousko;Evropa
44;Rumunsko;Evropa
45;Rusko;Evropa
46;Řecko;Evropa
47;Severní Makedonie;Evropa
48;Slovensko;Cz/Sk
49;Slovinsko;Evropa
50;Sovětský svaz;Evropa
51;Spojené arabské emiráty;Asie
52;Spojené království;UK
53;Srbsko;Evropa
54;Španělsko;Evropa
55;Švédsko;Evropa
56;Švýcarsko;Evropa
57;Thajsko;Asie
58;Turecko;Asie
59;USA;US|Kan
60;Velká Británie;UK
61;Východní Německo;Evropa
62;Západní Německo;Evropa
