sCountry;sFormerCountry;sContinent;sAdjective
Alžírsko;;Afrika;alžírs
Argentina;;Jižní_Amerika;argentinsk
Austrálie;;Austrálie;australsk
Belgie;;Evropa;belgick
Bělorusko;SSSR;Evropa;bělorusk
Bosna_a_Hercegovina;Jugoslávie;Evropa;
Brazílie;;Jižní_Amerika;brazilsk
Bulharsko;;Evropa;bulharsk
Česko;ČS;Evropa;česk
Československo;ČS;Evropa;československ
Čína;;Východní_Asie;čínsk
Dánsko;;Evropa;dánsk
Demokratická_republika_Kongo;;Afrika;konžsk
Egypt;;Afrika;egyptsk
Estonsko;SSSR;Evropa;estonsk
Fed._rep._Jugoslávie;Jugoslávie;Evropa;
Filipíny;;Asie;filipín
Finsko;;Evropa;finsk
Francie;;Evropa;francouzs
Ghana;;Afrika;ghansk
Gruzie;SSSR;Asie;gruzínsk
Hongkong;;Východní_Asie;hongkon
Chile;;Jižní_Amerika;chilsk
Indie;;Asie;indick
Indonésie;;Asie;indonésk
Írán;;Asie;íránsk
Irsko;;Evropa;irsk
Island;;Evropa;islandsk
Itálie;;Evropa;italsk
Izrael;;Evropa;izraelsk
Japonsko;;Východní_Asie;japonsk
Jihoafrická_republika;;Afrika;jihoafrick
Jižní_Korea;;Východní_Asie;jihokorejsk
Jordánsko;;Asie;jordánsk
Jugoslávie;Jugoslávie;Evropa;jugoslávsk
Kambodža;;Afrika;kambodžsk
Kanada;;Severní_Amerika;kanadsk
Kolumbie;;Jižní_Amerika;kolumbijsk
Libanon;;Asie;libanonsk
Litva;SSSR;Evropa;litevsk
Lotyšsko;SSSR;Evropa;lotyšsk
Lucembursko;;Evropa;lucembursk
Maďarsko;;Evropa;maďarsk
Malajsie;;Asie;malajsijsky
Mexiko;;Severní_Amerika;mexick
Mongolsko;;Východní_Asie;mongolsk
Německá_říše;Německo;Evropa;
Německo;Německo;Evropa;
Nizozemsko;;Evropa;nizozemsk
Norsko;;Evropa;norsk
Nový_Zéland;;Austrálie;novozélandsk
Panama;;Jižní_Amerika;panamsk
Polsko;;Evropa;polsk
Protektorát_Čechy_a_Morava;ČS;Evropa;
Rakousko;;Evropa;rakousk
Rumunsko;;Evropa;rumunsk
Rusko;SSSR;Evropa;rusk
Řecko;;Evropa;řeck
Saúdská_Arábie;;Asie;saúdskoarabsk
Singapur;;Východní_Asie;singapursk
Slovensko;ČS;Evropa;slovensk
Slovinsko;Jugoslávie;Evropa;slovinsk
Sovětský_svaz;SSSR;Evropa;sovětsk
Spojené_arabské_emiráty;;Asie;
Srbsko;Jugoslávie;Evropa;srbsk
Španělsko;;Evropa;španělsk
Švédsko;;Evropa;švédsk
Švýcarsko;;Evropa;švýcarsk
Thajsko;;Asie;thajsk
Tchaj-wan;;Východní_Asie;tchajwansk
Turecko;;Asie;tureck
Uganda;;Afrika;ugandsk
Ukrajina;SSSR;Evropa;ukrajinsk
USA;;Severní_Amerika;americk
Velká_Británie;;Evropa;britsk
Velká_Británie;;Evropa;anglick
Východní_Německo;Německo;Evropa;
Západní_Německo;Německo;Evropa;
Evropa;;;evropsk
Jižní_Amerika;;;jihoamerick
Východní_Asie;;;východoasijsk
Afrika;;;africk
USA;;Severní_Amerika;usa
USA;;Severní_Amerika;us
