idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sPlatforms;sNominated;sWinner;sAuthor
597993;Pásky z Nagana;2018;94.96294553581932;73.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/467/162467520_f9ffb9.jpg;https://www.csfd.cz/film/597993-pasky-z-nagana/;USA / Česko / Kanada;Dokumentární / Sportovní;The Nagano Tapes;Olympijský hokejový Turnaj století v Naganu 1998 trochu z odstupu a nadhledu v dokumentu Ondřeje Hudečka. (Česká televize);;20. století, sláva, trenér, období 1990-2000, emigrace, hokej, turnaj, zápas, olympijské hry, bruslení;Ondřej Hudeček;Dominik Hašek, Jaromír Jágr, Petr Svoboda, Robert Záruba, Ivan Hlinka, Slavomír Lener, Michael Žantovský, Roman Hamrlík, Martin Straka, Giancarlo Esposito;http://www.ceskatelevize.cz<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Ceny české filmové kritiky (1x)<br>;
812944;David Attenborough: Život na naší planetě;2020;94.47720640032203;83.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/809/164809596_2e1d46.jpg;https://www.csfd.cz/film/812944-david-attenborough-zivot-na-nasi-planete/;Velká Británie;Dokumentární;David Attenborough: A Life on Our Planet;Známý moderátor se ohlíží za svým životem a historií vývoje života na Zemi. Truchlí nad ztrátou divočiny a přichází s vlastní vizí budoucnosti. (Netflix);Na VOD od 04.10.2020 Netflix;ekologie, globální oteplování, přelidnění;Alastair Fothergill, Jonathan Hughes, Keith Scholey;David Attenborough, Max Hughes;https://www.netflix.com/title/80216393<br>https://www.netflix.com/<br>https://www.netflix.com/title/80216393<br>https://www.csfd.cz/vod/netflix/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>;;
272622;Nagano 1998 - hokejový turnaj století;1998;93.36376404494382;90.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/449/449787_24d64a.jpg;https://www.csfd.cz/film/272622-nagano-1998-hokejovy-turnaj-stoleti/;Česko;Dokumentární / Sportovní;;Dokument ze zimních olympijských her. Sestřih nejdůležitějších okamžiků ze všech olympijských sportovních soutěží. Největší prostor je věnován spanilé jízdě našich hokejistů ke zlatým medailím, včetně velkolepého přivítání ve vlasti.;;hokej, olympijské hry;Jiří Slezák, Charilaos Karadžos;Jaromír Jágr, Dominik Hašek, Ivan Hlinka, Martin Procházka, Robert Reichel, Jiří Šlégr, Vladimír Růžička, Pavel Patera, Jiří Dopita, Robert Lang;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
42927;Red Dwarf: Smeg Outs;1995;93.7466307277628;51.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/089/168089220_1uz782.jpg;https://www.csfd.cz/film/42927-red-dwarf-smeg-outs/;Velká Británie;Dokumentární / Komedie;;Po roce se vynikající pořad SMEG UPS dočkal pokračování. Autorem scénáře je opět Doug Naylor, kterému vypomáhal Robert Llewellyn a režie se tentokrát ujal režisér mnoha dílů Trpaslíka Ed Bye, který pořad produkoval. Druhý díl se zaměřuje na mnohem více postav než díl první a opět ho uvádí Robert Llewellyn jako Kryton. Opět nás čeká spousta nových přeřeků, popletení textů nebo jejich zapomínání. Uvidíme problémy s rekvizitamy či se zvířaty, podíváme se na dalších 10 nejčastějších otázek,dále např. co říká šéf klubu pozpátku v díle Pozpátku nebo celou verzi písně Tongue Tide.. S hlavnímy členy posádky se seznámíme jednotlivě v klipcích s přebrety. Aby Kryton nebyl na moderování sám, tak mu v tomto díle sekunduje Craig Charles jako Lister. Pořad je sice zaměřen na první tři série, ale obsahuje také záznamy ze setkání fanoušků.Druhý díl je kvalitativně možná lepší než díl první, což bude také způsobeno větší profesionalitou a také větším počtem lidí, jež se na pořadu podílely. Scény z těchto dvou kazet se později objevily na DVD k jednotlivým sériím a k 7.a 8. řadě zatím jako soubor na kazetě nevyšly. Zdali se dočkáme někdy pokračování těchto dvou dílů je ve hvězdách. (gogos);;;Ed Bye;Chris Barrie, Craig Charles, Danny John-Jules, Robert Llewellyn, Craig Ferguson, Norman Lovett, Mac McDonald, Robert Addie, Hattie Hayridge, Danny Erskine;http://www.youtube.com/watch?v=a3t3IKlXqFU<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
97668;Red Dwarf: Smeg Ups;1994;93.30152671755725;51.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/089/168089236_1pe1zd.jpg;https://www.csfd.cz/film/97668-red-dwarf-smeg-ups/;Velká Británie;Dokumentární / Komedie;;Jedná se o bonusový pořad k RED DWARF (ČERVENÝ TRPASLÍK). Pořad vyšel v roce 1994 v produkci BBC na VHS a poté se objevil jako součást kompletního balíku VHS či DVD. Scénář napsal a pořad zároveň zrežíroval Doug Naylor (jeden z autorů Trpaslíka). Je zároveň také producentem. Pořadem provází Robert Llewellyn (Kryton 2X4B 523P) a uvede všechny své kolegy z Trpaslíka.Do roku 1994 bylo natočeno 6 serií trpaslíka (36 dílů) a za tu dobu se nahromadilo spousty zkažených, nepovedených záběrů. Mnoho přeřeků, zapomenutí textu, rozesmání se atd... A právě o tom je tento pořad. Scény pocházejí především ze 4, 5 a 6 série. Pořad také obsahuje nepovedené lety modelů lodí z Trpaslíka, problémy s technickým vybavením, sprostých průpovídek hlavních aktérů, nepoužitých záběrů atd... Dojde také na divaácké dotazy, resp. na 10 nejčastějších otázek kolem Trpaslíka na něž odpovídá Robert Llewellyn.Celý pořad trvá necelou hodinku a obsahuje také úvodní a závěrečnou znělku Trpaslíka. Scénky jsou výborně nastříhány a působení Krytona jako moderátora je více než perfektní. Pořad se o rok později dočkal pokračování s názvem SMEG OUTS. (gogos);;;;Robert Llewellyn, Jenny Agutter, Chris Barrie, Craig Charles, Danny John-Jules, Robert Addie, Hattie Hayridge;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
178757;Pink Floyd: Živě v Pompejích;1972;92.50475586556753;59.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/170/068/170068444_v80s1a.jpg;https://www.csfd.cz/film/178757-pink-floyd-zive-v-pompejich/;Belgie / Západní Německo / Francie;Hudební / Dokumentární;Pink Floyd v Pompejích;Pink Floyd imaginativní, nadreálná, vysoce tvůrčí hudba plná barev, která se výborně hodí k vizuálním představením. Film natočený v starověkém amfiteátru mezi ruinami zaniklých Pompejí nabízí divákům úžasný audio-vizuální zážitek. Ve dne se koncert konal v aréně rozpálené sluncem a v noci uprostřed tajemné scény zničené sopečným výbuchem a umožnil tak perfektní souhru zvuku a obrazu. Snímek začíná i končí obsáhlou skladbou Echoes z alba Meddle a obsahuje také následující tituly: Echoes, Careful with that Axe Eugene, A Saucerful of Secrets, Us And Them. One of these Days. Mademoiselle Nobs, Brain Damage, Set the Controls for the Heart of the Sun, Echoes.;28.04.2025 Pathé Live;;Adrian Maben;David Gilmour, Nick Mason, Roger Waters, Richard Wright;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/pink-floyd-at-pompeii---mcmlxxii/umc.cmc.733nyr52x1q1lj069e6ps625x<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/pink-floyd-at-pompeii---mcmlxxii/umc.cmc.733nyr52x1q1lj069e6ps625x<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
174734;Depeche Mode: Devotional;1993;94.79905437352245;93.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/041/41376_fc029a.jpg;https://www.csfd.cz/film/174734-depeche-mode-devotional/;USA;Dokumentární / Hudební;;Památný záznam Devotional vychází poprvé na DVD! Dokument, který pro DEPECHE MODE natočil slavný fotograf a režisér a také dlouholetý spolupracovník kapely Anton Corbijn během jedinečného turné v roce 1993, patří k nejslavnějším v historii pop-music. V době vzniku byl nominován na cenu Grammy jako Nejlepší dlouhohrající hudební video. DVD rovněž obsahuje druhý disk jako bonus, na němž jsou zachyceny koncerty z Frankfurtu a Barcelony, dobový dokument MTV, interview s autorem snímku a další zajímavosti.;;;Anton Corbijn;David Gahan, Martin Gore, Andrew Fletcher, Alan Wilder;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
270981;Zlatý hattrick;2001;94.77386934673366;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/449/449784_42ee46.jpg;https://www.csfd.cz/film/270981-zlaty-hattrick/;Česko;Dokumentární / Sportovní;;Zlatý hattrick představuje jednu ze čtyř úspěšných sezón českých hokejistů od Nagana 1998. Tento dokument neboli sestřih utkání celého Mistrovství světa roku 2001 se odehrává v německém Hannoveru. Od sezóny 1999 do roku 2001 jsme se stali trojnásobnými vítězi světového šampionátu v ledním hokeji. Tudíž rok 2001 je českým zlatým hattrickem. V sestřihu jsou znázorněny věci, na které by český národ neměl nikdy zapomenout. (Pilda17);;hokej;;Martin Procházka, František Kaberle, Robert Reichel, Pavel Patera, David Výborný, Milan Hnilička, David Moravec, Petr Čajánek, Jiří Dopita, Viktor Ujčík;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
259318;Návrat mistrů;2005;92.69090909090909;58.0;//static.pmgstatic.com/assets/images/050b5bad23b8eb0b4f88f971b8f6a168/empty-image.svg;https://www.csfd.cz/film/259318-navrat-mistru/;Česko;Dokumentární / Sportovní;;Český hokej zpátky na trůnu! Národní tým vyhrál mistrovství světa, jaké nemá v dějinách obdoby. Šest klíčových hráčů a hlavní kouč Vladimír Růžička se s odstupem vracejí k rozhodujícím i zákulisním okamžikům turnaje. Dokument o mistrovství světa v ledním hokeji 2005 ve Vídni a Innsbrucku připravili R. Záruba a K. Jonák.;;hokej;Karel Jonák;Jaromír Jágr, Jiří Šlégr, František Kaberle, Jaroslav Špaček, Vladimír Růžička, Martin Straka, David Výborný, Petr Čajánek, Milan Hnilička, Alexandr Ovečkin;https://www.ceskatelevize.cz/porady/10087707620-navrat-mistru?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://www.ceskatelevize.cz/porady/10087707620-navrat-mistru?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
270353;Slayer: Still Reigning;2004;97.47126436781609;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/063/63991_b08004.jpg;https://www.csfd.cz/film/270353-slayer-still-reigning/;USA;Hudební / Dokumentární;;"DVD z koncertu amerických thrash metalových „řezníků“ Slayer. DVD obsahuje dvě části:Reign in Blood live 1. ""Angel of Death"" 2. ""Piece by Piece"" 3. ""Necrophobic"" 4. ""Altar of Sacrifice"" 5. ""Jesus Saves"" 6. ""Criminally Insane"" 7. ""Reborn"" 8. ""Epidemic"" 9. ""Postmortem"" 10. ""Raining Blood""Bonus materiál 1. ""War Ensemble"" 2. ""Hallowed Point"" 3. ""Necrophiliac"" 4. ""Mandatory Suicide"" 5. ""Spill the Blood"" 6. ""South of Heaven"" 7. ""Slayer in Their Own Words"" (interview) (Chatterer)";;metal;Dean Karr;Tom Araya, Kerry King;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
