idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sPlatforms;sNominated;sWinner;sAuthor
1250;Titanic;1997;85.13796029889673;194.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/167/088/167088422_13ff33.jpg;https://www.csfd.cz/film/1250-titanic/;USA;Drama / Romantický / Historický / Katastrofický;Titanic 3D;V dubnu 1912 vyrazila luxusní zaoceánská loď Titanic z Anglie na svou první, a bohužel i poslední plavbu. Své pasažéry ale do cíle cesty nikdy nedovezla – narazila na ledovec a klesla pod hladinu. Tím začalo drama největší námořní katastrofy v dějinách lidstva. V ledových vodách Atlantiku skončilo mnoho životů a osudů. Mezi nimi byla i jedna láska, která vlastně ani pořádně nezačala. Americký velkofilm v režii Jamese Camerona, oceněný jedenácti Oscary®, katapultoval mezi nejzářivější hvězdy Hollywoodu oba představitele hlavních rolí – Kate Winsletovou a Leonarda DiCapria. (Cinemax);19.12.1997 Paramount Pictures;muž, láska, rodina, smrt, 20. století, dívka, otec, matka, rodiče, strach, mládež, dcera, touha, oběť (autonehody/zločinu), cestování, sny, podle skutečného příběhu, boj o přežití, vášeň, moře, nenávist, naděje, žárlivost, milostný trojúhelník, nehoda, voda, lodě, chudoba, oceán, období 1910-1920, výlet, novověk, snoubenci, malíř, závist, zakázaná láska, třídní boj, katastrofa, Wilhelm scream, domluvené manželství, přístav, loď v ohrožení, ledovec, Titanic;James Cameron;Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates, Frances Fisher, Gloria Stuart, Bill Paxton, Bernard Hill, David Warner, Victor Garber;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-ed94de01-f394-4d37-9888-1186bd143ec8<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/titanic/umc.cmc.2xfg89gkgo2469x0985e0eqq7<br>https://www.youtube.com/watch?v=PAXvWAWXMv4<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-ed94de01-f394-4d37-9888-1186bd143ec8<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/titanic/umc.cmc.2xfg89gkgo2469x0985e0eqq7<br>https://www.youtube.com/watch?v=PAXvWAWXMv4<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (3x)<br>British Academy of Film and Television Arts (BAFTA) (10x)<br>European Film Awards (1x)<br>César Awards (1x)<br>Golden Globes (4x)<br>Los Angeles Film Critics Association Awards (2x)<br>New York Film Critics Circle Awards (1x)<br>The Saturn Awards (2x)<br>;Academy Awards (11x)<br>European Film Awards (1x)<br>Český lev (1x)<br>Amanda Awards (1x)<br>Golden Globes (4x)<br>Critics Choice Awards (1x)<br>Florida Film Critics Circle Awards (1x)<br>Los Angeles Film Critics Association Awards (1x)<br>The Saturn Awards (1x)<br>;
23;Skleněné peklo;1974;84.89508437270726;165.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/159/623/159623524_9bcdaa.jpg;https://www.csfd.cz/film/23-sklenene-peklo/;USA;Thriller / Drama / Akční / Katastrofický;The Towering Inferno;Mrakodrap, který má stopětatřicet poschodí a před sebou slavnostní uvedení do provozu, postavil stavební magnát Jim Duncan podle návrhu architekta Douga Robertse, který využil nejen všech svých znalostí a zkušeností, ale také nejmodernějšího vybavení a poznatků v oblasti bezpečnosti. Ani jeden z nich však netuší, že Duncanův zeť Roger do stavebních prací nejednou zasáhl a v rámci pochybných úspor udělal z mrakodrapu smrtící past. Zatímco se na slavnostní otevření sjíždějí významné osobnosti, vznikne v jednom z malých skladišť pro údržbu k malému požáru. Nikdo netuší, že polovina supermoderního bezpečnostního systému nefunguje a požár se pomalu šíří. Následuje selhání elektrického systému, a když se oheň setká s plynem, dojde k explozi, která promění mrakodrap v planoucí pochodeň a odřízne hosty od možnosti uniknout smrtícímu žáru. Do boje s živlem se pouští nejen zoufalí lidé uvěznění v nebezpečné pasti, ale také hasiči pod vedením chladnokrevného a odvážného Michaela O'Hallorhana. Je to závod s časem, závod, v němž padají masky a na povrch vyplouvá pravá a často nečekaná tvář jednotlivých postav. O poslední odvážný kousek se pokusí Doug s Michaelem, kteří chtějí odpálit obrovský rezervoár na střeše mrakodrapu, obsahující téměř dva miliony galonů vody. (TV Nova);10.12.1974 20th Century Fox;podle knihy, muž, smrt, strach, město, oběť (autonehody/zločinu), boj o přežití, tragédie, párty, výbuch, Kalifornie, katastrofa, požár, oheň, vrtulník, architekt, záchranáři, hasiči, starosta, San Francisco, záchranná operace, výtah, popáleniny, mrakodrap, stavebnictví, výbušniny, senátor, výbuch plynu, schodiště;John Guillermin;Steve McQueen, Paul Newman, William Holden, Faye Dunaway, Fred Astaire, Susan Blakely, Richard Chamberlain, Jennifer Jones, O.J. Simpson, Robert Vaughn;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-towering-inferno/umc.cmc.6qf982u2lm60orbzd8bv93mp7<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-towering-inferno/umc.cmc.6qf982u2lm60orbzd8bv93mp7<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (5x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Golden Globes (3x)<br>;Academy Awards (3x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Golden Globes (1x)<br>;Richard Martin Stern, Thomas N. Scortia, Frank M. Robinson
285419;Nic nás nerozdělí;2012;80.4550867642055;113.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/078/835/78835459_40346c.jpg;https://www.csfd.cz/film/285419-nic-nas-nerozdeli/;Španělsko;Katastrofický / Drama / Thriller / Akční;Lo imposible;Silný příběh filmu Nic nás nerozdělí je založen na skutečné události jedné rodiny, která v roce 2004 přežila úder ničivé vlny tsunami v Indickém oceánu. Manželé Henry (Ewan McGregor), Maria (Naomi Watts) a jejich tři synové se rozhodli strávit poklidné Vánoce v Thajsku a těší se na několik dnů prožitých v tropickém ráji. Rodinná idylka ale náhle a nečekaně skončí dva dny po Štědrém dnu, když jihovýchodní pobřeží Asie zasáhne vlna tsunami. Obrovská masa vody se valí na hotelový komplex, smete vše, co jí přijde do cesty, a rozdělí i prchající rodinu. Ačkoliv všichni členové rodiny přežijí, vyhráno zdaleka nemají, protože nalézt jeden druhého uprostřed pekla je skoro nemožné.;11.10.2012 Warner Bros. España;láska, rodina, smrt, otec, děti, matka, rodiče, strach, touha, syn, chlapec, oběť (autonehody/zločinu), pátrání, cestování, sourozenci, dospívání, putování, podle skutečného příběhu, boj o přežití, bratři, moře, bolest, smutek, tragédie, naděje, nemocnice, umírání, zranění, voda, zoufalství, panika, oceán, výlet, příroda, Asie, pochyby, pláž, pobřeží, dovolená, katastrofa, těžký úraz, destrukce, ničení, prales, záchranáři, statečnost, frustrace, Thajsko, povodeň, přírodní katastrofa, tsunami, záplava;J.A. Bayona;Naomi Watts, Ewan McGregor, Tom Holland, Samuel Joslin, Oaklee Pendergast, Marta Etura, Sönke Möhring, Geraldine Chaplin, Ploy Jindachote, Johan Sundberg;https://www.iprima.cz/filmy/nic-nas-nerozdeli?utm_source=csfd&utm_medium=section_vod&utm_campaign=link_exchange<br>https://www.iprima.cz/filmy/nic-nas-nerozdeli?utm_source=csfd&utm_medium=section_vod&utm_campaign=link_exchange<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>European Film Awards (2x)<br>Goya Awards (9x)<br>AACTA International Awards (1x)<br>Golden Globes (1x)<br>Critics Choice Awards (2x)<br>The Saturn Awards (4x)<br>San Sebastián International Film Festival (1x)<br>;Goya Awards (5x)<br>;
19799;Dobrodružství Poseidonu;1972;79.1515609264854;117.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/935/162935688_47d3fa.jpg;https://www.csfd.cz/film/19799-dobrodruzstvi-poseidonu/;USA;Akční / Dobrodružný / Katastrofický / Drama / Thriller;The Poseidon Adventure;Jeden z nejnapínavějších katastrofických filmů všech dob vypráví o osudu posádky zaoceánského parníku, převráceného přílivovou vlnou. Děj plný napětí, obohacený osobními příběhy obětí, dává vzniknout přesvědčivému a dechberoucímu dramatu. Skvělé herecké obsazení spolu s neuvěřitelnými speciálními efekty činí z tohoto filmu skutečnou klasiku, která byla nominována na 9 Cen Akademie. (Magic Box);13.12.1972 20th Century Fox;moře, kněz, katastrofa, loď v ohrožení;Ronald Neame;Gene Hackman, Ernest Borgnine, Red Buttons, Carol Lynley, Roddy McDowall, Stella Stevens, Shelley Winters, Jack Albertson, Pamela Sue Martin, Arthur O'Connell;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-poseidon-adventure/umc.cmc.2g2i5nifm1bpdqcwxymilpskk<br>https://www.youtube.com/watch?v=lc5fDJqQpUE<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-poseidon-adventure/umc.cmc.2g2i5nifm1bpdqcwxymilpskk<br>https://www.youtube.com/watch?v=lc5fDJqQpUE<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (7x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (3x)<br>;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (1x)<br>;Paul Gallico
228832;Hra na válku;1966;80.72164948453609;48.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/166/978/166978215_86b5f1.jpg;https://www.csfd.cz/film/228832-hra-na-valku/;Velká Británie;Drama / Sci-Fi / Válečný / Katastrofický;The War Game;"Dokumentární drama popisující výbuch atomové bomby shozené Sovětským svazem na malé městečko v jižní Británii vyděsilo vedení televizní stanice BBC natolik, že ho odmítla vysílat. Film mohla britská veřejnost zhlédnout v televizi až v roce 1985. V roce 1967 byl uváděn pouze krátce v kinech. I tak však stačil získat cenu Akademie za nejlepší dokumentární počin roku. Základním znakem Watkinsonova polodokumentárního, autentického stylu se staly záběry napodobující formu černobílých týdeníků. Hra na válku je ukázkovým příkladem autorových schopností vytvořit komplexní, působivé dílo, jež se nijak nevyhýbá konfrontaci. Sám Watkins říká: „V tomto filmu jsem se zajímal o rozpor mezi skutečností a pseudorealitou, kterou vytvářejí média. Ptám se: Kde je pravda? V tvrzeních figurek, které se odvolávají na oficiálně podporované názory, nebo v uměle inscenovaných a fiktivních scénách, jež ilustrují následky jejich projevů a činů, jež tvoří druhou rovinu mého filmu? Právě kvůli možnosti srovnání jsem propojil natočený filmový materiál s ukázkami skutečných rozhovorů. Když jsem přemýšlel o vhodné formě, bylo mým cílem využít co nejlépe film, aby pomohl odhalit a prolomit mlčení médií o problémech nukleárního zbrojení.""";;děti, policie, Vánoce, boj o přežití, válka, nemocnice, poprava, apokalypsa, studená válka, pseudo-dokument, atomová bomba, radioaktivita, zbraně hromadného ničení, nemoc z ozáření;Peter Watkins;Kathy Staff, Michael Aspel;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>;
411;Zkáza Titanicu;1958;79.2964824120603;123.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/143/058/143058651_vwvgyc.jpg;https://www.csfd.cz/film/411-zkaza-titanicu/;Velká Británie;Drama / Historický / Katastrofický;A Night to Remember;Málokdo tušil, že toto bude noc, na kterou nikdy nezapomenou. Je 14. dubna roku 1912, krátce před půlnocí. Největšímu a nejluxusnějšímu plavidlu své doby se do cesty postaví obrovský ledovec. Trhlina v boku Titaniku znamená rozsudek smrti nejen pro samotnou loď, ale i 1500 cestujících, na které nezbude v záchranných člunech místo. Černobílé zpracování jedné z největších námořních katastrof je soustředěno hlavně okolo druhého důstojníka lodi, Charlese Herberta Lightollera (Kenneth More). (mahler);05.02.1960 Ústřední půjčovna filmů;podle knihy, černobílý film, smrt, 20. století, podle skutečného příběhu, moře, nehoda, voda, lodě, oceán, období 1910-1920, třídní boj, katastrofa, loď v ohrožení, ledovec, Titanic;Roy Ward Baker;Kenneth More, Anthony Bushell, David McCallum, Alec McCowen, Laurence Naismith, Andrew Keir, Derren Nesbitt, Bernard Fox, Desmond Llewelyn, Honor Blackman;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>;Golden Globes (1x)<br>;Walter Lord
9813;Den, kdy se zastavila Země;1951;77.2936400541272;92.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/060/160060230_8b2edf.jpg;https://www.csfd.cz/film/9813-den-kdy-se-zastavila-zeme/;USA;Drama / Sci-Fi / Thriller / Katastrofický;The Day the Earth Stood Still;Snímek Den, kdy se zastavila Země vypráví příběh mimozemšťana Klaatua, který jednoho dne přistane na Zemi. Hlásá příchod v míru a vyžaduje si setkání s představiteli všech států světa, před kterými hodlá přednést své poselství. Když se však dozví, že to je věc zhola neuskutečnitelná, opustí své dosavadní obydlí a vydá se do světa na vlastní pěst... Film vznikl v době rozpuku Studené války a strachu z nové hrozby- možnosti rozpoutání atomového konfliktu. Autoři snímku se v něm jasně vymezují proti dalšímu vývoji této nesmírně ničivé zbraně. Z filmu je tak cítit kritika postoje tehdejších politiků, kteří namísto mírové dohody zvolili zbrojení a udržování paranoidní atmosféry strachu před podlým nepřítelem. (havLord);28.09.1951 20th Century Fox;černobílý film, vojáci, mimozemšťané, roboti, apokalypsa, atomová bomba, protiválečný, zbraně hromadného ničení;Robert Wise;Michael Rennie, Patricia Neal, Hugh Marlowe, Sam Jaffe, Billy Gray, Frances Bavier, Kim Spalding, Stuart Whitman, Lawrence Dobkin, Harry Lauter;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-day-the-earth-stood-still/umc.cmc.2zsqkg8ml4f9elxumfidkneoy<br>https://www.youtube.com/watch?v=vUx8vLxxPxY<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-day-the-earth-stood-still/umc.cmc.2zsqkg8ml4f9elxumfidkneoy<br>https://www.youtube.com/watch?v=vUx8vLxxPxY<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (1x)<br>;Golden Globes (1x)<br>;
397118;Deepwater Horizon: Moře v plamenech;2016;75.95995923994485;107.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/973/160973963_920ba8.jpg;https://www.csfd.cz/film/397118-deepwater-horizon-more-v-plamenech/;USA / Hongkong;Akční / Drama / Thriller / Katastrofický;Deepwater Horizon;Příběh popisuje události na plovoucí vrtné plošině Deepwater Horizon, která se v dubnu 2010 potopila následkem exploze a způsobila největší ropné zamoření v americké historii. (Freeman Ent.);30.09.2016 Summit Entertainment;muž, žena, rodina, smrt, přátelství, přátelé, tajemství, rodiče, strach, manželé, záhady, útěk, oběť (autonehody/zločinu), podle skutečného příběhu, kolegové, boj o přežití, kamarádi, moře, bolest, smutek, trauma, dilema, tragédie, umírání, zranění, nehoda, voda, lodě, zoufalství, panika, oceán, pocit viny, hrdina, korporace, výbuch, katastrofa, loajalita, požár, lítost, noc, oheň, výčitky svědomí, týmová práce, destrukce, období 2010-2020, ničení, ropa, záchranáři, jaro, záchranná operace, popáleniny, těžební průmysl, ekologická katastrofa, evakuace, ropná plošina, vrtání;Peter Berg;Mark Wahlberg, Dylan O'Brien, Kate Hudson, Kurt Russell, John Malkovich, Gina Rodriguez, Joe Chrest, Chris Ashworth, J.D. Evermore, Deneen Tyler;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/deepwater-horizon/umc.cmc.39yl38fpofv77wc0ynrqvf815<br>https://www.youtube.com/watch?v=DEL7KFgDYb4<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/deepwater-horizon/umc.cmc.39yl38fpofv77wc0ynrqvf815<br>https://www.youtube.com/watch?v=DEL7KFgDYb4<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>;;
542;Armageddon;1998;74.83446438764508;151.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/298/162298017_c6a512.jpg;https://www.csfd.cz/film/542-armageddon/;USA;Akční / Dobrodružný / Sci-Fi / Thriller / Katastrofický;Armageddon;Za osmnáct dní Země přestane existovat, protože se srazí s asteroidem velikosti Texasu. Je bezpodmínečně nutné, co nejdříve přistát na asteroidu, hluboko pod jeho povrch zavrtat silné jaderné nálože, odpálit je a pak se jen modlit, aby to celé pomohlo. Záchrana světa tímto brizantním způsobem je práce jako stvořená pro partu drsných naftařů v čele s Harrym S. Stamperem (Bruce Willis), který zachází s vrtnou plošinou a výbušninami jako neurochirurg s jemným laserovým skalpelem. Astronautický výcvik NASA je rychlý a za pár dní jsou dva raketoplány s jadernými náložemi a samorostlými spasiteli světa na palubě připraveny ke startu. Zvládne Bruce Willis a jeho muži sebevražedně riskantní akci?;01.07.1998 Buena Vista Pictures US;muž, láska, rodina, smrt, přátelství, přátelé, dívka, otec, rodiče, strach, dcera, touha, kolegové, boj o přežití, kamarádi, smutek, naděje, agenti, sebevražda, vědci, šílenství, vesmír, věda, trénink, vědec, výbuch, oběť (někomu/něčemu), FBI, loajalita, bomba, prezident, apokalypsa, piloti, výcvik, kosmonauti, ropa, vesmírná stanice, NASA, vesmírná nehoda, geologie, konec světa, raketoplán, asteroid, ropná plošina, vrtání;Michael Bay;Bruce Willis, Billy Bob Thornton, Ben Affleck, Liv Tyler, Will Patton, Steve Buscemi, William Fichtner, Owen Wilson, Michael Clarke Duncan, Peter Stormare;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-4124bdba-2655-431f-830b-d5d04f61afce<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/armageddon/umc.cmc.11p3p3kvl6qhp11juyyfl47mt<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-4124bdba-2655-431f-830b-d5d04f61afce<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/armageddon/umc.cmc.11p3p3kvl6qhp11juyyfl47mt<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (4x)<br>The Saturn Awards (5x)<br>Golden Raspberry Awards (Razzies) (6x)<br>;The Saturn Awards (2x)<br>Golden Raspberry Awards (Razzies) (1x)<br>;
906706;K zemi hleď!;2021;74.39580723844684;145.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/165/914/165914228_87dcfa.jpg;https://www.csfd.cz/film/906706-k-zemi-hled/;USA;Komedie / Drama / Sci-Fi / Katastrofický;Don't Look Up;Dva astronomové vyrážejí na mediální turné, aby varovali lidstvo před smrtící kometou, která se řítí přímo na planetu Zemi. Zdá se ale, že to nikoho nezajímá. (Netflix);Na VOD od 24.12.2021 Netflix;rodina, smrt, politika, nevěra, novináři, vědci, černý humor, vesmír, satira, reportéři, koncert, vědec, vesmírná loď, média, katastrofa, FBI, prezident, apokalypsa, sociální síť, televizní studio, propaganda, vesmírná nehoda, drony, Bílý dům, kometa;Adam McKay;Leonardo DiCaprio, Jennifer Lawrence, Meryl Streep, Cate Blanchett, Rob Morgan, Jonah Hill, Mark Rylance, Tyler Perry, Timothée Chalamet, Ron Perlman;https://www.netflix.com/title/81252357<br>https://www.netflix.com/<br>https://www.netflix.com/title/81252357<br>https://www.csfd.cz/vod/netflix/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (4x)<br>AACTA International Awards (1x)<br>Golden Globes (4x)<br>Critics Choice Awards (6x)<br>;;
