idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sAuthor;sPlatforms;sNominated;sWinner
10135;Forrest Gump;1994;94.4016143456626;142.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/988/158988468_acc7b5.jpg;https://www.csfd.cz/film/10135-forrest-gump/;USA;Drama / Komedie / Romantický;Forrest Gump;"Zemeckisův film je brilantním shrnutím dosavadních režisérových poznatků o možnostech ""comicsového"" vyprávění. Formálně i obsahově nejméně konvenční z jeho snímků přesvědčuje komediálními gagy i naléhavě patetickým tónem. Jeho hrdinou je prosťáček Forrest Gump, typický obyčejný muž, který od dětství dělal, co se mu řeklo. Do života si tak odnesl několik ponaučení své pečlivé maminky a osvědčené pravidlo, jež se mu hodí mnohokrát v nejrůznějších situacích: Když se dostaneš do problémů, utíkej. Forrest proutíká školou, jako hráč amerického fotbalu i univerzitou, potom peklem vietnamské války a zoufalstvím nad matčinou smrtí. Vždycky je totiž někdo nebo něco, co po něm skutečně či obrazně ""hází kameny"". Nakonec však Forrest poznává, že jsou i jiná řešení situací než útěk. Svůj život spojuje s kamarádkou ze školy Jenny, která pro něj zůstane provždycky jedinou láskou, s přítelem z vojny, černochem Bubbou, který dá směr jeho úvahám o lovu krevet a s poručíkem Taylorem, jemuž ve Vietnamu zachrání život. Forrestova životní pouť od 50. do 80. let je koncipovaná jako totálně ""bezelstné"" vyprávění hrdiny, neschopného obecnějšího hodnocení situace. Forrest jako sportovec i jako válečný hrdina se setkává se slavnými lidmi, které nakonec vždycky někdo zastřelí (J. F. Kennedy, J. Lennon). Také jeho bližní umírají, ale on sám zůstává. Empiricky se dopracovává od impulsivního útěku před životem k úvahám o lidském osudu a o Bohu. Soukromý hrdinův osud zároveň postihuje třicet let poválečných amerických dějin.";06.07.1994 Paramount Pictures;podle knihy, láska, rodina, smrt, přátelství, přátelé, 20. století, matka, syn, škola, peníze, vojáci, moře, svatba, lodě, satira, období 1970-1980, období 1960-1970, období 1980-1990, období 1950-1960, domácí násilí, těžký úraz, tělesné postižení, prezident, válečný veterán, bouře, rybolov, invalidní vozík, válka ve Vietnamu, americký fotbal, hippies, americký jih, běh, něha, druhá šance, AIDS, alternativní historie, San Francisco, amputace, Arizona, stolní tenis, Alabama;Robert Zemeckis;Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Haley Joel Osment, Peter Dobson, Siobhan Fallon Hogan, Hanna Hall, Brett Rice;Winston Groom;https://www.skyshowtime.com/cz/stream/movies/forrest-gump/6a2c3789-01da-3bc6-b805-38857f6df934<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/forrest-gump/umc.cmc.5ov9f55aw8qvmd5pumhgnwu3e<br>https://www.youtube.com/watch?v=77ij5gCTjYU<br>https://www.skyshowtime.com/cz/stream/movies/forrest-gump/6a2c3789-01da-3bc6-b805-38857f6df934<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/forrest-gump/umc.cmc.5ov9f55aw8qvmd5pumhgnwu3e<br>https://www.youtube.com/watch?v=77ij5gCTjYU<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (7x)<br>British Academy of Film and Television Arts (BAFTA) (7x)<br>Guldbagge Awards (1x)<br>Golden Globes (4x)<br>The Saturn Awards (6x)<br>;Academy Awards (6x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Český lev (1x)<br>Amanda Awards (1x)<br>Golden Globes (3x)<br>The Saturn Awards (2x)<br>
29465;Wallace a Gromit: Nesprávné kalhoty;1993;92.83108643933386;29.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/384/384689_ac3464.jpg;https://www.csfd.cz/film/29465-wallace-a-gromit-nespravne-kalhoty/;Velká Británie;Krátkometrážní / Animovaný / Komedie / Rodinný;Nesprávné kalhoty;Čo urobíte ak nemáte peniaze a jediný nelenivý človek v dome je váš pes? Presne, najmete si ako podnájomníka pinguína. Budte si však istý, váš pes ho nebude mať v láske. Nie je predsa v pohode, keď vám v ďeň vašich narodenín malý operený tvor zaberie izbu. A to že sa nakoniec najlepší priateľ človeka rozhodne odísť z domu je len a len nedobré... Príbeh zo série Wallace and Gromit, v ktorom sa okrem skvelých nohavíc z NASA vyskytne aj jedna prestrelka a nakoniec ako to v každom dobrom príbehu býva, aj väzenie. (Vrana);Na DVD od 08.06.2011 Hollywood Classic Entertainment (H.C.E.);psi, zloděj, vlak, vynálezce, tučňáci, plastelínová animace;Nick Park;Peter Sallis;;https://www.ceskatelevize.cz/porady/1001680242-wallace-a-gromit-nespravne-kalhoty?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://www.ceskatelevize.cz/porady/1001680242-wallace-a-gromit-nespravne-kalhoty?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>
42927;Red Dwarf: Smeg Outs;1995;93.7466307277628;51.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/089/168089220_1uz782.jpg;https://www.csfd.cz/film/42927-red-dwarf-smeg-outs/;Velká Británie;Dokumentární / Komedie;;Po roce se vynikající pořad SMEG UPS dočkal pokračování. Autorem scénáře je opět Doug Naylor, kterému vypomáhal Robert Llewellyn a režie se tentokrát ujal režisér mnoha dílů Trpaslíka Ed Bye, který pořad produkoval. Druhý díl se zaměřuje na mnohem více postav než díl první a opět ho uvádí Robert Llewellyn jako Kryton. Opět nás čeká spousta nových přeřeků, popletení textů nebo jejich zapomínání. Uvidíme problémy s rekvizitamy či se zvířaty, podíváme se na dalších 10 nejčastějších otázek,dále např. co říká šéf klubu pozpátku v díle Pozpátku nebo celou verzi písně Tongue Tide.. S hlavnímy členy posádky se seznámíme jednotlivě v klipcích s přebrety. Aby Kryton nebyl na moderování sám, tak mu v tomto díle sekunduje Craig Charles jako Lister. Pořad je sice zaměřen na první tři série, ale obsahuje také záznamy ze setkání fanoušků.Druhý díl je kvalitativně možná lepší než díl první, což bude také způsobeno větší profesionalitou a také větším počtem lidí, jež se na pořadu podílely. Scény z těchto dvou kazet se později objevily na DVD k jednotlivým sériím a k 7.a 8. řadě zatím jako soubor na kazetě nevyšly. Zdali se dočkáme někdy pokračování těchto dvou dílů je ve hvězdách. (gogos);;;Ed Bye;Chris Barrie, Craig Charles, Danny John-Jules, Robert Llewellyn, Craig Ferguson, Norman Lovett, Mac McDonald, Robert Addie, Hattie Hayridge, Danny Erskine;;http://www.youtube.com/watch?v=a3t3IKlXqFU<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
29461;Wallace a Gromit: O chloupek;1995;92.66115702479338;30.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/937/162937478_49db06.jpg;https://www.csfd.cz/film/29461-wallace-a-gromit-o-chloupek/;Velká Británie;Krátkometrážní / Animovaný / Komedie / Rodinný;O chloupek;"Wallace, Gromit, zločinný buldog Preston a krásná Vendulína... Britský oscarový animovaný film Nicka Parka. Ovce, úklady a láska – to všechno čeká v této půlhodině pana Wallace a jeho inteligentního psa Gromita ve strhujícím, napínavém ale i humorném příběhu nazvaném O chloupek. Nick Park za něj v roce 1996 získal Oskara. Rafinovaně realizovaný animovaný film, kombinující formelu s kostrami klasických loutkových filmů, kde počet střihů 10krát převyšuje hraný akční film, a kde tedy záleží na jakémkoliv detailu. Zde totiž rozhodují „ohromné maličkosti"".";Na DVD od 25.05.2011 Hollywood Classic Entertainment (H.C.E.);psi, vynálezce, ovce, plastelínová animace;Nick Park;Peter Sallis, Anne Reid;;https://www.ceskatelevize.cz/porady/1001681151-wallace-a-gromit-o-chloupek?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://www.ceskatelevize.cz/porady/1001681151-wallace-a-gromit-o-chloupek?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Los Angeles Film Critics Association Awards (1x)<br>
97668;Red Dwarf: Smeg Ups;1994;93.30152671755725;51.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/089/168089236_1pe1zd.jpg;https://www.csfd.cz/film/97668-red-dwarf-smeg-ups/;Velká Británie;Dokumentární / Komedie;;Jedná se o bonusový pořad k RED DWARF (ČERVENÝ TRPASLÍK). Pořad vyšel v roce 1994 v produkci BBC na VHS a poté se objevil jako součást kompletního balíku VHS či DVD. Scénář napsal a pořad zároveň zrežíroval Doug Naylor (jeden z autorů Trpaslíka). Je zároveň také producentem. Pořadem provází Robert Llewellyn (Kryton 2X4B 523P) a uvede všechny své kolegy z Trpaslíka.Do roku 1994 bylo natočeno 6 serií trpaslíka (36 dílů) a za tu dobu se nahromadilo spousty zkažených, nepovedených záběrů. Mnoho přeřeků, zapomenutí textu, rozesmání se atd... A právě o tom je tento pořad. Scény pocházejí především ze 4, 5 a 6 série. Pořad také obsahuje nepovedené lety modelů lodí z Trpaslíka, problémy s technickým vybavením, sprostých průpovídek hlavních aktérů, nepoužitých záběrů atd... Dojde také na divaácké dotazy, resp. na 10 nejčastějších otázek kolem Trpaslíka na něž odpovídá Robert Llewellyn.Celý pořad trvá necelou hodinku a obsahuje také úvodní a závěrečnou znělku Trpaslíka. Scénky jsou výborně nastříhány a působení Krytona jako moderátora je více než perfektní. Pořad se o rok později dočkal pokračování s názvem SMEG OUTS. (gogos);;;;Robert Llewellyn, Jenny Agutter, Chris Barrie, Craig Charles, Danny John-Jules, Robert Addie, Hattie Hayridge;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
32813;Až opadá listí z dubu;1991;92.43657252273815;26.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/170/235/170235370_58j1so.png;https://www.csfd.cz/film/32813-az-opada-listi-z-dubu/;Československo;Animovaný / Komedie / Fantasy / Krátkometrážní;When the Leaves Fall from the Oak(festivalový název);Animovaný film, který vznikl podle známé pohádky Jana Wericha z jeho knížky Fimfárum. Čupera propil téměř vše co měl a zadlužil statek. Na jeho poli byl zanedbaný úhor a kdyby měl peníze, tak by se opět opil. Najednou se na jeho poli objeví čert. Ten mu slíbí, že se o jeho pole postará. Čupera se mu musí ovšem upsat tím, že mu dá to, co má doma a právě o tom neví. Čupera se čertu upíše. Přiběhne domů a v chalupě má čerstvě narozeného syna. Úroda na Čuperově poli byla poté rok od roku větší, až se k němu jezdili radit odborníci z celého světa. Za pět let Čuperu přijde navštívit čert. (zdeny99);28.11.2002 Falcon;podle povídky;Vlasta Pospíšilová;Jan Werich;Jan Werich;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Zlín Film Festival (1x)<br>
306731;Nedotknutelní;2011;91.31436542485389;112.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/501/501780_540187.png;https://www.csfd.cz/film/306731-nedotknutelni/;Francie;Komedie / Drama / Životopisný;Intouchables;Ochrnutý a bohatý aristokrat Philippe si za svého nového opatrovníka vybere Drisse, živelného mladíka z předměstí, kterého právě propustili z vězení. Jinými slovy - najde si na tuto práci tu nejméně vhodnou osobu. Podaří se jim však propojit nemožné: Vivaldiho a populární hudbu, serióznost a žoviální vtípky, luxusní obleky a tepláky. Bláznivým, zábavným, silným, neočekávaným a hlavně „nedotknutelným“, přesně takovým se stane jejich přátelství… Komedie s dramatickou zápletkou o tom, že ani od krku po prsty u nohou nepohyblivý člověk odkázaný na pomoc druhých, nemusí ztratit smysl života. A o tom, že i nejméně pravděpodobné spojení melancholického multimilionáře a extrovertního recidivisty může humorně zapůsobit na diváka a může se z něj stát kasovní trhák.;02.11.2012 Gaumont;láska, přátelství, podle skutečného příběhu, černý humor, Paříž, těžký úraz, invalidní vozík, ghetto;Eric Toledano, Olivier Nakache, Colin Budds;François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux, Clotilde Mollet, Alba Gaïa Kraghede Bellugi, Cyril Mendy, Salimata Kamate, Grégoire Oestermann;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>European Film Awards (5x)<br>César Awards (8x)<br>Polish Film Awards (1x)<br>Amanda Awards (1x)<br>Golden Globes (1x)<br>Critics Choice Awards (1x)<br>San Sebastián International Film Festival (1x)<br>;César Awards (1x)<br>Goya Awards (1x)<br>Český lev (1x)<br>Florida Film Critics Circle Awards (1x)<br>Melbourne International Film Festival (MIFF) (1x)<br>
4570;Pelíšky;1999;91.17160024067593;116.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/165/059/165059101_56d52a.jpg;https://www.csfd.cz/film/4570-pelisky/;Česko;Komedie / Drama;Cosy Dens;Příběhy jedné historické generace - stárnoucích rodičů, dospívající mládeže a malých dětí. Děj je zasazen do konce šedesátých let - podzim 67 až léto 68 s krátkým epilogem přesahujícím do let sedmdesátých. Pražská vilová čtvrť Hanspaulka, jemná poetika a humorná nadsázka jsou charakteristické pro mozaikové vyprávění paralelních životních osudů tří generací mužů a žen ve zvláštním období našich dějin v roce 1968.;Na Blu-ray od 24.09.2014 Magic Box;podle knihy, rodina, přátelé, 20. století, děti, škola, sourozenci, Vánoce, sex, nemoc, svatba, komunismus, období 1960-1970, okupace, nabídka sňatku;Jan Hřebejk;Miroslav Donutil, Jiří Kodet, Simona Stašová, Emília Vášáryová, Bolek Polívka, Jaroslav Dušek, Eva Holubová, Stella Zázvorková, Kristýna Badinková Nováková, Michael Beran;Petr Šabach;https://www.netflix.com/title/81191327<br>https://www.hbomax.com/cz/en/movies/cosy-dens/2810303f-aaff-4b54-aa59-db0d944c010c<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/cosy-dens/umc.cmc.10spwoztlkuxb08rk3o8diy05<br>https://www.iprima.cz/filmy/pelisky?utm_source=csfd&utm_medium=section_vod&utm_campaign=link_exchange<br>https://www.ceskatelevize.cz/porady/1003204835-pelisky?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://www.youtube.com/watch?v=6QTieSQeNvE<br>https://www.netflix.com/title/81191327<br>https://www.hbomax.com/cz/en/movies/cosy-dens/2810303f-aaff-4b54-aa59-db0d944c010c<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/cosy-dens/umc.cmc.10spwoztlkuxb08rk3o8diy05<br>https://www.iprima.cz/filmy/pelisky?utm_source=csfd&utm_medium=section_vod&utm_campaign=link_exchange<br>https://www.ceskatelevize.cz/porady/1003204835-pelisky?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://www.youtube.com/watch?v=6QTieSQeNvE<br>http://www.ceskatelevize.cz/specialy/pelisky/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Český lev (6x)<br>Mezinárodní filmový festival Karlovy Vary (1x)<br>;Český lev (3x)<br>
91409;Scratovo dobrodružství;2002;91.13720642768851;5.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/030/30732_b32b57.jpg;https://www.csfd.cz/film/91409-scratovo-dobrodruzstvi/;USA;Krátkometrážní / Animovaný / Komedie / Rodinný;Gone Nutty;"Prehistorická veverka z Doby Ledové je zpět a představí se nám v hlavní a jediné roli tohoto krátkého animovaného filmu. Cílem jejího, katastroficky dopadjícího, snažení je nashromáždit si ""dostatečné"" zásoby oříšků. Po vzoru Doby ledové se jí to ani zde nepovede. Devizou tohoto filmu budiž nominace na Oscara! (Bones!)";;;Carlos Saldanha;Chris Wedge;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>;
82441;Pro ptáčky;2000;90.77439886845828;3.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/028/28812_40dd1a.jpg;https://www.csfd.cz/film/82441-pro-ptacky/;USA;Krátkometrážní / Animovaný / Komedie;For the Birds;Pokud máš jiné peří, sejmou tě, i když přitom přijdou o vlastní. A jsi-li opravdu velký, můžeš je potom, nahé, zahřát.;;ptáci;Ralph Eggleston;Ralph Eggleston;;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/for-the-birds/umc.cmc.2siu0r8yb1xuvd9nf67jhh18<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/for-the-birds/umc.cmc.2siu0r8yb1xuvd9nf67jhh18<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Academy Awards (1x)<br>Sitges Film Festival (1x)<br>
