idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sPlatforms;sNominated;sWinner;sAuthor
8283;Poslední skaut;1991;87.00782214903252;105.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/159/527/159527985_335bf7.jpg;https://www.csfd.cz/film/8283-posledni-skaut/;USA;Akční / Krimi / Thriller / Komedie;The Last Boy Scout;Soukromý detektiv Joe Hallenbeck je najat tanečnicí Cory jako tělesná stráž. Příliš se neosvědčí. Cory je v noci na ulici zastřelena neznámými zabijáky a Joe si jen se štěstím zachrání holý život. Spojí se s ním Coryin přítel, černý hráč amerického fotbalu Jimmy Dix, který byl vyřazen zkorumpovaným manažerem Marconem ze svého týmu. Oba muži prohledají Coryin byt a naleznou důkazy o tom, že Marcone podplácel senátora Baynarda, čehož se dívka snažila využít, aby byl Jimmy přijat zpátky do mužstva. Marconeho muži se zmocní Joea. Manažer detektivovi s úsměvem sdělí, že senátor začíná dělat problémy a proto bude při předávání posledního úplatku zlikvidován. Samozřejmě tak, aby z vraždy mohl být obviněn Hallenbeck. Joeovi se však podaří s pomocí Jimmyho z nastražené pasti uniknout. S buldočí neústupností jde po Marconeovi, rozhodnut zničit ho za každou cenu...;13.12.1991 Warner Bros. US;vražda, otec, dcera, peníze, nevěra, detektiv, vydírání, výbuch, automobilová honička, americký fotbal, bodyguard, buddy movie;Tony Scott;Bruce Willis, Damon Wayans, Chelsea Field, Noble Willingham, Taylor Negron, Danielle Harris, Halle Berry, Bruce McGill, Badja Djola, Kim Coates;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
22205;Princezna Mononoke;1997;87.01585429769392;133.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/167/998/167998287_3uzviw.png;https://www.csfd.cz/film/22205-princezna-mononoke/;Japonsko;Animovaný / Dobrodružný / Fantasy;Mononoke hime;;12.07.1997 Toho Company;násilí, anime, les, démoni, bohové, kletba, samurajové, 14. století;Hajao Mijazaki;Júko Tanaka, Jódži Macuda, Kaoru Kobajaši, Tecu Watanabe, Juriko Išida, Masahiko Nišimura, Jošimasa Kondó, Takako Fudži, Hisaja Morišige, Tošio Suzuki;https://www.netflix.com/title/28630857<br>/novinky/6372-studio-ghibli-zamiri-na-netflix/<br>/novinky/6372-studio-ghibli-zamiri-na-netflix/<br>/novinky/6372-studio-ghibli-zamiri-na-netflix/<br>https://www.netflix.com/title/28630857<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;The Saturn Awards (1x)<br>;
901;Trainspotting;1996;86.95123369610369;90.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/403/162403148_2cc625.jpg;https://www.csfd.cz/film/901-trainspotting/;Velká Británie;Drama / Krimi / Komedie;Trainspotting;"Další snímek tvůrčího tria, skládajícího se z režiséra Dannyho Boylea, scénáristy Johna Hodge a producenta Andrewa MacDonalda, si získal ještě větší celosvětovou popularitu než předchozí Mělký hrob. Ve vyprávění hlavního ""hrdiny"", asociálního mladíka Rentona, se odkrývá bizarní svět revolty proti současné konzumní společnosti. Renton a jeho skotští přátelé jsou totiž narkomané, jejichž jedinou starostí je sehnat další dávku. Jenže ""skutečný život"" smutné protagonisty ""semele"" a změní. Někteří nepřežijí, z jiných - jako například právě z Rentona - se stanou ""normální"" lidé. Epizodické vyprávění vytváří zvláštní mozaiku, z níž se velmi působivě vynořuje pochmurný obraz jedné ""ztracené"" generace. Snímek těží z tradic britského civilismu a dokumetárních filmů se sociální tématikou, ale zároveň je radikálně inovuje pomocí surrealistických hříček, černého humoru, dynamické kamery, střihu a charakterizace hlavních postav. Režisér Boyle svým pozorováním světa z nevšedního (a generačně vypjatého) úhlu opět provokuje měšťáckou společnost. Svým filmem jako hozenou soubojovou rukavicí políčkuje standardní středostavovskou morálku a tradiční hodnoty. Zároveň si postupně získává u nejmladšího publika přívlastek kultovního režiséra (důležitou roli v tomto procesu hraje hudební složka filmu, obsazená právě kultovními jmény anglosaské scény 80. a 90. let).";23.02.1996 PolyGram Filmed Ent. UK;podle knihy, muž, rodina, smrt, přátelé, 20. století, násilí, otec, rodiče, policie, strach, město, syn, útěk, oběť (autonehody/zločinu), dospívání, lež, sex, pronásledování, drogy, zločin, zrada, vztahy, bolest, punk, mezilidské vztahy, kriminalita, smutek, trauma, nenávist, dilema, tragédie, krádež, umírání, párty, rvačka, psychopat, šílenství, černý humor, zoufalství, paranoia, panika, nebezpečí, prostituce, alkoholismus, hádka, fotbal, bar, závislost, oslava, vztek, pohřeb, hospoda, alkohol, sociopat, období 1990-2000, noční klub, Velká Británie, halucinace, sadismus, pokoj, subkultura, Skotsko, závislost na drogách, heroin, pasák, beznaděj, veřejné záchody;Danny Boyle;Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd, Robert Carlyle, Kelly Macdonald, Peter Mullan, James Cosmo, Eileen Nicholas, Susan Vidler;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/trainspotting/umc.cmc.7h6dams52clx8k350g3qhw1et<br>https://www.youtube.com/watch?v=HGje6FlUh9A<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/trainspotting/umc.cmc.7h6dams52clx8k350g3qhw1et<br>https://www.youtube.com/watch?v=HGje6FlUh9A<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>Independent Spirit Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Guldbagge Awards (1x)<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>Český lev (1x)<br>Warsaw International Film Festival (1x)<br>;Irvine Welsh
9568;Truman Show;1998;86.89028122861978;103.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/988/158988851_fc9f76.jpg;https://www.csfd.cz/film/9568-truman-show/;USA;Drama / Komedie / Sci-Fi;The Truman Show;Film Truman Show prozkoumává moc médií a stále méně zřetelnou hranici mezi skutečností a jejím mediálním či virtuálním obrazem. Truman Burbank totiž až téměř do svých třiceti let netuší, že od narození žije v obrovských filmových ateliérech a že je hvězdou televizního seriálu s celosvětovou popularitou a vysokou sledovaností. Nad Trumanovým životem má navíc absolutní kontrolu tvůrce oblíbeného seriálu, režisér a producent Christof. Největším problémem ovšem pro Trumana nakonec není uvědomit si pravý stav věcí, nýbrž odhodlat se opustit falešný, avšak zároveň tak bezpečný a dokonalý svět... Snímek je inspirován americkými TV seriály, založenými na snímání reality a ve svém závěru nečekaně přerůstá až v moderní alegorii biblického motivu - vyhnání z ráje. Žánrově jde o fantaskní, bizarní a spektakulární drama se satirickým podtextem.;05.06.1998 Paramount Pictures;láska, žena, přátelství, přátelé, město, útěk, manipulace, lež, sledování, média, televizní studio, voyeurismus, virtuální realita;Peter Weir;Jim Carrey, Laura Linney, Noah Emmerich, Natascha McElhone, Holland Taylor, Brian Delate, Blair Slater, Peter Krause, Heidi Schanz, Mal Jones;https://www.skyshowtime.com/cz/stream/movies/truman-show/831fb725-6332-378d-ab10-b59923ea4aeb<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-truman-show/umc.cmc.3thpf98o5diknnctdycef69fu<br>https://www.youtube.com/watch?v=LFTz6_lqWhg<br>https://www.skyshowtime.com/cz/stream/movies/truman-show/831fb725-6332-378d-ab10-b59923ea4aeb<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-truman-show/umc.cmc.3thpf98o5diknnctdycef69fu<br>https://www.youtube.com/watch?v=LFTz6_lqWhg<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (3x)<br>British Academy of Film and Television Arts (BAFTA) (4x)<br>Golden Globes (3x)<br>Los Angeles Film Critics Association Awards (1x)<br>The Saturn Awards (3x)<br>;British Academy of Film and Television Arts (BAFTA) (3x)<br>European Film Awards (1x)<br>Robert Awards (Danish Film Awards) (1x)<br>Golden Globes (3x)<br>Florida Film Critics Circle Awards (1x)<br>The Saturn Awards (2x)<br>;
23443;Světáci;1969;86.9156342604163;99.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/239/160239017_6f2ad4.jpg;https://www.csfd.cz/film/23443-svetaci/;Československo;Komedie / Hudební;Men About Town;"Skopec, Prouza, Petrtýl jsou tři venkovští fasádníci, kteří pracují v Praze na obnově domů. Láká je pražský noční život, ale jejich první návštěva luxusního podniku Diplomat Grill se příliš nevydaří a nakonec musí utéci. Nevzdávají se však. Dají si ušít kvalitní obleky a najmou si na výuku společenské výchovy bývalého učitele tance Dvorského. Když Dvorský uzná, že jsou již sdostatek vzděláni, vypraví se muži opět do Diplomat Grillu. Tady se seznámí s třemi mladými ženami. Netuší, že jsou to dívky poněkud lehčího ražení, které hledají v Diplomat Grillu bohaté pány, aby je mohly patřičně oškubat. Byt jim za úplatu poskytuje šatnářka z Diplomat Grillu, která se snaží udělat z nich ""dámy"". V určený čas se šatnářka vrací domů a dívky vždy přinutí zákazníky, aby uprchli po lešení. Fasádníkům se slečny líbí a po veselém večírku odejdou do šatnářčina bytu. Tentokrát však osvědčený trik nevyjde. Když je zábava v plném proudu, vynutí si přístup do bytu předchozí potrefený zákazník i s Veřejnou bezpečností. Fasádníci chtějí skočit na lešení, ale v ten den byla oprava domu dokončena, a tak muži dopadnou na zem. S polámanými údy a dalšími zraněními je sanitka odveze domů k manželkám.";10.10.1969 Ústřední půjčovna filmů;černobílý film;Zdeněk Podskalský st.;Jiří Sovák, Vlastimil Brodský, Jan Libíček, Jiřina Bohdalová, Jiřina Jirásková, Iva Janžurová, Jiřina Šejbalová, Oldřich Nový, Ilja Prachař, Vladimír Menšík;https://www.iprima.cz/filmy/svetaci?utm_source=csfd&utm_medium=section_vod&utm_campaign=link_exchange<br>https://www.ceskatelevize.cz/porady/15986-svetaci?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://www.iprima.cz/filmy/svetaci?utm_source=csfd&utm_medium=section_vod&utm_campaign=link_exchange<br>https://www.ceskatelevize.cz/porady/15986-svetaci?utm_source=csfd&utm_medium=section_vod&utm_campaign=link<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
7827;Frajer Luke;1967;86.99359805849618;126.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/159/527/159527698_9951c8.jpg;https://www.csfd.cz/film/7827-frajer-luke/;USA;Drama / Krimi;Cool Hand Luke;Hlavním hrdinou slavného příběhu je Luke Jackson, jeden z nových vězňů, který spolu s ostatními vyslechne kapitánovo kázání o tom, co všechno nesmí a smí a další den ráno už se spolu s ostatními vězni pouští do práce. Pod dozorem bezohledných dozorců kopou v nesnesitelném horku příkop podél nekonečně dlouhé silnice. Večer se vrací do tábora zcela vyčerpaní. Když si někdo postěžuje, ocitne se na samotce. Dny plynou jednotvárně jeden za druhým, jen velmi zřídka narušeny nějakým rozptýlením, jako byl třeba pěstní zápas Luka s vězněm přezdívaným Tahoun. Z vězňů, kteří přišli společně s Lukem se stává sehraná parta a Luke jejich vůdcem. Obdiv spoluvězňů si získává nejen svým postojem k životu, ale také třeba vítězstvím v sázce o snědení padesáti vajec. Vše se změní v okamžiku, kdy se Luke dozví, že jeho matka zemřela. Zatímco vězňové se zachovají ohleduplně, dozorci ho bezohledně zavřou na samotku, aby se náhodou nepokusil uprchnout na pohřeb. A to je začátkem konce...;01.11.1967 Warner Brothers/Seven Arts;podle knihy, útěk, vězení, svoboda;Stuart Rosenberg;Paul Newman, George Kennedy, J.D. Cannon, Lou Antonio, Robert Drivas, Strother Martin, Jo Van Fleet, Clifton James, Luke Askew, Morgan Woodward;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/cool-hand-luke/umc.cmc.31ec45ekyz6w2ac9m4a6zdx6m<br>https://www.youtube.com/watch?v=JvrYdsySSpA<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/cool-hand-luke/umc.cmc.31ec45ekyz6w2ac9m4a6zdx6m<br>https://www.youtube.com/watch?v=JvrYdsySSpA<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (3x)<br>Golden Globes (2x)<br>;Academy Awards (1x)<br>;Donn Pearce
792366;Spider-Man: Napříč paralelními světy;2023;87.05068705068705;140.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/167/473/167473003_995qp3.png;https://www.csfd.cz/film/792366-spider-man-napric-paralelnimi-svety/;USA;Animovaný / Akční / Dobrodružný / Sci-Fi;Spider-Man: Across the Spider-Verse;Miles Morales, který je nyní na plný úvazek dobrým sousedem Spider-Manem v Brooklynu, se znovu setkává s Gwen Stacyovou, se kterou se vydá na zběsilou jízdu Mnohovesmírem, v němž se setká s novou partou Pavoučích hrdinů, kteří brání samotnou podstatu paralelních světů. Když se však mezi Pavoučími hrdiny objeví rozpor, jak se vypořádat s novým nebezpečím, Miles zjistí, že bude muset přehodnotit, co pro něj znamená být hrdinou, aby zachránil ty, které na světě miluje nejvíc. (Falcon);02.06.2023 Sony Pictures;rodina, smrt, přátelství, přátelé, tajemství, otec, matka, policie, syn, škola, dospívání, souboje, střední škola, superhrdina, Marvel Comics, osud, paralelní svět, Spider-Man;Joaquim Dos Santos, Kemp Powers, Justin K. Thompson;Shameik Moore, Hailee Steinfeld, Oscar Isaac, Jake Johnson, Brian Tyree Henry, Luna Lauren Velez, Jason Schwartzman, Issa Rae, Rachel Dratch, Shea Whigham;https://www.hbomax.com/cz/en/movies/spider-man-across-the-spider-verse/08f3260f-1512-4c90-a3df-fc2e407ba708<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/spider-man-across-the-spider-verse/umc.cmc.2zphwshxw2ejh2znevhod0u01<br>https://www.youtube.com/watch?v=u7xGrYejTtY<br>https://sledovanitv.cz/epg/event/HBO:20260228cda480829c6f72f3440e59465df8ce1f<br>https://www.hbomax.com/cz/en/movies/spider-man-across-the-spider-verse/08f3260f-1512-4c90-a3df-fc2e407ba708<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/spider-man-across-the-spider-verse/umc.cmc.2zphwshxw2ejh2znevhod0u01<br>https://www.youtube.com/watch?v=u7xGrYejTtY<br>https://sledovanitv.cz/epg/event/HBO:20260228cda480829c6f72f3440e59465df8ce1f<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Golden Globes (3x)<br>Critics Choice Awards (2x)<br>Florida Film Critics Circle Awards (3x)<br>The Saturn Awards (1x)<br>;Critics Choice Awards (1x)<br>The Saturn Awards (1x)<br>;
117077;Hanebný pancharti;2009;86.85243752371971;153.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/007/7972_32c19a.jpg;https://www.csfd.cz/film/117077-hanebny-pancharti/;USA / Německo;Drama / Dobrodružný / Válečný;Inglourious Basterds;Bylo nebylo v nacisty okupované Francii… Vítejte ve Druhé světové válce podle Quentina Tarantina. Vítejte ve světě, kde historická realita ustupuje lehce brutálnímu pohádkovému vyprávění jednoho z nejkontroverznějších režisérů současnosti. Německé vojáky ještě nepřestaly bolet nohy po smělé invazi do západní Evropy, když mladičké Shosanně (Melanie Laurent) přímo před očima německý důstojník Hans Landa (Christoph Waltz) vyvraždil členy její rodiny. Ona sama jen tak tak unikne do Paříže, kde se ukryje pod novou identitu provozovatelky biografu. Na jiném místě hákovým křížem rozkopané Evropy se pod vedením lehce zupáckého amerického poručíka Aldo Rainea (Brad Pitt) formuje neobvyklá vojenská jednotka. Úkolem jejích členů je nejen přežít na území plném nacistů a jejich přisluhovačů, ale zároveň likvidovat jejich elity a to tak efektně, že tím mezi nimi budou šířit strach a paniku. Říkají si Pancharti a právě je čeká ta nejtěžší mise, která může zcela změnit průběh války. V jednom pařížském biografu se chystá premiéra nového německého propagandistického eposu a téhle události se má účastnit řada nacistických špiček (možná i samotný Hitler). Úkolem Panchartů bude na akci proniknout a ukázat šéfům Třetí říše, jaké to je, když je člověk po smrti. Nepočítají ovšem s tím, že přímo pod světlem promítačky osnuje svůj plán pomsty za smrt blízkých osiřelá Shosanna a že když se jeden geniální plán na atentát střetne s jiným, výsledkem může být ještě geniálnější neúspěch.;21.08.2009 The Weinstein Company;muž, žena, rodina, smrt, vražda, 20. století, násilí, dívka, tajemství, strach, město, záhady, touha, útěk, zbraně, vrah, ženy, oběť (autonehody/zločinu), pátrání, vzpomínky, období 1940-1950, pomsta, 2. světová válka, politika, vojáci, manipulace, venkov, lež, intriky, pronásledování, zločin, kolegové, vesnice, zrada, boj o přežití, vášeň, podvod, les, bolest, divočina, smutek, válka, trauma, nenávist, dilema, tragédie, armáda, zabijáci, zranění, Francie, střelné zbraně, nacisté, zoufalství, krutost, diskriminace, panika, přepadení, nacismus, politik, Paříž, přestřelka, střelba, rasismus, předsudky, cizinec (někdo ze zahraničí), farma, špioni, Židé, sledování, diktatura, pochyby, oslava, vztek, hospoda, oběť (někomu/něčemu), zajatci, bodné zbraně, pokus o vraždu, sečné zbraně, vyhrožování, loajalita, požár, oheň, atentát, moc, okupace, nůž, týmová práce, vyjednávání, svádění, diktátor, pokušení, Wilhelm scream, kino, sniper, lovci lidí, válečné zločiny, tajná operace, Adolf Hitler, alternativní historie, špionáž, žhářství, antisemitismus, sledování filmu, systémový rasismus, uškrcení;Quentin Tarantino;Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender, Diane Kruger, Daniel Brühl, Til Schweiger, Gedeon Burkhard, Jacky Ido;https://www.netflix.com/title/70108777<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-0760eb33-0398-4976-a6c4-564dbc4ae20c<br>https://www.skyshowtime.com/cz/stream/movies/hanebny-pancharti/57028f88-85b5-37a9-8cd3-f631436aefc1<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/inglourious-basterds/umc.cmc.3r1vekw1q5380qojcz9t1ie6a<br>https://www.youtube.com/watch?v=LO78cZXiyHc<br>https://www.netflix.com/title/70108777<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-0760eb33-0398-4976-a6c4-564dbc4ae20c<br>https://www.skyshowtime.com/cz/stream/movies/hanebny-pancharti/57028f88-85b5-37a9-8cd3-f631436aefc1<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/inglourious-basterds/umc.cmc.3r1vekw1q5380qojcz9t1ie6a<br>https://www.youtube.com/watch?v=LO78cZXiyHc<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (7x)<br>British Academy of Film and Television Arts (BAFTA) (5x)<br>Robert Awards (Danish Film Awards) (1x)<br>Amanda Awards (1x)<br>Golden Globes (3x)<br>Critics Choice Awards (7x)<br>New York Film Critics Circle Awards (2x)<br>The Saturn Awards (6x)<br>Cannes Film Festival (1x)<br>;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (1x)<br>Critics Choice Awards (3x)<br>Florida Film Critics Circle Awards (1x)<br>Los Angeles Film Critics Association Awards (1x)<br>New York Film Critics Circle Awards (1x)<br>The Saturn Awards (1x)<br>Cannes Film Festival (1x)<br>;
42136;Cesta do fantazie;2001;86.80674337045468;124.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/161/031/161031148_c234f9.jpg;https://www.csfd.cz/film/42136-cesta-do-fantazie/;Japonsko;Animovaný / Dobrodružný / Fantasy / Pohádka / Rodinný;Sen to Čihiro no kamikakuši;Desetiletá Chihiro je obyčejná japonská holčička. Když se se svými rodiči vydává poprvé do nového bydliště, jejich auto zabloudí na opuštěnou lesní cestu, vedoucí k záhadnému tunelu. Chihiro i její rodiče se vydají dovnitř a objeví cosi, co považují za opuštěný lunapark. Rodiče podlehnou lákavé nabídce občerstvení v opuštěných stáncích, ale záhy se promění ve vepře. Chihiro se snaží najít pomoc a narazí na tajuplného chlapce jménem Haku. Ten ji seznámí s duchy, kteří v noci lunapark obývají a najde jí zaměstnání u Yubaby, staré čarodějnice s malým tělem a velkou hlavou, která provozuje obrovské lázně, kam si chodí odpočinout milióny pozemských bohů a jiných fantastických bytostí. Zde se skrývá jediná možnost, jak může Chihiro zrušit zakletí svých rodičů a vrátit se do lidského světa.;20.07.2001 Toho Company;rodina, násilí, anime, sestry, kouzla, duchové, magie, démoni, čarodějnice, draci, prasata, paralelní svět, isekai, lázně;Hajao Mijazaki;Rumi Hiiragi, Takaši Naitó, Rjúnosuke Kamiki, Bunta Sugawara, Mari Nacuki, Šigejuki Tocugi, Takehiko Ono, Jasuko Sawaguči, Miju Irino, Širó Saitó;https://www.netflix.com/title/60023642<br>https://www.netflix.com/title/60023642<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>British Independent Film Awards (BIFA) (1x)<br>European Film Awards (1x)<br>César Awards (1x)<br>The Saturn Awards (2x)<br>;Academy Awards (1x)<br>Hong Kong Film Awards (1x)<br>Critics Choice Awards (1x)<br>Florida Film Critics Circle Awards (1x)<br>Los Angeles Film Critics Association Awards (1x)<br>New York Film Critics Circle Awards (1x)<br>The Saturn Awards (1x)<br>Berlinale (Berlin International Film Festival) (1x)<br>;
3157;Škola základ života;1938;86.80139462809917;91.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/170/174/170174295_d6rwaa.jpg;https://www.csfd.cz/film/3157-skola-zaklad-zivota/;Československo;Komedie;Škola základ života;Vše se tu točí kolem studentského časopisu Řev septimy, který napsal kdosi ze septimánů reálného gymnázia v Přívlakách, a který šplhoun Krhounek předal třídnímu učiteli. Vzbudil v profesorském sboru značné pozdvižení, protože poněkud humorných způsobem pojednával o jednotlivých členech profesorského sboru. Zatímco mladý profesor Bartoš a starý moudrý pedagog Gábrlík dokázali přejít celou věc s humorem, zbytek učitelského sboru zahájí zuřivé pátrání po viníkovi, jehož přiznání je podmínkou pro zrušení zákazu k účasti na středoškolském sportovním turnaji. Zuřivé pátrání pak rámuje mozaiku veselých epizod ze života studentů i profesorského sboru tvořeného řadou typicky svérázných postaviček, z nich vystupuje do popředí zejména aféra nejnadanějšího studenta Jindry Benetky, který ve slohové práci otevřeně kritizoval poměry na gymnáziu a byl za to navržen na vyloučení ze školy.;11.11.1938 Ufafilm;podle knihy, černobílý film, podle divadelní hry, škola, učitel, teen comedy;Martin Frič;Theodor Pištěk, František Smolík, František Kreuzmann st., Jaroslav Marvan, Ladislav Boháč, Václav Trégl, Karel Postranecký, Čeněk Šlégl, Marie Burešová, Lola Skrbková;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;Jaroslav Žák
