idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sPlatforms;sNominated;sWinner;sAuthor
6741;Lví král;1994;86.5451922872961;89.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/858/160858956_0f7846.jpg;https://www.csfd.cz/film/6741-lvi-kral/;USA;Animovaný / Dobrodružný / Drama / Rodinný / Muzikál;The Lion King;Zdivočelé stádo hnané na Scarův příkaz potměšilými hyenami by bezbranného Simbu určitě zadupalo do země, kdyby jej nezachránil jeho otec Mufasa. Při zoufalé záchraně však zahyne. Protřelému Scarovi pak nedá moc práce přesvědčit vyděšeného Simbu, že je zodpovědný za otcovu smrt a měl by neodkladně uprchnout! A tak se Scar se svojí suitou konečně dostane k moci - zatímco Simba si najde nové zvířecí přátele Pumbu a Timona, s nimiž v duchu bezstarostné filozofie Hakuna Matata vyroste do majestátní lví podoby. Ale země jeho otce strádá, královská krev se nezapře a kdesi na hvězdné obloze si Mufasa hluboce oddychl, když probuzený Simba razantně vyrazil v jeho královské stopě...;24.06.1994 Buena Vista Pictures US;láska, smrt, přátelství, vražda, otec, zvířata, dospívání, lež, zrada, Afrika, král, džungle, odpuštění, opice, prasata, lvi, hyeny, surikaty;Roger Allers, Rob Minkoff;Matthew Broderick, Jeremy Irons, James Earl Jones, Moira Kelly, Nathan Lane, Ernie Sabella, Jonathan Taylor Thomas, Robert Guillaume, Rowan Atkinson, Madge Sinclair;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-a3ae7371-39a5-4c0b-a1f2-29a70b372848<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-lion-king/umc.cmc.hzw12vgjjoz0tf0jn5m0x8i4<br>/novinky/8431-disney100-koncert/<br>/novinky/8431-disney100-koncert/<br>/novinky/8431-disney100-koncert/<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-a3ae7371-39a5-4c0b-a1f2-29a70b372848<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-lion-king/umc.cmc.hzw12vgjjoz0tf0jn5m0x8i4<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Amanda Awards (1x)<br>Golden Globes (1x)<br>The Saturn Awards (3x)<br>;Academy Awards (2x)<br>Golden Globes (3x)<br>Los Angeles Film Critics Association Awards (1x)<br>;
83776;Sněhurka a sedm trpaslíků;1937;86.55174943152645;83.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/163/185/163185902_3ec7bb.jpg;https://www.csfd.cz/film/83776-snehurka-a-sedm-trpasliku/;USA;Animovaný / Rodinný / Romantický / Muzikál / Pohádka;Snow White and the Seven Dwarfs;Sněhurka a sedm trpaslíků je prvním celovečerním animovaným příběhem, který byl kdy natočen. Sněhurka, za kterou získalo studio Walt Disney i svého prvního Oscara, započala tradici legendární Disneyovské rodinné zábavy, která se vyznačuje osobitým kouzlem, dobrou stavbou příběhu a bezvýhradně špičkovou animací. Příběh, ve kterém se mísí pohádkové kouzlo, dechberoucí napětí a neobyčejná odvaha, začíná jak jinak u kouzelného zrcadla. Kdo je na světě nejkrásnější? Zlá královna se dozvídá, že její půvab daleko převyšuje nevlastní dcera, Sněhurka. Proto se jí chce zbavit. Na útěku před nenávistí narazí Sněhurka na chaloupku, ve které žije sedm roztomilých trpaslíků Šmudla, Prófa, Štístko, Kejchal, Stydlín, Dřímal a nabručený Rejpal. Vzájemné setkání změní osudy každého z nich.;16.09.1938;láska, přátelství, přátelé, zvířata, podvod, les, zpěv, kouzla, podle povídky, královna, přání, lovci, trpaslíci, zrcadlo, Sněhurka, Disney Princess;David Hand;Roy Atwell, Stuart Buchanan, Adriana Caselotti, Pinto Colvig, Billy Gilbert, Otis Harlan, Moroni Olsen, Eddie Collins, Scotty Mattraw, Lucille La Verne;/tvurce/3426-walt-disney/prehled/<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-f51f7e6c-2d9a-443c-9831-f3cc22e822b4<br>/tvurce/3426-walt-disney/prehled/<br>/tvurce/3426-walt-disney/prehled/<br>/tvurce/3426-walt-disney/prehled/<br>/novinky/9360-hrana-snehurka-od-disneyho-miri-k-obrovskemu-propadaku/<br>/novinky/9360-hrana-snehurka-od-disneyho-miri-k-obrovskemu-propadaku/<br>/novinky/9360-hrana-snehurka-od-disneyho-miri-k-obrovskemu-propadaku/<br>/novinky/9345-u-disneyho-se-boji-reakci-na-novou-snehurku/<br>/novinky/9345-u-disneyho-se-boji-reakci-na-novou-snehurku/<br>/novinky/9345-u-disneyho-se-boji-reakci-na-novou-snehurku/<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-f51f7e6c-2d9a-443c-9831-f3cc22e822b4<br>/tag/1764-disney-princess/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>The Saturn Awards (1x)<br>Venice Film Festival (1x)<br>;Academy Awards (1x)<br>New York Film Critics Circle Awards (1x)<br>The Saturn Awards (1x)<br>;Jacob Grimm, Wilhelm Grimm
2428;Zpívání v dešti;1952;86.09828943795819;103.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/885/162885329_485c5f.png;https://www.csfd.cz/film/2428-zpivani-v-desti/;USA;Muzikál / Romantický / Komedie;Singin' in the Rain;Jeden z nejlepších muzikálů, které kdy spatřily stříbro plátna, je zároveň výtečnou romantickou komedií, hravou satirou na Hollywood 20. let i mimoděčnou historickou lekcí o jedné z klíčových etap vývoje kinematografie. Hvězdy němé éry se ocitají v osidlech lásky a zvukového filmu a s obojím se vyrovnávají vtipně, vynalézavě a s grácií. A navíc jaksi mimochodem vynaleznou i dabing. (AČFK);27.03.1952 Metro-Goldwyn-Mayer (MGM);muž, láska, žena, přátelství, přátelé, 20. století, tajemství, němý film, peníze, umění, lež, hudba, podvod, sláva, tanec, zpěv, herci, filmařské zákulisí, období 1910-1920, závist, období 1920-1930, Hollywood, déšť;Stanley Donen, Gene Kelly;Gene Kelly, Donald O'Connor, Debbie Reynolds, Jean Hagen, Cyd Charisse, Douglas Fowley, Millard Mitchell, Rita Moreno, Mae Clarke, Bobby Watson;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/singin-in-the-rain/umc.cmc.4y40uv6tngxx1wfrh78p8yzft<br>https://www.youtube.com/watch?v=HQSXEIMW6Xo<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/singin-in-the-rain/umc.cmc.4y40uv6tngxx1wfrh78p8yzft<br>https://www.youtube.com/watch?v=HQSXEIMW6Xo<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (1x)<br>;Golden Globes (1x)<br>;
5991;Limonádový Joe aneb Koňská opera;1964;86.0020647825526;95.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/885/162885324_2e60c4.png;https://www.csfd.cz/film/5991-limonadovy-joe-aneb-konska-opera/;Československo;Komedie / Muzikál / Western / Dobrodružný;Limonádový Joe aneb Koňská opera;"Jedna z nejslavnějších a nejoblíbenějších českých filmových komedií, kde správní muži pijí pouze kolalokovu lihuprostou limonádu a zákon má podobu pistolníka, vybaveného přesnou muškou, zářivým úsměvem a lahodným tenorem. V Trigger Whisky Saloonu, který stojí v malém městečku Stetson City kdesi na Divokém západě, se strhne rvačka. Majitel podniku Doug Badman uklidní rozvášněné pistolníky vystoupením ""famósní arizonské pěnice"" Tornado Lou, která zazpívá píseň o šampiónu svého srdce. Ve chvíli, kdy se pistolník Grimpo chystá vypít svého oblíbeného ""supercloumáka"", objeví se v saloonu pan Goodman s dcerou Winnifred, kteří se snaží pomocí letáků a písně odvrátit pistolníky od pití alkoholických nápojů. Jedinou odpovědí jim jsou urážky. Tu se však v saloonu objeví sličný kovboj v bělostném oděvu a poručí si sklenici kolalokovy limonády. Potom hravě donutí Grimpa, aby se omluvil půvabné Winifred a než odjede, stačí ještě zlikvidovat bandu bankovních lupičů a probudit v srdcích Winnifred i Tornado Lou hlubokou lásku. Zanedlouho se Trigger Whisky Saloon ocitne na pokraji bankrotu, protože pistolníci popíjejí kolalokovu limonádu v sousedství, kde pan Goodman otevřel nealkoholický bar. Jenže na scéně se objeví Badmanův bratr Horác, padouch známý pod jménem Hogofogo. Ten přetáhne pistolníky zpět k whisky a zmocní se Winnifred. Limonádový Joe vše vidí díky zrcadlení vzduchu, tzv. Fata Morganě, a dívku zachrání. Vyzná jí lásku a pak se vydá zachránit podnik jejího otce před zánikem. Hravě si poradí s pistolníky, ale podlehne zákeřné léčce, kdy je mu ve sklenici kolalokovy limonády podstrčena lihovina. Kdo se však posupně směje, směje se předčasně, protože ani takové drobnosti, jako je dvojitý průstřel srdce, nemohou bělostného hrdinu rozházet.";V TV od 25.02.1967 Československá televize;podle knihy, podle divadelní hry, parodie, Divoký západ, tónovaný film;Oldřich Lipský;Karel Fiala, Miloš Kopecký, Květa Fialová, Olga Schoberová, Rudolf Deyl ml., Bohuš Záhorský, Josef Hlinomaz, Karel Effa, Waldemar Matuška, Eman Fiala;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;San Sebastián International Film Festival (1x)<br>;San Sebastián International Film Festival (1x)<br>;Jiří Brdečka
7123;Pink Floyd: The Wall;1982;85.973562736047;95.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/554/162554739_2f6e6e.jpg;https://www.csfd.cz/film/7123-pink-floyd-the-wall/;Velká Británie;Drama / Hudební / Muzikál / Animovaný / Fantasy;Pink Floyd: The Wall;"Je zamčený v pokoji jakéhosi losangelského hotelu a hlavou mu táhnou klíčové okamžiky jeho života. Rocková hvězda Pink, na jehož koncert se už možná kdesi venku scházejí tisíce fanoušků. Sedí tu a utápí se v děsivých představách a vizích. Scény represí a lidské agresivity se střídají s frustrujícími vzpomínkami na dětství bez otce, zato s přehnaně ochranitelskou matkou, na školu, pokoušející se všechny semlít do jedné beztvaré, nemyslící masy, na ženu, která jej zradila. Sedí tu, obehnán pomyslnou ochrannou zdí, kterou si kolem sebe kdysi vybudoval, a neví jak dál. Kultovní snímek ""Pink Floyd: The Wall"" je jedním z mála filmových děl, experimentujících s ryze hudební látkou. Po úspěchu jevištního zpracování dvojalba populární skupiny Pink Floyd se režie celovečerního filmu ujal Alan Parker (Sláva, Hořící Mississippi, Evita atd.), který se tu poetice hudebního tvaru přiblížil v kinematografických dějinách zcela ojedinělým způsobem. Podle scénáře vůdčího ducha skupiny Rogera Waterse vznikl film, jenž je tříští symbolických obrazů a animovaných sekvencí, volně spojených písněmi a situací fiktivní hlavní postavy. Film, který je nadčasovým vyprávěním o osamělosti člověka i o nejrůznějších zdech, jež si kolem sebe stavíme.";08.06.1995 Lucernafilm;20. století, období 1940-1950, 2. světová válka, vojáci, manipulace, hudba, nevěra, soud, nacisté, šikana, vlak, koncert, deprese, letadla, základní škola, halucinace, diktátor, protiválečný;Alan Parker;Bob Geldof, Bob Hoskins, Joanne Whalley, Kevin McKeon, Phil Davis, Roger Waters, Jenny Wright, Alex McAvoy, Nell Campbell, Eddie Tagoe;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;The Saturn Awards (1x)<br>;British Academy of Film and Television Arts (BAFTA) (2x)<br>;
9802;Ghosts;1996;86.31897203325775;38.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/009/9230_8721e6.jpg;https://www.csfd.cz/film/9802-ghosts/;USA;Krátkometrážní / Hudební / Horor / Muzikál;Michael Jackson's Ghosts;40minutový muzikál, ve kterém hraje Michael hned několik rolí sám. Využívá k tomu speciální make up a speciální efekty, mění hlas. Film Ghosts byl i kritiky přijat jako film, který mění zaběhnuté standardy ve filmové práci. Děj: Maestro žije v Normálním údolí a nikomu neubližuje. Nelíbí se ale místnímu starostovi, který ho chce s pomocí lidí z vesnice vyhnat. Nakonec se starosta a Maestro domluví, že kdo dřív uteče, odejde. Film vlastně satiricky ukazuje Michaelův život v posledních letech. Je plný duchů, strašidel a velmi zvláštních situací. (bublajsa);;strach, monstra, tanec, duchové, maska;Stan Winston;Michael Jackson, Stan Winston, Yasiin Bey, Michael Gregory, Stanley Dyrector, Edwina Moore, Seth Smith, Mike Smithson;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
1837;My Fair Lady;1964;85.18152341466008;170.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/948/164948556_eb93de.jpg;https://www.csfd.cz/film/1837-my-fair-lady/;USA;Komedie / Drama / Muzikál / Romantický;My Fair Lady;"Slavný film George Cukora My Fair Lady, ověnčený v roce 1964 celkem osmi Oscary, vychází z úspěšného broadwayského muzikálu, inspirovaného hrou anglického dramatika a mistra chytrého humoru G. B. Shawa ""Pygmalion"" (tato hra se poprvé ocitla na filmovém plátně již v roce 1938). Příběh květinářky Lízy Doolittleové a profesora Henryho Higginse, který se vsadí, že z prostého chudého děvčete udělá pravou dámu, splnil očekávání producentů a brzy po svém uvedení vydělal dvojnásobek výrobních nákladů ve výši 17 milionů dolarů. Oproti originální předloze se tu dočkáme i tolik žádaného šťastného konce. Rex Harrison si svoji úlohu zahrál již na Broadwayi a později v Londýně, zatímco Audrey Hepburnová vystřídala na přání producenta broadwayskou divadelní hvězdu Julii Andrewsovou. Pro tu bylo jistě satisfakcí oscarové ocenění téhož roku za hlavní roli v muzikálu Mary Poppins, když její sokyně vyšla naprázdno. Přestože je ve zpívaných pasážích Audrey Hepburnová dabována, přispěl její křehký půvab, uvolněnost a smysl pro muzikálové herectví k úspěchu snímku, který dodnes učí další generace, v čem je podstata kvalitního scénického provedení muzikálu. Bohatá výprava a kostýmy, krásné melodie a vynikající herecké výkony a navíc nově restaurovaná kopie – to vše činí z tohoto filmu ojedinělý sváteční zážitek. (Česká televize)";25.12.1964 Warner Bros. US;láska, žena, přátelství, přátelé, 20. století, podle divadelní hry, období 1910-1920, ples;George Cukor;Audrey Hepburn, Rex Harrison, Stanley Holloway, Wilfrid Hyde-White, Gladys Cooper, Jeremy Brett, Theodore Bikel, Bill Shirley, Alan Napier, Monika Henreid;/tvurce/94904-mona-washbourne/prehled/<br>http://www.ceskatelevize.cz<br>http://www.ceskatelevize.cz<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (2x)<br>New York Film Critics Circle Awards (2x)<br>;Academy Awards (8x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (3x)<br>New York Film Critics Circle Awards (2x)<br>;
2974;Vlasy;1979;84.4638496875388;121.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/885/162885328_8c0675.png;https://www.csfd.cz/film/2974-vlasy/;USA / Západní Německo;Muzikál / Komedie / Drama;Hair;Vlasy, jeden z nejvýznamnějších muzikálů druhé poloviny 20. století, zaujal bezpochyby Miloše Formana nejen nabízející se možností natočit výpravný film s choreografickými čísly, moderní hudbou a provokujícími texty, ale především svými přesahy za obvyklé hranice muzikálového žánru. V době svého vzniku byly Vlasy dílem politickým a vyhroceně sociálněkritickým, odsuzujícím válku ve Vietnamu a maloměšťáckou lhostejnost vůči této tragédii. A také dílem romantickým vzýval hippies a všechny formy jejich rebelie proti zbytnělému konzervatismu. Formanovi nečinilo žádné potíže najít si vztah k těmto ryze americkým tématům, vždyť jádrem tam byly problémy, na něž se soustřeďoval ve všech svých českých filmech: generační konflikt, naivní a čistá touha mládí po lásce a svobodě a rovněž protest proti konvencím a předsudkům, které tyto iluze bezcitně ničí. Ondříček měl tentokrát před kamerou daleko různorodější a temperamentnější reprezentanty mládí, než na jaké byl zvyklý doma, a také toho náležitě využil. Snímá je téměř nepřetržitě v akci a dynamickém pohybu, nevšímá si jen řeči tváře, ale celého těla, mladí muži a ženy v jeho podání jsou živelní a draví, strhující svou spontaneitou. Jistě i jeho zásluhou je tento film především nakažlivou oslavou vitality a radosti ze života.;01.05.1989 Ústřední půjčovna filmů;přátelství, vojáci, hudba, drogy, armáda, New York, tanec, svoboda, záměna identit, protestní hnutí, válka ve Vietnamu, marihuana, protiválečný, hippies, vojenská základna, demonstrace;Miloš Forman;John Savage, Treat Williams, Beverly D'Angelo, Annie Golden, Dorsey Wright, Don Dacus, Cheryl Barnes, Richard Bright, Nicholas Ray, Charlotte Rae;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/hair/umc.cmc.2awpfh7xi8fha32hvag9xqz4m<br>https://www.youtube.com/watch?v=8KhNMFPjU3M<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/hair/umc.cmc.2awpfh7xi8fha32hvag9xqz4m<br>https://www.youtube.com/watch?v=8KhNMFPjU3M<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;César Awards (1x)<br>Golden Globes (1x)<br>;;
194882;Mrtvá nevěsta Tima Burtona;2005;84.32569695641054;74.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/603/158603200_c5c5de.jpg;https://www.csfd.cz/film/194882-mrtva-nevesta-tima-burtona/;Velká Británie / USA;Animovaný / Fantasy / Romantický / Muzikál;Mrtvá nevěsta;Děj animovaného příběhu se odehrává ve viktoriánské vesnici v 19. století a sleduje příběh Viktora, mladého muže vtaženého do podsvětí, kde je oženěn s tajemnou mrtvou nevěstou. Jeho skutečná nevěsta Viktorie na něj mezitím čeká ve skutečném světě. Přestože se život v Zemi mrtvých ukáže být mnohem barvitější, než jeho striktní viktoriánská výchova, dospěje Viktor k závěru, že v tomto ani v dalších světech neexistuje nic, co by ho udrželo odloučeného od jeho skutečné lásky...;21.10.2005 Warner Bros. UK;smrt, vražda, dívka, otec, matka, rodiče, manželé, město, dcera, syn, chlapec, únos, zrada, mrtvola, les, 19. století, svatba, kouzla, šlechta, snoubenci, kostel, stop motion animace, pavouci, kostlivci, podsvětí (mýtické sídlo mrtvých);Tim Burton, Mike Johnson;Johnny Depp, Helena Bonham Carter, Emily Watson, Albert Finney, Richard E. Grant, Christopher Lee, Joanna Lumley, Danny Elfman, Michael Gough, Tracey Ullman;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/tim-burtons-corpse-bride/umc.cmc.5ikdb21mpr25v0ekvy4xtdhx<br>https://www.youtube.com/watch?v=JBoIXgqkhjA<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/tim-burtons-corpse-bride/umc.cmc.5ikdb21mpr25v0ekvy4xtdhx<br>https://www.youtube.com/watch?v=JBoIXgqkhjA<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>Critics Choice Awards (1x)<br>New York Film Critics Circle Awards (1x)<br>;The Saturn Awards (1x)<br>;
18252;Kráska a zvíře;1991;84.32767573432535;84.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/015/15400_58adaf.jpg;https://www.csfd.cz/film/18252-kraska-a-zvire/;USA;Animovaný / Rodinný / Muzikál / Romantický;Beauty and the Beast;V dobách, kdy ještě pohádka byla skutečností, žil ve Francii krásný mladý princ, který ale byl pyšný a sobecký. Stará čarodějnice se ho rozhodla potrestat a proměnila ho v hrozné zvíře. Zželelo se jí však mladého života a dala princi ještě šanci na vysvobození: pokud se do něj zamiluje nějaká dívka, stane se opět člověkem. Uběhlo několik let. Ve vzdálené vesnici žil podivínský vynálezce Maurice, který měl překrásnou dceru - říkali jí Kráska. Myslel si na ni marnivý krasavec Gaston, ale Krásku zajímaly jen knihy. Jednou se vynálezce Maurice vydal na cesty a zabloudil do domu obludného zvířete. Aby se zachránil, musela za zvířetem přijít jeho dcera Kráska. Jak už to v pohádkách bývá, všechno dobře dopadne. Kráska se do zvířete zamiluje, princi se vrátí jeho původní podoba, napraví se a bude z něj dobrý a spravedlivý král.Kráska a zvíře byla jako vůbec první kreslený film v historii udílení Oscarů nominována na nejlepší film, oceněna byla Oscary za nejlepší píseň a nejlepší hudbu.;22.11.1991 Buena Vista Pictures US;podle knihy, láska, tajemství, monstra, čarodějnice, princ, hrad, prokletí, sobectví, 3D, Wilhelm scream, Disney Princess;Gary Trousdale, Kirk Wise;Paige O'Hara, Robby Benson, Jerry Orbach, David Ogden Stiers, Angela Lansbury, Bradley Pierce, Frank Welker, Bill Farmer, Rex Everhart, Kimmy Robertson;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-97babebc-7013-455a-b377-aa3d7a6e79c1<br>/novinky/9671-disney-chysta-hrany-film-o-dalsim-kreslenem-zaporakovi/<br>/novinky/9671-disney-chysta-hrany-film-o-dalsim-kreslenem-zaporakovi/<br>/novinky/9671-disney-chysta-hrany-film-o-dalsim-kreslenem-zaporakovi/<br>/novinky/8431-disney100-koncert/<br>/novinky/8431-disney100-koncert/<br>/novinky/8431-disney100-koncert/<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-97babebc-7013-455a-b377-aa3d7a6e79c1<br>/tag/1764-disney-princess/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Golden Globes (1x)<br>The Saturn Awards (3x)<br>;Academy Awards (2x)<br>Golden Globes (3x)<br>Los Angeles Film Critics Association Awards (1x)<br>;Jeanne-Marie Leprince de Beaumont
