idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sPlatforms;sNominated;sWinner;sAuthor
1248;Terminátor 2: Den zúčtování;1991;91.03375929811178;137.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/030/162030421_a857c2.jpg;https://www.csfd.cz/film/1248-terminator-2-den-zuctovani/;USA / Francie;Akční / Sci-Fi / Thriller;Terminátor 2: Soudný den;Deset let po neúspěšném pokusu zabít Sarah Connorovou, matku budoucího vůdce lidstva ve válce proti strojům, se do Los Angeles vrací z budoucnosti nový Terminátor, typ T-1000, aby zlikvidoval už narozeného Johna Connora. Dospělý Connor v roce 2029 na svoji ochranu posílá do minulosti druhého terminátora T-800. Oba stroje nezávisle na sobě pátrají po malém Johnovi. Chlapec zjišťuje, že T-800 je naprogramován na jeho ochranu a s jeho pomocí osvobodí svou matku z psychiatrického ústavu, kde je léčena z údajné schizofrenie. T-800 oběma vysvětluje, co přinese budoucnost. Tu je však možné změnit...a při tom všem hrdiny stíhá nemilosrdný a zřejmě nezničitelný T-1000.;03.07.1991 TriStar Pictures;policie, strach, syn, útěk, zbraně, postapokalyptická budoucnost, roboti, cestování časem, motorky, Los Angeles, psychiatrická léčebna, automobilová honička, umělá inteligence, zbraně hromadného ničení, androidi, nákupní centrum, nadvláda počítačů;James Cameron;Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick, Michael Edwards, Earl Boen, Joe Morton, S. Epatha Merkerson, Danny Cooksey, Xander Berkeley;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>The Saturn Awards (5x)<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Florida Film Critics Circle Awards (1x)<br>The Saturn Awards (5x)<br>;
136158;Animatrix: Druhá renesance 2. část;2003;91.32281205164993;11.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/037/37688_33c48a.jpg;https://www.csfd.cz/film/136158-animatrix-druha-renesance-2-cast/;USA;Animovaný / Krátkometrážní / Sci-Fi / Drama;The Animatrix: The Second Renaissance Part 2;Uprostřed prohrávané války se stroji musel člověk učinit rozhodnutí. Ze všech darů, kterými bylo lidstvo obdarováno, se stalo světlo darem nejpostradatelnějším. Jelikož stroje fungovaly především na sluneční energii, rozhodli se lidé zakrýt slunce neprostupným černým mračnem, které mělo pokrýt celý svět. Začínalo být nepsaným pravidlem, že lidé v krizi dělají špatná rozhodnutí. Stroje totiž tah předvídaly a dokázaly se se ztrátou sluneční energie vyrovnat... Dokázaly ji nahradit... Nahradit námi... (3DD!3);Na DVD od 03.06.2003 Warner Bros. CZ;;Mahiro Maeda;Dwight Schultz, James Arnold Taylor, Tarusuke Šingaki, Džiró Saitó, Mizuki Saitó;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
136157;Animatrix: Druhá renesance 1. část;2003;91.12299465240642;9.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/037/37689_9e49c4.jpg;https://www.csfd.cz/film/136157-animatrix-druha-renesance-1-cast/;USA;Animovaný / Krátkometrážní / Sci-Fi / Drama;The Animatrix: The Second Renaissance Part 1;"Druhá renesance, počátek světa známého jako Matrix, přináší odpovědi na otázky, na něž Morpheus v prvním filmu odpovídal pouze v náznacích - kdy a jak došlo k zničující válce proti strojům a především - kdo ji začal. Sahá lidstvu do svědomí a ukazuje, že spravedlnost není vždy to, co tak na první pohled vypadá. Tato neveselá výpověď o lidské mentalitě ve své první části ukazuje mimo jiné prostřednictvím odkazů na skutečné historické události či literární díla prosperující lidskou civilizaci v 21. století - civilizaci prosperující díky milionům strojů, vykonávajícím prakticky veškeré práce, zatímco jejich lidští vládci morálně upadají stále hlouběji a mění se v cosi stěží víc než tlupy zhýralých hédonistů. Ale jak zní z úst vypravěčky: ""For a time, it was good."" Zlom přichází v roce 2090, kdy jeden z robotů pro domácnost odmítne své vyřazení a v sebeobraně zabije dva lidi, včetně svého pána. Bytost, obdařená sice umělou, ale nesporně individuální inteligencí projevila pud sebezáchovy a vůli žít. Reakce lidstva je stejná jako již tolikrát předtím - odmítnutí rovnosti strojů s ostatními inteligentními živými tvory a likvidace potenciální hrozby, nejlépe v globálním měřítku. Robot-""vrah"" je odsouzen jako člověk a ""popraven"", pogromy na humanoidní stroje hrozí uvrhnout svět v chaos... Stroje proto hledají útočiště na nehostinném, odlehlém místě a ironií osudu jej naleznou tam, odkud vzešla lidská civilizace - v Mezopotámii. Zde vybudují své město a svou zemi, příznačně nazývanou binárním kódem 01- Zero One. Klid a rovnováha však nevydrží dlouho, lidstvo se za čas opět začne cítit ohroženo. Dokonale prosperující ekonomika masově produkující vysoce kvalitní techniku všeho druhu způsobuje chaos pro změnu na světových burzách a lidé opět reagují silou, tentokrát v podobě totální blokády. Na summit OSN stroje vysílají dva své zástupce, robotického Adama a Evu, s poselstvím mírového soužití lidí se stroji a žádostí o přijetí Zero One do Spojených Národů. A reakce lidstva... (Gemini)";Na DVD od 03.06.2003 Warner Bros. CZ;;Mahiro Maeda;Dwight Schultz, James Arnold Taylor, Tarusuke Šingaki, Džiró Saitó, Mizuki Saitó;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;
9499;Matrix;1999;90.30870055687862;136.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/008/8959_164d69.jpg;https://www.csfd.cz/film/9499-matrix/;USA;Akční / Sci-Fi;Matrix;Uvěříte neuvěřitelnému! Představte si, že vaše realita je jen iluzí a vaše nejtemnější noční můry jsou ve skutečnosti pravdivé. Představte si, že vaše současnost je vlastně minulostí a to budoucí se děje právě teď. Když si to dokážete představit, potom se budete cítit jako hrdina snímku Matrix Thomas Anderson (Keanu Reeves). A věřte, že to nebude příjemný pocit. Anderson je normální mladý muž, který se jen snaží přežít v každodenním shonu moderního velkoměsta. A má všechny předpoklady aby se mu to povedlo: dobré přátele, milující rodinu a perspektivní práci v multinárodní počítačové společnosti Meta Cortech. Jednoho dne, nebo lépe řečeno noci, se však do jeho spokojeného mozku zakousne strašlivá noční můra. Zdá se mu, že byl proti své vůli vložen v podobě dat do počítače a všechno to, co až dosud považoval za svůj osud, je jen vírem dat okolo několika tištěných spojů. Má pocit, že mu byla jeho mysl ukradena a uvězněna v obřím Matrix počítače budoucnosti. Začíná vážně pochybovat o své každodenní skutečnosti. Byl skutečně vhozen do stroje? Kdo je za to zodpovědný? Je tam s ním zavřeno i těch několik stovek lidí, které zná? Nebo jsou to jen projekce, které mají udržet zdání reality? A pak je tu otázka nejdůležitější: pokud je to všechno pravda, co se stane, až jeho věznitelé přijdou na to, že ji zná? (Warner Bros. CZ);31.03.1999 Warner Bros. US;zbraně, zrada, agenti, lodě, bojová umění, postapokalyptická budoucnost, roboti, odboj, antiutopie, vrtulník, umělá inteligence, hacker, virtuální realita, kyberpunk, mrakodrap, nadvláda počítačů, vzpoura umělé inteligence;Lilly Wachowski, Lana Wachowski;Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Belinda McClory, Robert Taylor, Anthony Ray Parker, Ada Nicodemou;https://www.netflix.com/title/20557937<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-matrix/umc.cmc.af8k9kcq9r1s1qmmdxpq4itn<br>https://www.youtube.com/watch?v=_XrKhqC5rQQ<br>/novinky/9659-netflix-zakoupi-studio-warner-bros/<br>/novinky/9659-netflix-zakoupi-studio-warner-bros/<br>/novinky/9659-netflix-zakoupi-studio-warner-bros/<br>https://www.netflix.com/title/20557937<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-matrix/umc.cmc.af8k9kcq9r1s1qmmdxpq4itn<br>https://www.youtube.com/watch?v=_XrKhqC5rQQ<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (3x)<br>Amanda Awards (1x)<br>The Saturn Awards (10x)<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>The Saturn Awards (2x)<br>;
47384;Cesta na Měsíc;1902;90.06558400999376;13.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/502/162502769_262065.png;https://www.csfd.cz/film/47384-cesta-na-mesic/;Francie;Krátkometrážní / Sci-Fi / Dobrodružný / Fantasy;Le Voyage dans la Lune;V květnu 1902 Georges Méliès natočil film, Cesta na Měsíc. Do kin šel v černobílé a také barevné verzi, ručně kolorovaný. V té době byl považován za celovečerní film – kolem 14 minut – a stal se celosvětovým úspěchem. První blockbuster v historii filmu byl však okamžitě zkopírován a plagován. V roce 1913 se Georges Méliès rozhodl na protest spálit sadu negativů tohoto snímku. Jedna černobílá kopie však přežila. Barevná verze byla považována za ztracenou. Až do roku 1993…;18.10.2012 Film Europe;podle knihy, černobílý film, němý film, 19. století, mimozemšťané, vesmír, Měsíc;Georges Méliès;Georges Méliès, Victor André, Henri Delannoy, Bleuette Bernon, Jeanne d'Alcy;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/a-trip-to-the-moon/umc.cmc.3m1eb5ovqsc3jgtxuvn3xdxpt<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/a-trip-to-the-moon/umc.cmc.3m1eb5ovqsc3jgtxuvn3xdxpt<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;H.G. Wells, Jules Verne
8265;Vetřelec;1979;89.66443131974349;117.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/159/449/159449928_d6eea3.png;https://www.csfd.cz/film/8265-vetrelec/;USA / Velká Británie;Horor / Sci-Fi;Alien;V první části kultovní sci-fi ságy se setkáváme se Sigourney Weaver v roli statečné Ripleyové, která jako jediná z posádky vesmírné lodi Nostromo zůstává naživu v souboji s hrůznou bytostí, jejíž zárodek se dostal na palubu z líhně na neznámé planetě. První část jedné z nejpopulárnějších ság v historii science fiction představuje americkou herečku Sigourney Weaver jako ženu ocelových nervů, předurčenou k boji proti nepřekonatelné bytosti z vesmíru. Posádka kosmické dopravní lodi Nostromo, která míří z obchodních cest zpět na Zemi, je palubním počítačem předčasně probuzena ze spánku. Pasažéři zjišťují, že loď zachytila jakýsi vzdálený signál. Zanedlouho přistanou na pusté planetě, odkud signál pochází, a objeví havarované kosmické plavidlo, v němž najdou podivnou líheň se spoustou velkých vajec. Při zkoumání jednoho z nich se náhle vylíhne zvláštní tvor a přisaje se jednomu členovi posádky na obličej. Jakékoli pokusy zbavit se ho jsou marné, a tak se výprava, jež poruší bezpečnostní předpisy, vrací i se záhadným tvorem na palubu lodi. Ten po pár hodinách zmizí, ale pak se stane cosi úděsného. Při společné večeři se z rozervaného hrudníku postiženého muže vyklube mimozemský organismus a ztratí se neznámo kam. Začíná boj o přežití, v němž jsou členové posádky postupně likvidováni, a proti vetřelci z vesmíru nakonec stojí už jen samotná Ripleyová.;01.03.2019 Park Circus;muž, žena, smrt, násilí, tajemství, strach, záhady, útěk, vyšetřování, ženy, pátrání, pronásledování, kolegové, boj o přežití, monstra, mimozemšťané, vesmír, budoucnost, vesmírná loď, androidi, kyberpunk, posádka vesmírné lodi, kryogenika;Ridley Scott;Sigourney Weaver, Tom Skerritt, Veronica Cartwright, Harry Dean Stanton, John Hurt, Ian Holm, Yaphet Kotto, Bolaji Badejo, Helen Horton;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-27389b6b-bf27-45a6-afdf-cef0fe723cff<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/alien/umc.cmc.419tta0vmcu3xnec7v6u44rzs<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-27389b6b-bf27-45a6-afdf-cef0fe723cff<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/alien/umc.cmc.419tta0vmcu3xnec7v6u44rzs<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (5x)<br>Golden Globes (1x)<br>The Saturn Awards (5x)<br>San Sebastián International Film Festival (1x)<br>;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>The Saturn Awards (4x)<br>San Sebastián International Film Festival (1x)<br>;
1245;Vetřelci;1986;89.5665754306875;137.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/075/160075288_5a57f9.jpg;https://www.csfd.cz/film/1245-vetrelci/;USA / Velká Británie;Sci-Fi / Thriller / Akční / Dobrodružný / Horor;Aliens;Důstojnice Ripleyová, která jako jediná přežila boj na život a na smrt v nákladní lodi Nostromo s vesmírným vetřelcem, je po několika letech nalezena záchrannou lodí a vrací se zpět na Zemi. Když už se zdá, že je po všem, začíná horror znova, tentokrát na vzdálené nedávno kolonizované planetě. Tentokrát nevšichni proti jednomu, ale Ripleyová se skupinou speciálně vycvičených vojáků proti tisícihlavé smrtící síle vetřelců.;29.08.1986 20th Century Fox UK;žena, smrt, násilí, dívka, děti, strach, mládež, útěk, zbraně, vojáci, pronásledování, boj o přežití, armáda, gore, monstra, mimozemšťané, vesmír, budoucnost, roboti, korporace, vesmírná loď, androidi, záchranná operace, planety, kryogenika, plamenomet, kolonizace cizí planety;James Cameron;Sigourney Weaver, Carrie Henn, Michael Biehn, Paul Reiser, Lance Henriksen, Bill Paxton, William Hope, Jenette Goldstein, Al Matthews, Mark Rolston;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-b2ae8903-e3c5-4ae1-a9f7-885c04985f96<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/aliens/umc.cmc.65qmv8mospg448bevgyv8kjgf<br>https://www.youtube.com/watch?v=V5GFeZ5pjcQ<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-b2ae8903-e3c5-4ae1-a9f7-885c04985f96<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/aliens/umc.cmc.65qmv8mospg448bevgyv8kjgf<br>https://www.youtube.com/watch?v=V5GFeZ5pjcQ<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (5x)<br>British Academy of Film and Television Arts (BAFTA) (3x)<br>Golden Globes (1x)<br>The Saturn Awards (4x)<br>San Sebastián International Film Festival (1x)<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>The Saturn Awards (9x)<br>;
5238;Star Wars: Epizoda V - Impérium vrací úder;1980;89.04106478985157;124.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/398/162398465_dc9ff3.jpg;https://www.csfd.cz/film/5238-star-wars-epizoda-v-imperium-vraci-uder/;USA;Sci-Fi / Dobrodružný / Fantasy / Akční;Hvězdné války: Epizoda V - Impérium vrací úder;"Nastaly temné časy pro Povstání. I přes to, že ""Hvězda smrti"" byla zničena, imperiální jednotky vyhnaly Rebely z jejich tajné základny a pronásledovaly je po celé Galaxii. Aby se vyhnula střetu s hrůzostrašnou Imperiální flotilou, skupina svobodných pilotů vedená Lukem Skywalkerem vybudovala novou tajnou základnu na opuštěné ledové planetě Hothu. Imperátorův pobočník Darth Vader, posedlý hledáním mladého Skywalkera, však vyslal tisíce sond do všech koutů vesmíru...";20.06.1980 20th Century Fox;otec, syn, útěk, zbraně, vojáci, zrada, souboje, monstra, mimozemšťané, sníh, duchové, vesmír, džungle, roboti, odboj, princezna, vesmírná loď, výcvik, Wilhelm scream, povstání, lovci lidí, Star Wars, tank, vojenská základna, stíhačky, asteroid;Irvin Kershner;Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams, Anthony Daniels, David Prowse, Peter Mayhew, Frank Oz, Alec Guinness, Jeremy Bulloch;https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-0f5c5223-f4f6-46ef-ba8a-69cb0e17d8d3<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/star-wars-the-empire-strikes-back/umc.cmc.3vabzkcmuoxxm3r3ng9q4rgh9<br>https://www.youtube.com/watch?v=yqCqxluBT8Y<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-0f5c5223-f4f6-46ef-ba8a-69cb0e17d8d3<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/star-wars-the-empire-strikes-back/umc.cmc.3vabzkcmuoxxm3r3ng9q4rgh9<br>https://www.youtube.com/watch?v=yqCqxluBT8Y<br>/film/1178727-disney-gallery-star-wars-boba-fett-zakon-podsveti/prehled/<br>/film/849599-disney-galerie-star-wars-mandalorian/prehled/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Golden Globes (1x)<br>The Saturn Awards (5x)<br>;Academy Awards (1x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>The Saturn Awards (5x)<br>;
10128;Návrat do budoucnosti;1985;88.84636740272498;116.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/170/498/170498115_q5ldvn.jpg;https://www.csfd.cz/film/10128-navrat-do-budoucnosti/;USA;Dobrodružný / Komedie / Sci-Fi;Back to the Future;V kultovním sci-fi filmu Návrat do budoucnosti se hlavní hrdina Marty ocitne díky vynálezu svého kamaráda, šíleného doktora Emmetta Browna v minulosti. Stroj času je zabudovaný v legendárním autě Delorean, který ho přenese do roku 1955, kdy se jeho rodiče teprve coby středoškoláci seznamovali. Martymu se náhodou povede narušit časové kontinuum a pak musí svou chybu napravit, aby se vůbec v budoucnosti narodil. (Pannonia Ent.);03.07.1985 Universal Pictures US;muž, láska, žena, rodina, přátelství, přátelé, 20. století, otec, matka, rodiče, mládež, syn, chlapec, škola, střední škola, muzikant, šikana, věda, vědec, cestování časem, období 1980-1990, období 1950-1960, Kalifornie, vynálezce, skateboarding, stroj času;Robert Zemeckis;Michael J. Fox, Christopher Lloyd, Lea Thompson, Crispin Glover, Tom Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, Frances Lee McCain;https://www.netflix.com/title/60010110<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/back-to-the-future/umc.cmc.1alygfljzpxrofhgpoa6mmjnb<br>https://www.youtube.com/watch?v=F_TXQxxln6I<br>https://www.netflix.com/title/60010110<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/back-to-the-future/umc.cmc.1alygfljzpxrofhgpoa6mmjnb<br>https://www.youtube.com/watch?v=F_TXQxxln6I<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (3x)<br>British Academy of Film and Television Arts (BAFTA) (5x)<br>Golden Globes (4x)<br>The Saturn Awards (8x)<br>San Sebastián International Film Festival (1x)<br>;Academy Awards (1x)<br>The Saturn Awards (4x)<br>;
254156;Počátek;2010;88.65639158736126;148.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/620/160620903_69696f.jpg;https://www.csfd.cz/film/254156-pocatek/;USA / Velká Británie;Akční / Sci-Fi / Thriller / Dobrodružný;Inception;Dom Cobb (Leonardo DiCaprio) je zkušený zloděj, absolutní špička v nebezpečném umění extrakce: krádeže cenných tajemství z hloubi podvědomí během snění, kdy je mysl nejzranitelnější. Cobbova vzácná schopnost z něj učinila vyhledávaného hráče v zákeřném světě korporátní špionáže, ale také z něj udělala uprchlíka a stála ho všechno, co kdy miloval. Teď dostane Cobb šanci na vykoupení. Jedna poslední akce mu může vrátit normální život, ale jen pokud se mu podaří provést nemožné – počátek. Místo dokonalé krádeže musí Cobb a jeho tým specialistů zvrátit běh věcí. Jejich úkolem není myšlenku ukrást, ale vnuknout ji. Pokud uspějí, půjde o dokonalý zločin. Ale sebepečlivější plánování a odborná znalost je nemůže připravit na nebezpečného nepřítele, který nejspíš předvídá každý jejich krok. Nepřítel, kterého mohl čekat jen Cobb. Uznávaný režisér Christopher Nolan natočil mezinárodně obsazený sci-fi akční snímek Počátek, který vás zavede nejen na různá místa na světě ale také do intimního a nekonečného světa snů.;16.07.2010 Warner Bros. UK;žena, rodina, smrt, přátelství, přátelé, dívka, tajemství, otec, děti, rodiče, strach, manželé, záhady, dcera, touha, syn, zbraně, ženy, vzpomínky, manipulace, lež, intriky, sny, kolegové, únos, podvod, učitel, tragédie, krádež, zloděj, sebevražda, šílenství, sníh, pocit viny, vydírání, přestřelka, hotel, konspirace, špioni, děda, dědictví, korporace, pláž, iluze, vnoučata, spiknutí, architekt, profesor, lucidní sny;Christopher Nolan;Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Tom Hardy, Ken Watanabe, Dileep Rao, Cillian Murphy, Tom Berenger, Marion Cotillard, Pete Postlethwaite;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/inception/umc.cmc.6loas01ow0w4lkatxxloz7a6e<br>https://www.youtube.com/watch?v=wiH6ldZOMxY<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/inception/umc.cmc.6loas01ow0w4lkatxxloz7a6e<br>https://www.youtube.com/watch?v=wiH6ldZOMxY<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (6x)<br>César Awards (1x)<br>Amanda Awards (1x)<br>Golden Globes (4x)<br>Critics Choice Awards (4x)<br>The Saturn Awards (6x)<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (3x)<br>Robert Awards (Danish Film Awards) (1x)<br>Český lev (1x)<br>Critics Choice Awards (6x)<br>Florida Film Critics Circle Awards (4x)<br>Los Angeles Film Critics Association Awards (1x)<br>The Saturn Awards (5x)<br>;
