idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sSeries;sEpisodes;sDirector;sActor;sAuthor;sPlatforms;sNominated;sWinner
407733;Mamon;2015;79.92134242265338;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/174/160174012_7ddc60.jpg;https://www.csfd.cz/film/407733-mamon/;Česko;Krimi / Thriller;;Hlavním hrdinou příběhu je novinář, který se zabývá kauzou kolem významného státem řízeného podniku. Při zajišťování podkladů ke vznikající reportáži narazí novinář na kontroverzní informace týkající se jeho vlastního bratra, který je do skandálního případu osobně zapleten. (HBO Europe);Na DVD od 07.09.2016 Magic Box;láska, rodina, smrt, otec, policie, syn, vyšetřování, politika, podvod, bratři, novináři, sebevražda, korupce, výslech, sledování, policejní stanice, Praha;0.0;6.0;Vladimír Michálek;Matěj Hádek, Eva Leimbergerová, Gabriela Míčová, Michal Dlouhý, Tereza Hof, Daniel Tůma, Igor Bareš, Ondřej Malý, Dušan Sitek, Pavlína Štorková;;http://www.hbo.eu<br>http://www.hbo.cz/mamon<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Český lev (1x)<br>
191229;Příhody dráčka Soptíka;1975;80.1639344262295;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/599/158599492_7da9b4.jpg;https://www.csfd.cz/film/191229-prihody-dracka-soptika/;Itálie;Animovaný / Rodinný;Draghetto Grisù;Kdo by ho neznal. Malý dráček Soptík, který si i přes rozhořčení svého otce vzal do hlavy, že se stane hasičem. Nicméně nejspíš díky nedostatku pracovních míst u požárníků si Soptík nakonec vyzkouší řadu různých povolání, jako vlakvedoucí, tajný agent, astronaut, nebo fyzik. Nic není tomuto malému dráčkovi za těžko a přes to přese všechno stále touží po jediném - stát se hasičem. (Fary);Na DVD od 03.12.2009 BH Promo;podle komiksu, draci;;;Toni Pagot;Paolo Torrisi;Nino Pagot;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
77117;Ren a Stimpy;1991;80.14176018901358;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/170/155/170155339_s33cxw.jpg;https://www.csfd.cz/film/77117-ren-a-stimpy/;USA / Kanada;Animovaný / Komedie / Dobrodružný;Show Rena a Stimpyho;"Ren a Stimpy, celými jmény Ren Höek a Stimpson J. Cat jsou pes a kocour, kteří se však jen těžko ke svým živočišným druhům dají přiřadit. Ren je psychotická nervní čivava s astmatem, Stimpy je tlustý líný kocour s modrým nosem. Ale hlavně jsou oba velmi, velmi, velmi nechutní. Na televizní obrazovky byli svými tvůrci vypuštěni 11. srpna 1991 a nadělali tam pěknou paseku. během pěti serií obsahujících 52 dílů předvedli milionům lidí, jak lze honit pšouk po celém městě, zúčastnit se soutěže o nejodpornější zvíře na světě a podobné vylomeniny. V roce 2003 zaznamenali comeback v ještě drsnější verzi pod názvem Ren & Stimpy ""Adult Party Cartoon"" čili animák pro dospělé. Odvysílány však byly pouze tři díly, více jich televizní společnost nedokázala skousnout. Zajímavostí také je, že v epizodě Powdered Toast Man daboval roli papeže Frank Zappa. (filiperros)";V TV od 11.08.1991 Nickelodeon;;5.0;52.0;Bob Camp, John Kricfalusi, Gregg Vanzo;Billy West, Harris Peet, Bob Camp, Cheryl Chase, John Kricfalusi, Jack Carter, Vincent Waller, Charlie Brissette, Jim Smith, Gary Owens;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;The Saturn Awards (1x)<br>;
221543;Blood+;2005;80.18043025676613;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/165/812/165812704_52349d.jpg;https://www.csfd.cz/film/221543-blood/;Japonsko;Animovaný / Akční / Drama / Horor;Blood+;Říká se jim Chiropterani – věčně hladová nesmrtelná monstra, která mohou libovolně měnit svůj vzhled. Nejčastěji volí podobu lidskou a skrývají se přímo mezi námi. Proti nim stojí organizace Rudý štít. Tato válka postupně nabývá čím dál hrozivějších podob... Saya Otonashi je normální středoškolskou studentkou. Má jediný problém – pamatuje si pouze poslední rok svého života. Jednoho dne se objeví muž jménem Hagi a předá ji katanu. Cesta za pravdou začíná... (Fabienne);V TV od 08.10.2005 MBS;anime, upíři;0.0;50.0;Džun'iči Fudžisaku, Kazuto Nakazawa, Susumu Kudó;Eri Kitamura, Kacujuki Koniši, Hirojuki Jošino, Akiko Jadžima, Hóčú Ócuka, Keidži Fudžiwara, Akira Išida, Kentaró Itó, Júko Kaida, Ami Košimizu;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
282521;Ve znamení raka;2010;80.28941355674029;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/164/680/164680805_08386d.jpg;https://www.csfd.cz/film/282521-ve-znameni-raka/;USA;Komedie / Drama;The Big C;Ústřední postavou tohoto seriálu je učitelka Cathy. Její život vypadá naprosto stejně jako příběh jakékoliv jiné ženy z amerického předměstí - nudně a stále stejně. Vše se ale otočí vzhůru nohama v momentě, kdy se Cathy dozví, že má rakovinu a že ji pravděpodobně nezbývá mnoho času. Rozhodne se tedy zahodit konvence a tradice a konečně se pro jednou chovat jak chce ona a ne, jak chtějí druzí. Způsob, jakým se s údělem vyrovnává ve společnosti jejího lehce nevyspělého manžela, pubertálního syna či bratra, radikálně bojujícího za záchranu celé planety, překvapí a rozesměje asi každého. (xxx-ivush);V TV od 16.08.2010 Showtime;rodina, smrt, přátelství, přátelé, otec, matka, rodiče, syn, chlapec, škola, sourozenci, lež, podvod, učitel, doktoři, nemoc, studenti, střední škola, nemocnice, umírání, těhotenství, prostituce, prostitutka, sousedi, snoubenci, rakovina, potrat, lék, skupinová terapie;4.0;40.0;Michael Engler, Craig Zisk, Tricia Brock;Laura Linney, Oliver Platt, Gabriel Basso, John Benjamin Hickey, Gabourey Sidibe, Phyllis Somerville, Cynthia Nixon, Reid Scott, Hugh Dancy, Susan Sarandon;;https://www.netflix.com/title/70180085<br>https://www.netflix.com/title/70180085<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (2x)<br>;Golden Globes (1x)<br>
765359;Criminal: Velká Británie;2019;80.42267050912584;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/163/996/163996374_77aa71.jpg;https://www.csfd.cz/film/765359-criminal-velka-britanie/;Velká Británie;Drama / Krimi;Criminal: UK;Detektivové v londýnské vyšetřovně svádí souboj s časem a pokouší se dostat pod kůži třem podezřelým, kteří jsou obvinění z vážných zločinů. (Netflix);Na VOD od 20.09.2019 Netflix (Série 1);vražda, policie, vyšetřování, vrah, detektiv, znásilnění, výslech, Londýn, policejní stanice, emigrace, jed;2.0;7.0;Jim Field Smith;David Tennant, Daniel Chamorro, Lee Ingleby, Katherine Kelly, Nicholas Pinnock, Mark Stanley, Hayley Atwell, Clare-Hope Ashitey, Youssef Kerkour, Lolita Chakrabarti;;https://www.netflix.com/title/80216172<br>https://www.netflix.com/<br>https://www.netflix.com/title/80216172<br>https://www.netflix.com/cz/title/80216172<br>https://www.csfd.cz/vod/netflix/<br>https://www.csfd.cz/vod/netflix/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
334795;Utopia;2013;80.43478260869566;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/160/242/160242855_b4c7db.jpg;https://www.csfd.cz/film/334795-utopia/;Velká Británie;Drama / Mysteriózní / Thriller / Sci-Fi;;"Příběh sleduje malou skupinu lidí, kteří se dostanou k rukopisu kultovního grafického románu s názvem ""Experimenty Utopie"", o nemž kolují zvěsti, že předpověděl nejhorší katastrofy minulého století. To má za následek, že se na skupinu zaměří vládní organizace známá pouze jako ""The Network"", které se musí nálezci románu vyhnout, aby vůbec přežili. (mac000)";V TV od 15.01.2013 Channel 4;vražda, útěk, agenti, křivé obvinění, konspirace, přelidnění;2.0;12.0;Marc Munden, Alex Garcia Lopez, Wayne Che Yip;Fiona O'Shaughnessy, Alexandra Roach, Nathan Stewart-Jarrett, Adeel Akhtar, Paul Higgins, Oliver Woollford, Neil Maskell, James Fox, Geraldine James, Stephen Rea;;https://www.youtube.com/watch?feature=player_embedded&v=zh6OW0oeN1g<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
157282;Haibane renmei;2002;80.53811659192826;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/161/697/161697411_af1ee7.jpg;https://www.csfd.cz/film/157282-haibane-renmei/;Japonsko;Animovaný / Drama / Fantasy / Mysteriózní / Psychologický;灰羽連盟;V dlouho zapomenutém městě spolu žijí lidé a Haibane, bytosti podobné andělům neznámého původu. Rakka, poté, co se probudí ze zvláštního snu a vyškrábe se z obrovského kokonu, stane se nejnovější Haibane. Nemaje vzpomínky na svůj předchozí život, snaží se Rakka přizpůsobit novému okolí. Pálivé otázky však v koutku mysli zůstávají. Kdo jsou Haibane a jaký je jejich smysl? Co leží za obrovskou, zakázanou městskou hradbou? A tak Rakka začíná tesknou cestu svým sebeobjevováním a zvědavostí. (Idaho);V TV od 09.10.2002 Fuji Television;smrt, dívka, děti, město, anime, sny, žárlivost, pocit viny, osamělost, ptáci, odpuštění, amnézie, klášter, andělé, posmrtný život;0.0;13.0;Tomokazu Tokoro, Takahiro Ómori, Icuki Imazaki;Džunko Noda, Fumiko Orikasa, Tamio Óki, Aja Hisakawa, Akiko Jadžima, Tomoe Hanba, Miju Macuki, Kumiko Higa, Jasuhiro Fudžiwara, Hadžime Iidžima;Jošitoši Abe;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
95426;Sedmnáct zastavení jara;1973;80.88998763906056;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/074/74971_d95485.jpg;https://www.csfd.cz/film/95426-sedmnact-zastaveni-jara/;Sovětský svaz;Dobrodružný / Válečný;Sjemnadcať mgnovenij vesny;"Otto von Stierlitz je hlavní hrdina ruské románové série Juliana Semjonova Sedmnáct zastavení jara. První kniha vyšla v roce 1970), a stejnojmenný televizní seriál, byl natočen v roce 1973. SS-Standartenführer Otto von Stierlitz byl ve skutečnosti plukovník Maxim Isajev, tajný agent KGB, který před infiltrováním SS Sicherheitsdienst operoval v Paříži a v Šanghaji. Podobně jako v románech Iana Fleminga o Jamesi Bondovi byly knihy inspirovány skutečnými událostmi. Stierlitz v nich například potlačil fiktivní Churchillův plán uzavřít mír s nacistickým Německem a zaútočit na Sovětský svaz. Také po svém návratu do Ruska byl Stierlitz/Isajev zatčen sympatizanty Beriji a před gulagem jej zachránila Stalinova smrt. Protože knihy poskytovaly poměrně přesný náhled na KGB a její operační metody, vyskytly se spekulace, že Semjonov sám byl agentem KGB. Dílo poprvé publikováno v době, kdy se sovětský režim pokoušel obnovit reputaci KGB, která značně utrpěla rolí vykonavatele Stalinových excesů. Má se za to, že popularita Stierlitze vnímání KGB v Rusku pomohla. Stierlitz/Isajev byl považován za ideálního agenta. Narodil se ve středu Rusi a byl to renesanční člověk, schopný dokončit všechny mise, ale současně znalý i kultury a umění. Mluvil všemi evropskými jazyky vyjma irštiny a albánštiny. Nedával přednost násilí – má se za to, že ve své padesátileté kariéře agenta zabil pouze jednou. Podobně jako James Bond měl svůj oblíbený nápoj, kterým byl koňak. Jezdil automobilem značky Horch a na rozdíl od svého západního protějšku neměl slabost pro ženy. Na svých cestách Evropou se Stierlitzovi stýskalo po rodném Rusku a často snil o návratu. Vypravěčem v ruské verzi TV seriálu ""Sedmnáct zastavení jara"" byl herec Kopeljan. Jeho úkolem bylo divákům se sníženou chápavostí objasňovat Stierlitzovy hluboké psychologické úvahy a vychytralé intriky.";Na DVD od 01.04.2006 Řitka video;20. století, období 1940-1950, 2. světová válka, Velká vlastenecká válka;;;Taťjana Lioznova;Vjačeslav Tichonov, Oleg Tabakov, Leonid Kuravljov, Lev Durov, Valentin Gaft, Nikolaj Prokopovič, Nikolaj Gricenko, Oleg Fjodorov, Otto Mellies, Fritz Diez;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
296575;Looney Tunes: Úžasná show;2011;80.62344139650872;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/471/471592_d766cb.jpg;https://www.csfd.cz/film/296575-looney-tunes-uzasna-show/;USA;Animovaný / Komedie / Rodinný;The Looney Tunes Show;Potěšte se novou populární sérií animovaných grotesek, které navazují na milované postavy Looney Tunes a přinášejí vám neuvěřitelně bláznivá dobrodružství, která si zamiluje celá rodina. Nejdříve si králíček Bugs a kačer Daffy v Nejlepších kámoších vyzkoušejí své přátelství v soutěžní hře. Když Bugse a Daffyho chytí při dělání nepořádku, zjistí Krimipták a krimikrálík, že se jim život v base líbí. V Pouze pro členy Bugs a Daffy předstírají, že patří do exkluzivního country klubu, kde Bugs potká nádhernou... ale strašně užvaněnou... králici Lolu, která se do něj šíleně zamiluje. Výpadek proudu pak nakonec v epizodě Sousedská výpomoc přivede do jejich domu souseda Yosemite Sama a díky jeho výbušné povaze začnou lítat jiskry. A jiskry se změní v ohňostroj legrace ve videoklipech, v nichž účinkují marťan Marvin, Yosemite Sam a další hvězdy.;V TV od 03.05.2011 Cartoon Network;Looney Tunes;2.0;52.0;Matt Danner, Jeff Siergey, Swinton O. Scott III;Jeff Bergman, Bob Bergen, John Kassir, Kristen Wiig, Joe Alaskey, Fred Armisen, Jim Cummings, June Foray, Maurice LaMarche, Billy West;;/uzivatel/563267-disney-best/oblibene/filmy-serialy-a-porady/<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
