idCsfd;sTitle;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sDirector;sActor;sAuthor;sPlatforms;sNominated;sWinner
8653;Schindlerův seznam;1993;92.43560144232016;195.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/163/153/163153410_9a7943.png;https://www.csfd.cz/film/8653-schindleruv-seznam/;USA;Drama / Historický / Životopisný;Schindler's List;Hluboce šokující, nemilosrdné drama o noční můře holocaustu, založené na skutečných událostech. Na záchranu 1100 životů obětoval Oskar Schindler veškeré své jmění... Polský Krakov 1939. Židovská obec je vystavována stále se zvyšujícímu tlaku ze strany nacistů. Do této vřavy vstupuje obchodník Oskar Schindler, člen Nacistické strany, velký svůdník a muže vydělávající na válečném utrpení, který dokázal najít v sobě člověka a zachránit ty, kterým už zdánlivě nebylo pomoci... Film Stevena Spielberga je stěžejní dílo světové kinematografie a vítěz sedmi Oscarů, včetně ocenění za Nejlepší film roku a Nejlepší režii. (Lucernafilm);04.02.1994 Universal Pictures US;podle knihy, muž, černobílý film, smrt, 20. století, období 1940-1950, 2. světová válka, politika, vojáci, podle skutečného příběhu, vězení, armáda, nacisté, diskriminace, nacismus, období 1930-1940, Židé, holocaust, továrna, koncentrační tábor, genocida, judaismus, ghetto;Steven Spielberg;Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Małgorzata Gebel, Mark Ivanir, Andrzej Seweryn, Friedrich von Thun;Thomas Keneally;https://www.skyshowtime.com/cz/stream/movies/schindleruv-seznam/eaeebdbc-2f9e-3d17-aeff-58c9d1b37e25<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/schindlers-list/umc.cmc.53hzoo3z0ufjb6wsxgspp2jlf<br>https://www.skyshowtime.com/cz/stream/movies/schindleruv-seznam/eaeebdbc-2f9e-3d17-aeff-58c9d1b37e25<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/schindlers-list/umc.cmc.53hzoo3z0ufjb6wsxgspp2jlf<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (5x)<br>British Academy of Film and Television Arts (BAFTA) (6x)<br>César Awards (1x)<br>Guldbagge Awards (1x)<br>Golden Globes (3x)<br>Los Angeles Film Critics Association Awards (1x)<br>New York Film Critics Circle Awards (2x)<br>;Academy Awards (7x)<br>British Academy of Film and Television Arts (BAFTA) (7x)<br>Amanda Awards (1x)<br>Golden Globes (3x)<br>Los Angeles Film Critics Association Awards (3x)<br>New York Film Critics Circle Awards (3x)<br>
306731;Nedotknutelní;2011;91.31436542485389;112.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/501/501780_540187.png;https://www.csfd.cz/film/306731-nedotknutelni/;Francie;Komedie / Drama / Životopisný;Intouchables;Ochrnutý a bohatý aristokrat Philippe si za svého nového opatrovníka vybere Drisse, živelného mladíka z předměstí, kterého právě propustili z vězení. Jinými slovy - najde si na tuto práci tu nejméně vhodnou osobu. Podaří se jim však propojit nemožné: Vivaldiho a populární hudbu, serióznost a žoviální vtípky, luxusní obleky a tepláky. Bláznivým, zábavným, silným, neočekávaným a hlavně „nedotknutelným“, přesně takovým se stane jejich přátelství… Komedie s dramatickou zápletkou o tom, že ani od krku po prsty u nohou nepohyblivý člověk odkázaný na pomoc druhých, nemusí ztratit smysl života. A o tom, že i nejméně pravděpodobné spojení melancholického multimilionáře a extrovertního recidivisty může humorně zapůsobit na diváka a může se z něj stát kasovní trhák.;02.11.2012 Gaumont;láska, přátelství, podle skutečného příběhu, černý humor, Paříž, těžký úraz, invalidní vozík, ghetto;Eric Toledano, Olivier Nakache, Colin Budds;François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Joséphine de Meaux, Clotilde Mollet, Alba Gaïa Kraghede Bellugi, Cyril Mendy, Salimata Kamate, Grégoire Oestermann;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>European Film Awards (5x)<br>César Awards (8x)<br>Polish Film Awards (1x)<br>Amanda Awards (1x)<br>Golden Globes (1x)<br>Critics Choice Awards (1x)<br>San Sebastián International Film Festival (1x)<br>;César Awards (1x)<br>Goya Awards (1x)<br>Český lev (1x)<br>Florida Film Critics Circle Awards (1x)<br>Melbourne International Film Festival (MIFF) (1x)<br>
332773;Le Mans '66;2019;89.72098461149555;152.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/163/926/163926894_95bffc.png;https://www.csfd.cz/film/332773-le-mans-66/;USA / Francie;Drama / Životopisný / Sportovní / Akční;Ford v Ferrari;V roce 1959 je Carroll Shelby (Matt Damon) na absolutním vrcholu, vyhrál nejtěžší motoristický závod na světě 24 hodin Le Mans. Po největší triumfu tohoto neohroženého Texasana přijde drtivá rána – lékaři odhalená srdeční vada mu znemožní pokračovat v závodění. Shelby tak začíná novou kariéru jako velmi vynalézavý konstruktér. Spolupracuje s týmem, do nějž patří i vynikající zkušební jezdec a britský šampión Ken Miles (Christian Bale). Miles je nejen špičkovým závodníkem oddaným své rodině, ale je také nesnesitelně arogantní a naprosto neschopný jakéhokoliv kompromisu. A právě tento tým automobilových šílenců si najme Henry Ford II, aby pro jeho automobilku navrhli a postavili dokonalé závodní auto. Ford se totiž rozhodně, že se pomstí Enzo Ferrarimu, za to, že nakonec odmítl domlouvané spojení své automobilky s Ford Motor Company. Vozy stáje Ferrari vítězí na okruhu v Le Mans nepřetržitě od roku 1960 až do roku 1965. Shelby, Miles a jejich malý tým jsou odhodláni tomu učinit s pomocí vozu Ford GT40 rázný konec. Proti nim stojí neporazitelné Ferrari, fyzikální zákony i jejich vlastní osobní démoni. Navzdory překážkám a omezením, které jim do cesty hází i samotný Ford, musí vyvinout revoluční vozidlo, které převálcuje každého konkurenta. Jejich úsilí si ale vybírá nemalou daň – těmto odvážným mužům to ale za vítězství stojí. (CinemArt);15.11.2019 20th Century Fox;muž, rodina, smrt, přátelství, přátelé, 20. století, touha, peníze, manipulace, intriky, sny, podle skutečného příběhu, rivalita, zrada, nemoc, sláva, nenávist, naděje, žárlivost, Francie, chamtivost, autonehoda, trénink, závist, korporace, legenda, iluze, období 1950-1960, těžký úraz, závody, rychlá auta, automobilový průmysl;James Mangold;Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, Ray McKinnon, JJ Feild;;https://www.hbomax.com/cz/en/movies/ford-v-ferrari/8a0b4fbd-8dbf-406d-8839-a15966a23116<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-b0e9e97b-402a-452d-979e-95714b91e480<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/ford-v-ferrari/umc.cmc.6f6qe9muhuw7g21639iajetn1<br>https://sledovanitv.cz/epg/event/hbo_comedy:20260222ccb6821e3b665dcc145ac0d66639309c<br>/novinky/7597-zavodni-drama-s-bradem-pittem-kupuje-apple/<br>/novinky/7597-zavodni-drama-s-bradem-pittem-kupuje-apple/<br>/novinky/7597-zavodni-drama-s-bradem-pittem-kupuje-apple/<br>https://www.hbomax.com/cz/en/movies/ford-v-ferrari/8a0b4fbd-8dbf-406d-8839-a15966a23116<br>https://srv.tunefindforfans.com/showads/track/srvclk.php?aid=100006796&lp=https://www.disneyplus.com/en-cz/browse/entity-b0e9e97b-402a-452d-979e-95714b91e480<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/ford-v-ferrari/umc.cmc.6f6qe9muhuw7g21639iajetn1<br>https://sledovanitv.cz/epg/event/hbo_comedy:20260222ccb6821e3b665dcc145ac0d66639309c<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>AACTA International Awards (1x)<br>Golden Globes (1x)<br>Critics Choice Awards (5x)<br>;Academy Awards (2x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>
301401;Rivalové;2013;89.65450467169069;123.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/157/921/157921081_98db40.jpg;https://www.csfd.cz/film/301401-rivalove/;USA / Velká Británie / Německo;Drama / Životopisný / Sportovní / Akční;Rush;Závratná rychlost, adrenalin proudící v žilách, krásné dívky a nezkrotná touha po vítězství. Závody Formule 1 jsou místem, kde jediná chyba může znamenat smrt. Na těchto okruzích spolu soupeří dva odvěcí rivalové. James Hunt je neřízená střela, neodolatelný playboy a brilantní řidič. Niki Lauda je dokonalý profesionál, vždy precizní a disciplinovaný. Film Rivalové vypráví skutečný příběh dvou pilotů, kteří jsou soky nejen na okruzích, ale také ve skutečném životě. Přestože jsou soupeři, jsou také jeden pro druhého inspirací. Přes jejich rozdílnost je v životě pojí zvláštní přátelství. Ale rivalita je žene ke stále riskantnějším výkonům. Titul mistra světa může získat jen jeden... (Bioscop);13.09.2013 StudioCanal UK;přátelství, přátelé, rivalita, nemocnice, nehoda, těžký úraz, závody, Formule 1;Ron Howard;Chris Hemsworth, Daniel Brühl, Olivia Wilde, Alexandra Maria Lara, Pierfrancesco Favino, David Calder, Natalie Dormer, Stephen Mangan, Christian McKay, Alistair Petrie;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (3x)<br>Robert Awards (Danish Film Awards) (1x)<br>AACTA International Awards (1x)<br>Golden Globes (2x)<br>Critics Choice Awards (4x)<br>The Saturn Awards (4x)<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>
43479;Klíč k určování trpaslíků podle deníku Pavla Juráčka;2002;90.87939698492463;58.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/076/76107_55416b.jpg;https://www.csfd.cz/film/43479-klic-k-urcovani-trpasliku-podle-deniku-pavla-juracka/;Česko;Dokumentární / Drama / Životopisný;Klíč k určování trpaslíků aneb poslední cesta Lemuela Gullivera;Svědectvím téměř čtvrtstoletí života Pavla Juráčka je jeho deník. Začal si jej psát soustavně od roku 1951 a od té doby tvoří nepřetržitou řadu 33 sešitů, poslední zatím známý je z roku 1974. Zejména závěrečná třetina celku, která je obsahem knižní edice Jana Lukeše z roku 2003 Pavel Juráček Deník (1959 – 1974), je dramatickým i tragickým obrazem vzestupu a pádu, vzdoru i sebedestrukce talentovaného umělce v konfliktu s dobovými uměleckými a společenskými okolnostmi. Pavel Juráček zanechal dílo svrchované literární úrovně, Martin Šulík jej převedl v hypnotický dokument o výšinách i běsech umělecké tvorby. (Finále Plzeň);;;Martin Šulík;Marek Juráček, Edita Levá;Pavel Juráček;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;
2971;Amadeus;1984;89.11652905712417;160.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/161/550/161550348_ce60ab.jpg;https://www.csfd.cz/film/2971-amadeus/;USA / Francie;Drama / Životopisný / Hudební;Amadeus;Píše se rok 1781 a Antonio Salieri (Abraham) působí jako dvorní skladatel císaře Josefa II (Jeffrey Jones). Když ke dvoru přijede Mozart (Tom Hulce, nominovaný na Oscara), Salieri si s hrůzou uvědomí, že božské hudební nadání, které si přál mít on sám, dostal do vínku tento obscénní a rozpustilý vtipálek. Salieri dohnán žárlivostí k zuřivosti organizuje intriky s cílem zničit Mozarta, k čemuž je ochoten použít všechny dostupné prostředky. Možná i vraždu. Podařilo se Salierimu umlčet jednoho z největších géniů světové hudby? Záhada - a hudba - zůstávají. Amadeus - velkolepý historický epos, nádherná oslava hudby Wolfganga Amadea Mozarta. Na Berlinale 2002 Miloš Forman představil Amadea v nezkrácené verzi.;19.09.1984 Orion Pictures;muž, láska, rodina, smrt, tajemství, otec, rodiče, podle divadelní hry, město, touha, syn, umění, manipulace, intriky, hudba, sny, rivalita, kolegové, sláva, nenávist, tragédie, žárlivost, tanec, opera, hudební skladatel, posedlost, šlechta, novověk, divadelní prostředí, závist, 18. století, divadlo, Praha, klasická hudba, císař, klasicismus, Vídeň;Miloš Forman;F. Murray Abraham, Tom Hulce, Elizabeth Berridge, Roy Dotrice, Simon Callow, Christine Ebersole, Jeffrey Jones, Charles Kay, Kenneth McMillan, Kenny Baker;;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/amadeus/umc.cmc.48rac80t5r3kk235gedaes880<br>https://www.youtube.com/watch?v=CpZrAUnwMsk<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/amadeus/umc.cmc.48rac80t5r3kk235gedaes880<br>https://www.youtube.com/watch?v=CpZrAUnwMsk<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (3x)<br>British Academy of Film and Television Arts (BAFTA) (5x)<br>Golden Globes (2x)<br>Los Angeles Film Critics Association Awards (1x)<br>;Academy Awards (8x)<br>British Academy of Film and Television Arts (BAFTA) (4x)<br>César Awards (1x)<br>Robert Awards (Danish Film Awards) (1x)<br>Jussi Awards (1x)<br>Amanda Awards (1x)<br>Golden Globes (4x)<br>Los Angeles Film Critics Association Awards (4x)<br>
15031;Butch Cassidy a Sundance Kid;1969;88.92777777777778;110.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/599/158599590_86b324.jpg;https://www.csfd.cz/film/15031-butch-cassidy-a-sundance-kid/;USA;Western / Drama / Krimi / Životopisný;Butch Cassidy a Sundance Kid;Rok 1900, Divoký západ. Bandité Butch a Sundance se zde rozhodnou přepadnout slavný Union Pacific Express - a to hned dvakrát za sebou. Poprvé jde všechno jako na drátkách, ale při druhém pokusu je překvapí strážci zákona. Od té doby jsou na útěku a všemožně se snaží zahladit stopy. Podaří se jim to?;24.09.1969 20th Century Fox;žena, přátelství, přátelé, 20. století, násilí, touha, útěk, zbraně, cestování, peníze, pronásledování, putování, 19. století, gang, krádež, zloděj, loupež, milostný trojúhelník, koně, přestřelka, novověk, Divoký západ, šerif, loajalita, pistolníci, bandité, bankovní loupež, banka, období 1900-1910, kovbojové, období 1890-1900;George Roy Hill;Paul Newman, Robert Redford, Katharine Ross, Strother Martin, Henry Jones, Jeff Corey, George Furth, Cloris Leachman, Ted Cassidy, Kenneth Mars;;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/butch-cassidy-and-the-sundance-kid/umc.cmc.1ryvbaoxnde2c7tjxk75d5upc<br>https://www.youtube.com/watch?v=rS3FXCNoNK4<br>/novinky/8036-butch-a-sundance-dostanou-serial-od-amazonu/<br>/novinky/8036-butch-a-sundance-dostanou-serial-od-amazonu/<br>/novinky/8036-butch-a-sundance-dostanou-serial-od-amazonu/<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/butch-cassidy-and-the-sundance-kid/umc.cmc.1ryvbaoxnde2c7tjxk75d5upc<br>https://www.youtube.com/watch?v=rS3FXCNoNK4<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (3x)<br>British Academy of Film and Television Arts (BAFTA) (1x)<br>Golden Globes (3x)<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (9x)<br>Golden Globes (1x)<br>
291617;Senna: Legenda formule 1;2010;88.82579255155433;101.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/159/402/159402724_8d027b.jpg;https://www.csfd.cz/film/291617-senna-legenda-formule-1/;Velká Británie / Francie;Dokumentární / Životopisný / Sportovní;Senna;"Film SENNA přináší skutečný příběh legendárního brazilského automobilového závodníka Ayrtona Senny, kterého mnozí považují za nejlepšího jezdce historie. Sledujte Sennovu velkolepou kariéru ve formuli 1; jeho fyzický a duševní vývoj na závodních okruzích i mimo ně; jeho cestu za dokonalostí i zásadní proměnu z neskutečně talentovaného nováčka, který v roce 1984 razantně vtrhl do F1, v mýty opředenou legendu, jež se ze Senny stala po tragických událostech v Imole roku 1994. Díky úzké spolupráci s rodinou závodníka a s vedením formule 1 se film SENNA stává prvním oficiálním dokumentem o jeho životě s mnoha úžasnými a dosud nepublikovanými archivními materiály.";25.05.2011 Océan Films Distribution;rivalita, závody, Formule 1;Asif Kapadia;Ayrton Senna, Rubens Barrichello, Gerhard Berger, Ron Dennis, Damon Hill, Frank Williams, Nigel Mansell, Alain Prost, Sid Watkins, Emerson Fittipaldi;;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/senna/umc.cmc.3uozgq6d6xzpm3s0ua0o7wxkc<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/senna/umc.cmc.3uozgq6d6xzpm3s0ua0o7wxkc<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;British Academy of Film and Television Arts (BAFTA) (1x)<br>British Independent Film Awards (BIFA) (2x)<br>New York Film Critics Circle Awards (1x)<br>Sundance Film Festival (1x)<br>;British Academy of Film and Television Arts (BAFTA) (2x)<br>British Independent Film Awards (BIFA) (1x)<br>Sundance Film Festival (1x)<br>Melbourne International Film Festival (MIFF) (1x)<br>
4543;Čistá duše;2001;88.59527168863347;135.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/359/162359219_72ef04.jpg;https://www.csfd.cz/film/4543-cista-duse/;USA;Drama / Životopisný;A Beautiful Mind;"Film inspirovaný autentickým životním příběhem Johna Forbese Nashe ml., nositele Nobelovy ceny za ekonomii. V roce 1947 byl John přijat na prominentní univerzitu v Princetonu s pověstí zcela mimořádně talentovaného matematika. Nepodobá se svým vrstevníkům. Neúčastní se jejich zábav, žije ve vlastním, uzavřeném světě a dokonce nechodí ani na přednášky. Je doslova posedlý touhou po objevu ""originální myšlenky"". Nalezne ji a vysokou školu opouští jako vědec, který svojí matematickou teorií doslova převrátil naruby ekonomické teze, považované uplynulých sto let za neměnné. Získá skvělé postavení, ožení se, založí rodinu... Jednoho dne si ovšem i jeho žena Alicia musí připustit, že to, co bylo až dosud u Johna považováno za podivínství, je závažnou psychickou chorobou. Léčba je složitá a zdlouhavá, protože pacient odmítá přijmout fakt, že je vážně nemocen. Přitom se chce vrátit zpět mezi lidi, do světa vědy, kde by měl své platné místo, a všichni blízcí by mu rádi pomohli. Teprve, když přesvědčí sám sebe a zvítězí nad sebou, může vykročit za poctou nejvyšší...";04.01.2002 Universal Pictures US;podle knihy, muž, žena, rodina, otec, děti, matka, rodiče, strach, manželé, škola, podle skutečného příběhu, učitel, nemoc, bolest, smutek, naděje, těhotenství, vědci, zoufalství, manželství, paranoia, panika, věda, hádka, duševní porucha, vysoká škola, vědec, iluze, spolužáci, halucinace, ekonomie, nemluvně, schizofrenie, matematika, matematik;Ron Howard;Russell Crowe, Ed Harris, Jennifer Connelly, Christopher Plummer, Paul Bettany, Adam Goldberg, Josh Lucas, Anthony Rapp, Jason Gray-Stanford, Judd Hirsch;Sylvia Nasar;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/a-beautiful-mind/umc.cmc.2iqk0c0jh9ocfk2jtv2yda0k1<br>https://www.youtube.com/watch?v=jT51irTIrAc<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/a-beautiful-mind/umc.cmc.2iqk0c0jh9ocfk2jtv2yda0k1<br>https://www.youtube.com/watch?v=jT51irTIrAc<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (3x)<br>Amanda Awards (1x)<br>Golden Globes (2x)<br>Critics Choice Awards (1x)<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>Golden Globes (4x)<br>Critics Choice Awards (4x)<br>
7355;Pianista;2002;88.49643844800134;150.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/168/471/168471865_46z77i.png;https://www.csfd.cz/film/7355-pianista/;Francie / Polsko / Německo / Velká Británie / USA;Drama / Životopisný / Válečný / Hudební;Le Pianiste;Film Pianista je příběhem Wladyslawa Szpilmana, skvělého pianisty a uznávaného interpreta Chopinových skladeb. Příběh začíná v okamžiku, kdy ve varšavském rádiu zní Chopinovo Nokturno v C# moll v jeho podání. Píše se rok 1939 a Szpilmanovi je 28 let. Polsko je napadeno německými vojsky, která brzy přicházejí i do jeho hlavního města Varšavy. Téměř okamžitě jsou uplatněny tvrdé restrikce vůči zdejší židovské komunitě. Szpilman a jeho rodina - rodiče, bratr a dvě sestry - žili až dosud spokojeným životem, brzy jsou však také donuceni podřídit se ponižujícím pravidlům. Kromě toho, že jim docházejí peníze a jídlo, musí pod hrozbou přísného trestu nosit na rukou Davidovu hvězdu. Nátlak se postupně zvyšuje a rodina je na tom stále hůře. Brzy jsou donuceni prodat obrazy, stříbro, nábytek a nakonec i Szpilmanovo drahocenné piáno. Největší ranou je však rozhodnutí, podle kterého mají být všichni Židé umístěni do uzavřeného areálu, obehnaného vysokými zdmi - na místo, které brzy vstoupí do dějin jako Varšavské ghetto.;27.12.2002 Focus Features;podle knihy, 20. století, útěk, období 1940-1950, 2. světová válka, hudba, podle skutečného příběhu, válka, nacisté, nacismus, Židé, odboj, klavírista, holocaust, koncentrační tábor, genocida, gestapo, ghetto, piano (klavír);Roman Polański;Adrien Brody, Emilia Fox, Michał Żebrowski, Ed Stoppard, Maureen Lipman, Frank Finlay, Jessica Kate Meyer, Wanja Mues, Richard Ridings, Anthony Milner;Władysław Szpilman;https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-pianist/umc.cmc.1btossg2o9wo1q2b0d0qwt913<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-pianist/umc.cmc.1btossg2o9wo1q2b0d0qwt913<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (4x)<br>British Academy of Film and Television Arts (BAFTA) (5x)<br>European Film Awards (3x)<br>César Awards (3x)<br>Polish Film Awards (5x)<br>Golden Globes (2x)<br>Critics Choice Awards (2x)<br>;Academy Awards (3x)<br>British Academy of Film and Television Arts (BAFTA) (2x)<br>European Film Awards (1x)<br>César Awards (7x)<br>Goya Awards (1x)<br>Český lev (1x)<br>Polish Film Awards (8x)<br>Cannes Film Festival (1x)<br>Norwegian International Film Festival Haugesund (1x)<br>
