idFdb;urlFdb;iRating;sTitle;iYear;sCountry;sGenre;urlPoster;iPage
19235;19235-vykoupeni-z-veznice-shawshank;92;Vykoupení z věznice Shawshank;1994;USA;Drama / Krimi;pmojr7mdxdbhshvckeyq.jpeg;1
5134;5134-forrest-gump;92;Forrest Gump;1994;USA;Komedie / Drama / Romantický;1pz9oy1og5810zj5kbea.jpeg;1
23755;23755-zelena-mile;91;Zelená míle;1999;USA;Drama / Fantasy / Krimi;me17i3t6uq0ocpbepba8.jpeg;1
90638;90638-nedotknutelni;90;Nedotknutelní;2011;Francie;Komedie / Drama;41erpvsxb3hnebezdtrz.jpeg;1
7460;7460-kmotr;90;Kmotr;1972;USA;Drama / Gangsterka / Krimi;lz65o4tlsg77docn51ui.jpeg;1
15330;15330-schindleruv-seznam;89;Schindlerův seznam;1993;USA;Drama / Historický / Vojenský;qaf7iyx2a3fyy8k940iv.jpeg;1
17246;17246-tenkrat-na-zapade;89;Tenkrát na Západě;1968;Itálie / USA;Drama / Western / Evropská Tvorba;os6jrdpnxauez6yujdda.jpeg;1
13965;13965-prelet-nad-kukaccim-hnizdem;89;Přelet nad kukaččím hnízdem;1975;USA;Psychologický / Drama;2zwafk2c21bnguv65unt.jpeg;1
72361;72361-krtek-v-zoo;98;Krtek v ZOO;1969;Československo;Animovaný / Dětský / Kreslený;l6duqx17o3bz368jq8t1.jpeg;1
15130;15130-sedm;89;Sedm;1995;USA;Drama / Krimi / Thriller;g6vqgd8h5dsxqabevwb7.jpeg;1
21395;21395-pelisky;89;Pelíšky;1999;Česká republika;Komedie / Drama / Retro / Evropská Tvorba;zm6430c5cgohayj62h3u.jpeg;1
14937;14937-s-certy-nejsou-zerty;89;S čerty nejsou žerty;1984;Československo;Komedie / Fantasy / Pohádka / Rodinný / Romantický / Evropská Tvorba;6xjebl38gexfhjwus6qe.jpeg;1
15150;15150-sedm-statecnych;89;Sedm statečných;1960;USA;Akční / Drama / Western;5fd5q2dlm779cbky84pu.jpeg;2
14247;14247-pulp-fiction-historky-z-podsveti;88;Pulp Fiction - Historky z podsvětí;1994;USA;Akční / Komedie / Drama / Krimi / Thriller;fbk2iq0r4004t77o6iqg.jpeg;2
158378;158378-bohemian-rhapsody;89;Bohemian Rhapsody;2018;USA / Velká Británie;Drama / Hudební / Životopisný;5y8bpz413rrfkgfnflyr.jpeg;2
18662;18662-vesnicko-ma-strediskova;88;Vesničko má, středisková;1985;Československo;Komedie / Evropská Tvorba;fdox1xucs2b8m07zznw4.jpeg;2
18664;18664-vetrelci;88;Vetřelci;1986;USA;Akční / Horor / Sci-Fi / Thriller;l8u4v3j8vwnvy3wng2az.jpeg;2
9441;9441-marecku-podejte-mi-pero;88;Marečku, podejte mi pero!;1976;Československo;Komedie / Evropská Tvorba;7wucw4ksaq8oksyf03jz.jpeg;2
17758;17758-tri-orisky-pro-popelku;88;Tři oříšky pro Popelku;1973;Československo / NDR;Drama / Fantasy / Pohádka / Rodinný / Romantický / Evropská Tvorba;6v2ht7euglxtdw68eusq.jpeg;2
72362;72362-krtek-a-televizor;98;Krtek a televizor;1970;Československo;Dětský / Kreslený;w1s0hwiiouvz2e4rr505.jpeg;2
18665;18665-vetrelec;88;Vetřelec;1979;USA / Velká Británie;Horor / Sci-Fi / Thriller;5ouu6ab49mysc9goqesk.jpeg;2
6529;6529-jak-dostat-tatinka-do-polepsovny;88;Jak dostat tatínka do polepšovny;1978;Československo;Komedie / Rodinný;qt844fc87eopv86ns9xg.jpeg;2
72359;72359-krtek-a-paraplicko;95;Krtek a paraplíčko;1971;Československo;Dětský / Kreslený;00lt29ro7a93chxirobv.jpeg;2
30825;30825-pan-prstenu-navrat-krale;88;Pán prstenů: Návrat krále;2003;Nový Zéland / USA / Spolková republika Německo;Akční / Dobrodružný / Drama / Fantasy;lfkpzbyo3klspv325ev9.jpeg;2
17274;17274-terminator-2-den-zuctovani;88;Terminátor 2: Den zúčtování;1991;USA;Akční / Sci-Fi / Thriller;yq7kxwca3090s7znub5k.jpeg;3
7461;7461-kmotr-ii;88;Kmotr II;1974;USA;Drama / Gangsterka / Krimi;cui147jwxkbfhltucfzh.jpeg;3
12776;12776-pink-floyd-pulse;96;Pink Floyd - Pulse;2006;Velká Británie;Hudební / Dokument;5wfh1b92w335zuuq5pw8.jpeg;3
16227;16227-statecne-srdce;88;Statečné srdce;1995;USA;Akční / Drama / Historický / Válečný / Životopisný / Vojenský;nmw3532hfb63vnxty9ro.jpeg;3
27589;27589-zaskok;88;Záskok;1997;Česká republika;Komedie;5r9twqt8gw9gvoh5ij92.jpeg;3
11125;11125-nekdo-to-rad-horke;88;Někdo to rád horké;1959;USA;Komedie / Hudební / Krimi / Romantický;ote30e4sow34qw6184lc.jpeg;3
4226;4226-indiana-jones-a-dobyvatele-ztracene-archy;88;Indiana Jones a dobyvatelé ztracené archy;1981;USA;Akční / Dobrodružný / Komedie;z11v6dfkcfbhd7jjjjye.jpeg;3
58437;58437-francouzska-revoluce;92;Francouzská revoluce;1989;Francie / Itálie / Kanada / NSR;Drama / Historický / Thriller / Vojenský / Evropská Tvorba;sl61zlmqtzy38h49ixmg.jpeg;3
35454;35454-miroslav-donutil-sluha-dvou-panu;88;Miroslav Donutil - Sluha dvou pánů;2000;Česká republika;Komedie;us5m6ivsh2pgz7fql96f.jpeg;3
54023;54023-gran-torino;88;Gran Torino;2008;Austrálie / USA;Psychologický / Drama;x9fm1uugsxlt56sol7db.jpeg;3
2655;2655-byl-jednou-jeden-kral;88;Byl jednou jeden král;1954;Československo;Komedie / Fantasy / Pohádka / Rodinný / Evropská Tvorba;31mmp8q5sqk1tsgs0fqc.jpeg;3
6359;6359-indiana-jones-a-posledni-krizova-vyprava;87;Indiana Jones a poslední křížová výprava;1989;USA;Akční / Dobrodružný / Komedie / Fantasy;f3mttqntk8xp8m1ayy4n.jpeg;3
34945;34945-holzmann-felix-vcera-dnes-a-zitra;88;Holzmann Felix: Včera, dnes a zítra;2004;Česká republika;Zábavný;phbzym5lgntuogs57dfa.jpeg;4
39940;39940-dobyti-severniho-polu;88;Dobytí severního pólu;1987;Československo;Komedie;yvx0sby8bjp1edq2xw8a.jpeg;4
72424;72424-krtek-a-zvykacka;95;Krtek a žvýkačka;1969;Československo;Dětský / Kreslený;u5j1qhid4yhl21xx2v2b.jpeg;4
20140;20140-zpivani-v-desti;89;Zpívání v dešti;1952;USA;Komedie / Muzikál / Romantický;mlb8es71t23bjmey1zhv.jpeg;4
17890;17890-u-pokladny-stal;88;U pokladny stál;1939;Československo;Komedie / Evropská Tvorba;m4jbew5448dro7zpmsnl.jpeg;4
6563;6563-jak-vytrhnout-velrybe-stolicku;87;Jak vytrhnout velrybě stoličku;1977;Československo;Komedie / Rodinný;y9zfwv6wnbivgwdoo22l.jpeg;4
23735;23735-gladiator;87;Gladiátor;2000;USA / Velká Británie;Akční / Drama / Historický;4upmx295xdc8zrx48ujr.jpeg;4
11017;11017-neboztici-preji-lasce;88;Nebožtíci přejí lásce;1972;Itálie / USA;Komedie / Romantický / Evropská Tvorba;uqjktejre41ne4pjbeec.jpeg;4
4216;4216-dobry-vojak-svejk;87;Dobrý voják Švejk;1956;Československo;Komedie / Vojenský / Evropská Tvorba;m6j7mybbxhfl6orpjrbi.jpeg;4
17082;17082-tanec-s-vlky;87;Tanec s vlky;1990;USA;Akční / Dobrodružný / Drama / Western;xvgjd6n04qpgjtgbh70p.jpeg;4
21415;21415-zachrante-vojina-ryana;87;Zachraňte vojína Ryana;1998;USA;Akční / Drama / Historický / Válečný / Vojenský;laplqmy4cijpxkg93a3d.jpeg;4
10249;10249-motylek;87;Motýlek;1973;USA;Dobrodružný / Drama / Krimi / Životopisný;iyjp2ihlyauqsf1suuko.jpeg;4
10032;10032-mlceni-jehnatek;87;Mlčení jehňátek;1991;USA;Drama / Horor / Krimi / Thriller;1rq4fymqs2rfar9q13rx.jpeg;5
73052;73052-krtek-a-zelena-hvezda;96;Krtek a zelená hvězda;1969;Československo;Dětský / Kreslený;2ldxmf6lydxgco85rgov.jpeg;5
13011;13011-podraz;87;Podraz;1973;USA;Komedie / Drama / Hudební / Krimi;5aasaws34zqla3dbbyow.jpeg;5
33336;33336-planety;94;Planety;1999;Velká Británie;Dokument;utff4xchzr1dllheyyxf.jpeg;5
46011;46011-jak-krtek-ke-kalhotkam-prisel;87;Jak krtek ke kalhotkám přišel;1957;Československo;Animovaný / Dětský / Rodinný;68c5pk1ol6mlkyj9b49t.jpeg;5
15723;15723-smrtonosna-past;87;Smrtonosná past;1988;USA;Akční / Dobrodružný / Thriller;vkh94ssijq9zj8mqjebw.jpeg;5
24655;24655-pan-prstenu-spolecenstvo-prstenu;87;Pán prstenů: Společenstvo prstenu;2001;Nový Zéland / USA;Akční / Dobrodružný / Drama / Fantasy;e0pwkqylw33hympw4qx5.jpeg;5
