idFdb;sTitle;idCsfd;urlCsfd;sType;iYear;iRating;iRuntime;urlPoster;urlFdb;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sReleaseDate;sTags;sSeries;sEpisodes;sDirector;sActor;bNobel;sNominated;sAwarded;sFromAge;sImdbId;urlJustWatch;bCzDabing;bCzSubtitles;urlSledujteto;urlPrehrajto;urlFilmMista;sAuthor
80861;Stíny a šepoty jezera;0;;m;1987;90.0;75.0;https://prod-fdb-storage.fra1.cdn.digitaloceanspaces.com/placeholders/General.png;80861-stiny-a-sepoty-jezera;Československo;drama;Stíny a šepoty jezera;"Hlavní redakce dramatického vysílání Čs. televize uvedla do vysílání na sklonku minulého roku novelu jednoho z nejvýznamnějších současných sovětských spisovatelů Čingize Ajtmatova Labutě nad Issyk Kulem pod názvem STÍNY A ŠEPOTY JEZERA. Dramatický přepis prózy stylově tak vyhraněného autora jako je Čingiz Ajtmatov s sebou přináší řadu problémů; jiné v případě divadelní realizace, jiné v případě realizace televizní. To znamená, že před autorem dramatizace, režisérem, herci a dalšími inscenátory stojí úkol transponovat ideově umělecký základ literární předlohy do dramatického, v našem případě televizního tvaru, nepoškodit základní významovou strukturu předlohy, zejména co se týká ideových a uměleckých východisek, a zároveň vytvořit autonomní umělecké dílo, které pravdu literární předlohy uchovává a v optimálním případě i stupňuje.

Autor dramatizace tedy musí literární předloze především dokonale porozumět a na základě tohoto pochopení poznat, co je podstatné, co méně, kde se tvoří smysl. Musí se umět pohybovat v živlu jazyka literární předlohy, najít si přístup do nitra věcí a nepohybovat se na významových perifériích, kde smysl pohasíná, kde klesá významové pnutí. Autor musí znát skryté předpoklady dramatizovaného textu, jeho archeologii, musí proniknout do nejhlubších myšlenkových vrstev a oživit jejich energetické zdroje. Dramatizátor musí tedy obnovit uměleckou cestu literární předlohy. Tuto cestu nelze v žádném případě vynechat nebo obejít. Dramatizátor nemůže stanovit nějaké výsledné fixní body, které by byly obecnou formulací jeho pochopení literární předlohy, a aniž by byly dostatečně umělecky indukovány, rozvíjet je dál. Naopak musí nastoupit uměleckou cestu literární předlohy, i když v jiných žánrových či druhových souvislostech.

Tento úvod je adresován především těm, kteří namítnou, že televizní hra Stíny a šepoty jezera má s Ajtmatovovou novelou málo co společného. V tom případě je však nutno si uvědomit, že před dramatizátorem jsou dvě alternativy: buď hledat kompromis mezi způsobem Ajtmatovova zobrazování světa a technickými možnostmi televizního dramatického vysílání, které jsou v současné době téměř žalostné a to znamená uvěznit Ajtmatovovo téma vztahu člověka a přírody do sémanticky chudého televizního interiéru s možností 8—10 většinou špatných dekorací nebo nastoupit vlastní autonomní uměleckou cestu, která televizní technické podmínky sice respektuje, ale nenechává se jimi omezovat.

Autorská volba dramatizátorky Marie Říhové se týká druhé alternativy a myslím, že je správná. Ajtmatovova novela přináší dvě narativní roviny: vyprávění muže, kterak od něj odešla žena a druhého muže, jak tutéž ženu potkal a začal s ní žít. Oba své příběhy vyprávějí novináři, který je tlumočí čtenáři, aniž by k nim zaujímal nějaké výraznější stanovisko a komentoval je. První „dramatické opatření“ autorky Marie Říhové bylo sjednotit tuto narativní dvojlomnost do kompaktního dramatického tvaru, a protože se autorka vzdala výraznějšího vypravěčského partu (kromě monologu Asji), bylo potřeba dramatické postavy zvýraznit, oživit, dramaticky konturovat a výrazněji motivovat bez možnosti některé témata dovyprávět.

V rámci těchto dramatických opatření vstupuje do popředí Asja, která se oproti literární předloze aktivizuje a emancipuje. V této souvislosti je třeba zmínit i autorčinu snahu některé rysy Ajtmatovova vidění světa „poevropštit“, to znamená aktivizovat a pojmout jinak úlohu ženy, která přestává být „asiatsky“ trpným objektem mužských rozmarů, souvisejících s jejich lidským zráním, ale stává se činným subjektem příběhu. To souvisí s tím, že příběh není vyprávěn, ale dramaticky hrán a jeho prožívání hlavní hrdinkou musí být explikováno v jednání, byť verbálním, ne v myšlení.

Podobnou proměnu doznává i protihráčka Asji — Káťa, která v dramatizaci získává větší psychologickou plasticitu a její vztah k Iljovi je odůvodněn jinými motivy.

Autorce dramatizace Marii Říhové se tedy podařilo vyextrahovat (obnažit) z epicky rozložité Ajtmatovovy novely dramatický skelet a ten osadit a konkretizovat realitou, která je přiměřenější výrazovým možnostem televize. Nedá se ovšem říct, že by autorka byla vůči předloze příliš pokorná, ale její „nešetrný“ přístup k textu je ospravedlnitelný proto, že uchovává její pravdu, duchovní atmosféru, smysl, který z traktovaných událostí vystupuje. Jinými slovy: potvrzuje se, že dramatizátorova tvůrčí svoboda je dána stupněm porozumění literární předloze.

Televizní inscenace Stíny a šepoty jezera je, jak již bylo řečeno, zdařilým pokusem dramaturgie zprostředkovat divákovi aktuální, umělecky náročné dílo současné sovětské literatury. K tomuto výsledku přispěla bezpochyby i nenápadná, ale stylově čistá, precizní režie Marcela Dekanovského, jehož spolupráce s televizí představuje kontinuitu myšlenkově i umělecky náročných přístupů i komplex hereckých výkonů, jež neměly v inscenaci výraznějších slabin. V jejich popředí stojí výkon Michala Peška, který se herecky soustřeďuje především na ten moment své postavy, který souvisí s Iljovou lidskou nevyzrálostí, hledáním podstaty života a hierarchie jeho hodnot. Jeho ženu Asju, na které kromě jiného leží i tíže vyprávěného příběhu, představuje s jistým exotickým ozvláštněním velmi dobře Monika Kvasničková, stejně jako Ilona Svobodová, jež představuje druhou Iljovu partnerku. Z dalších pozoruhodnějších hereckých výkonů je nutno zmínit i Antonína Navrátila, Pavla Pavlovského a Ladislava Křiváčka.

Na závěr tohoto kritického zamyšlení je však potřeba zmínit ještě jeden moment problematiky televizních převodů literárních předloh: vedle konstatování úspěšnosti a umělecké zdařilosti této televizní inscenace nelze nevidět, že technické možnosti televizního dramatického vysílání jsou dnes víc než omezené, že značně limitují uměleckou svobodu televizních autorů a že některá témata jsou pro televizní vysílání tabu ne proto, že by neodpovídala žánrové a druhové specifice, ale proto, že na to nejsou zkrátka peníze. Stálo by možná za to, zamyslet se nad tím, zda by nebylo efektivnější a účelnější přesunout obrovské prostředky, které se vynakládají na realizace některých monstrprogramů nulové umělecké a myšlenkové hodnoty na pořady, jejichž umělecká, ideová, přímo politická závažnost je nesouměřitelná.

CZECH, Jan. Zdařilý Ajtmatov na televizní obrazovce. Scéna. 1988, roč. 13, č. 3, s. 5.";;;podle knižní předlohy;;;Marcel Dekanovský;Michal Pešek, Monika Kvasničková, Ilona Svobodová, Antonín Navrátil, Pavel Pavlovský, Ladislav Křiváček, Zuzana Fišárková;False;;;;;;True;False;;;;
179963;Schovanka;0;;m;1973;90.0;75.0;e1hhnikl5ivx6timtvx7.jpeg;179963-schovanka;Československo;drama / adaptace;Schovanka;"Dominantní matka, statkářka Ulanbeková (S. Amortová), má ráda řád a pořádek. Určuje osudy rodinných příslušníků i služebnictva, je tvrdá a panovačná. Její nejmilejší schovanka Naďa (D. Kolářová, letošní jubilantka) by se ráda vdala. Statkářka ji nutí do sňatku se špinavým opilcem a písařem Negligentovem (O. Vlach, letošní jubilant). Až na přímluvu syna Leonida (V. Preiss) statkářka od těchto námluv ustoupí. Půvabná Naďa se s Leonidem sblíží a stráví spolu hezký večer na lodičkách. Při jejich romantické schůzce je však zastihne intrikánka a příživnice Vasilisa Peregrinovna (D. Medřická), jež svým donášením a klevetami ovládá statkářku a ani tuto událost si nenechá pro sebe…

Zdroj: Česká televize";;;podle divadelní hry;;;Anna Procházková;Světla Amortová, Dana Medřická, Ladislav Pešek, Daniela Kolářová, Viktor Preiss, Libuše Havelková, Jaroslava Pokorná, Miroslav Masopust, Oldřich Vlach, Eva Boušková, Libuše Zátková, Hana Ždichyncová;False;;;;;;False;False;/file/52114/pytlakova-schovanka-komedie-1949-cz.html/;/schovanka-1973-czdab/61ca664844b9d;1407;
3197;Poučení Kocoura Felixe;0;;m;1927;90.0;35.0;cks07jmuymc5bip388lx.jpeg;3197-pouceni-kocoura-felixe;Československo;reklama / kreslený;Poučení Kocoura Felixe;;;;;;;Karel Dodal;;False;;;0+;;;False;False;;;;
60743;Pomsta;0;;m;1968;90.0;14.0;40t5tphigpck236unp4t.jpeg;60743-pomsta;Československo;horor / kreslený;Pomsta;Technika animace připomíná kresbu suchou jehlou a lept. Krásná dívka, o kterou se uchází svými básněmi poeta s křehkou postavičkou a o něco málo později přichází robustní šlechtic s mečem. Bojovník mladíka s básněmi hravě vypudí – a dívka se viditelně nebrání, naopak to vypadá, jako by přála více šlechtici-bojovníkovi. Básník se rozhodne spojit s ďáblem zosobněným zlým čarodějem. Ten mu přičaruje ruku, která umí velmi dobře bojovat mečem a jiné špatné věci. Ovládá mladého básníka velmi silně. Mladík si hravě poradí s rytířem, ale ruku dívky si asi nezíská. Naopak je za vraždu šlechtice při souboji uvězněn a poté oběšen na veřejné popravě. Zděšení diváci pak vidí, jak mrtvému oběšenci upadne jeho ruka a odplazí se pryč. Vyleze po zdech za mužem, který zlou ruku vytvořil a uškrtí jej v křesle u krbu. Pak sama skočí do krbu a kouř, který vznikne jejím spálením se mění v lísteček. Lísteček skončí u střevíčků krásné dívky, která byly příčinou dvou mrtvých milovníků...;;;;;;Jiří Brdečka;;False;;;;;;False;False;/file/80600/pomsta-starej-damy-alebo-na-kazdeho-raz-dojde-1968-sk-tvrip.html/;/1968-pomsta-starej-damy-alebo-na-kazdeho-raz-dojde/675e03cfb6372;5426-Pomsta;
46130;Očistná lázeň;0;;m;1972;90.0;10.0;https://prod-fdb-storage.fra1.cdn.digitaloceanspaces.com/placeholders/General.png;46130-ocistna-lazen;Československo;animovaný / thriller / parodie;A Purgative Bath;"Zea a Lucius, dva mladí manželé, žijí v přepychovém domě, obehnaném vysokou zdí. Lucius se s ženou rozloučí, nasedne do auta a odjede. Zea tráví chvíle samoty hrou na harfu, neboť se připravuje na svůj večerní koncert. Opuštěnou ženu chtějí přepadnout dva kumpáni, najatí zločinným doktorem Goadem, který jim poručil ji unést. Vetřelci přelezou zeď, ale jejich úmysly jim zhatí dva zedníci, kteří pracují na střeše domu. Když uvidí, že Lucius se vrací zpět do domu, dají se na zbabělý útěk. Doktoru Goadovi nezbude než vymyslet nový plán na únos dívky, který se tentokrát podaří. Při večerním koncertu se pod Zeou otevře propadliště a nešťastná harfenistka propadne do sklepa rovnou do náruče Goadových kumpánů. Ti omdlelou dívku strčí do jedné ze dvou beden připravených ve sklepě, ale spletou se a do auta naloží bednu druhou, která je prázdná, a odjíždějí. Lucius, který byl rovněž přítomen na koncertě, je pronásleduje v hasičském autě. Až příliš pozdě zjistí zločinci svůj omyl, neboť se proti nim blíží tank s vojáky. Doktor Goad vymyslí lest: jeden z kumpánů si lehne na silnici jako by byl zraněn. Tank zastaví, vojáci vystoupí, aby „zraněnému“ muži pomohli, a v tu chvíli je přepadne Goadova tlupa a všechny je pobije. Zločinci se pak převlečou do vojenských uniforem, nasednou do tanku a odjíždějí zpět ke koncertní hale, aby tam vyzvedli správnou bednu. Když spatří hasičský vůz s Luciem, rozstřílejí jej palbou z kulometu; vůz vylítne do povětří a s ním i Lucius, který však šťastně dopadne přímo na záď tanku, takže může pokračovat v pronásledování únosců. V koncertní hale vymění kumpáni bedny a Lucius, schován v podvozku tanku, se s nimi dostane až do sídla intrikánského doktora. Potají přeleze zeď, dostane se na terasu doktorova domu a odtud pozoruje, co se děje uvnitř. Doktor Goad má v domě přichystanou smrtící lázeň, do níž chce pomocí zvláštního mechanismu uvrhnout Zeu. Ta se brání všemi silami, dokonce zraní i samotného doktora Goada, ale zločinci jsou silnější a jí nezbývá, než podstoupit strašnou smrt v roztoku, v němž se všechno živé okamžitě rozpustí. Dívka je uvržena do sítě, kterou doktor pomocí páky pomalu spouští nad smrtící roztok. V této chvíli zasáhne Lucius. Vytrhne kamenné koule, jimiž je zdobeno zábradlí terasy, a shazuje je se schodů pod nohy kumpánů, které se mu podaří zneškodnit tvrdými ranami svých silných pěstí. Vrhne se i na doktora Gouda, a shodí ho do smrtící lázně. Potom zachrání svou dívku, neboť v posledním okamžiku se mu podaří zastavit mechanismus, jímž je nešťastná Zea spouštěna do roztoku. – Na druhý den přivezou kumpáni na hřbitov vanu s rozpuštěným vědcem. Když roztok lijí do hrobu, objeví se policie, která zločince zatkne, a tím znemožní jejich další zločiny. [Filmový přehled 15/1973] 

Autor/Zdroj: -gaj-/Filmový přehled";;;;;;Václav Bedřich;;False;;;;tt0206983;;False;False;;/ocistna-lazen-rezie-vaclav-bedrich-kratky-animovany-film/6613d52f5b48b;;
99594;Nácíček nakupuje;0;;m;1974;90.0;7.0;https://prod-fdb-storage.fra1.cdn.digitaloceanspaces.com/placeholders/General.png;99594-nacicek-nakupuje;Československo;animovaný / dětský / pohádka;Nácíček nakupuje;"Když tak na návsi lelkoval Franta Guldanů a vymýšlel lotroviny, aby neviděl mrňouska Nácíčka, jak obchází dům krejčího Maťochy a to sem a tam, kluci od vedle Frantovi pověděli, že Mikeš pomohl kdysi krejčímu chytit kanárka a ten mu za to ušil kabátek. A hned jej napadlo, že si z malého kocourka udělá legrácku, vysekal z polínka špačka a s ním jej poslal ke krejčímu, který mu za něj ušije určitě frajerský kabátek. Ale krejčí je rozumný člověk, posbíral zbytky odstřižků z látek a spíchl Nácíčkovi kabátek. To když Franta uviděl, vzteky zezelenal a za to chtěl Nácíčka vykoupat v louži. Tu jeho podlost prokoukl kozel Bobeš, Frantu nabral rohama a ten skončil ve vodě.

Když babičce došla cikorka do kávy, Nácíček se nabídl, že pro ni skočí do obchodu, ale na zpáteční cestě si jej vyhlédl nejstrašnější pes ve vesnici a pěkně jej prohnal. Ten nešťastný skončil v kotoulech ve vodě a začal se topit. A našel se hrdina, který Nácíčka vytáhl a zachránil mu život. Je to Franta Guldanů, který mrňouska zabalí do kabátku, narazí mu čepici téměř na celou hlavu a odnese jej do tepla. Bobeš jenom kroutí hlavou, jaká že se to s Frantou stala proměna…";;;;;;Josef Kluge;Karel Höger;False;;;0+;;;True;False;;/kocour-mikes-nacicek-nakupuje/640229a316c3f;;
9342;Malý a velký Klaus;0;;m;1971;90.0;58.0;vbvmty60l4vv44oaksai.jpeg;9342-maly-a-velky-klaus;NDR / Československo;fantasy / rodinný / evropská tvorba;Klaus und Kläuschen;;;24.12.1971;;;;Bleiweiß Celino;Fred Düren, Siegfried Kilian, Monika Woytowicz, Hannes Fischer, Marylu Poolman, Jiří Vršťala, Arno Wyzniewski, Christiane Lanzke, Siegfried Hömke, Günter Götze, Rosemarie Herzog, Eva Schäfer, Jürgen Huth, Johannes Wieke, Willi Neuenhahn, Rainer Etzenberg, Dorothea Richter, Siegfried Fiebig, Ulrich Anschütz, Hans J. Finke, Walter Wystemp, Peter Köhncke, Ramona Gierth, Michael Ziehm, Gela Götze, Josef Langmiler, Miroslav Moravec, Viola Zinková, Karel Houska, Jaroslava Adamová, Mirko Musil, Jan Pohan;False;;;;tt0068809;;True;False;;;;
79021;Kořist;0;;m;1979;90.0;80.0;iisn5us9bwmxduxh8sk1.jpeg;79021-korist;Československo;drama;Kořist;"Televizní inscenace natočená podle stejnojmenného románu slavného francouzského spisovatele Emile Zoly (1840-1902).
Příběh neobvyklého milostného trojúhelníku zbohatlého handlíře Saccarda (Rudolf Hrušínský), jeho mladé ženy Renaty (Hana Maciuchová), která pochází z aristokratické rodiny a jeho syna z prvního manželství Maxima (Marcel Vašinka).";;;;;;Eva Sadková;Hana Maciuchová, Jiří Adamíra, Rudolf Hrušínský, Věra Kubánková, Marcel Vašinka, Jana Dolanská, Josef Langmiler, Adolf Filip;False;;;;;;False;False;/file/81557/diablova-korist-2022-sk-dabing-hd-1080p.html/;/korist-1979/34805f294933f813;7792-Korist;
94154;Červená aerovka;0;;m;1960;90.0;5.0;https://prod-fdb-storage.fra1.cdn.digitaloceanspaces.com/placeholders/General.png;94154-cervena-aerovka;Československo;animovaný / hudební / Ilustrace písně / loutkový;Červená aerovka;"Režisér <a href=""https://www.fdb.cz/osobnost/1572-eduard-hofman"">Eduard Hofman</a> natočil krátký kreslený film, jímž převedl do formy animovaného filmu tehdy populární písničku ""Červená aerovka"". Hudbu k písni složil <a href=""https://www.fdb.cz/osobnost/16347-zdenek-petr"">Zdeněk Petr</a>, text <a href=""https://www.fdb.cz/osobnost/88811-zbynek-vavrin"">Zbyněk Vavřín</a> a písničku zpívá <a href=""https://www.fdb.cz/osobnost/3148-rudolf-pellar"">Rudolf Pellar</a>. Výtvarníkem byl <a href=""https://www.fdb.cz/osobnost/4623-jiri-winter-neprakta"">Jiří Winter Neprakta</a>, který text doprovodil veselými obrázky. Pro ilustraci text písničky:

Já vím, kdo způsobil,
že je dnes plno jara. 
Alenka v kočárku se hihňá do dlaní.
Cink, cink a ratata, to moje stará kára,
aerovka červená ulicí uhání, 
cink, cink a ratata, ulicí uhání.

Strážník mě pozdraví, 
s úsměvem poznamená,
než hodí zelenou: Tak kampak na výlet?
Cink cink a jenom tak jedeme do zelena
s aerovkou červenou jedeme nadílet,
cink, cink a ratata, jedeme nadílet.

Zubí se patníky,
jak si to kolem šinu,
chechtá se chocholouš a mává starý hrad.
Tak někdo rozváží mléko či zeleninu,
já vozím náladu a to já strašně rád, 
cink, cink a ratata,
a to já strašně rád.";;;;;;Eduard Hofman;;False;;;0+;;;True;False;;/cervena-aerovka-1960-czdab/240b75d37b0952ec;;
125630;Cesta do Prahy Vincence Moštka a Šimona Pešla z Vlčnova l. p. 1969;0;;m;1969;90.0;30.0;https://prod-fdb-storage.fra1.cdn.digitaloceanspaces.com/placeholders/General.png;125630-cesta-do-prahy-vincence-mostka-a-simona-pesla-z-vlcnova-l-p-1969;Československo;dokument;"Cesta do Prahy - Dědáček (prac. název); The Journey of Vincence Mostek and Simon Pesl of Vlcnov to Prague A.D. 1969";"Osobitý hrdina hraného dokumentu <a href=""https://www.fdb.cz/film/30080-dedacek"">Dědáček</a> pan Moštek a jeho přítel byli pozváni do Prahy. Svou cestu komentují se svérázným humorem, který je naplněn životní moudrostí zralého věku. Pokračování dokumentu <a href=""https://www.fdb.cz/osobnost/1852-jaromil-jires"">Jaromil Jireš</a> Dědáček, ve kterém jeho hlavní protagonista vyhověl režisérovu naléhání a se svým přítelem zavítali do Prahy. Dva čiperní staříci obcházejí pražské památky a bedlivá kamera zaznamenává jejich komentáře. Zastihneme je u pamětihodností, ale třeba také u podstavce někdejšího Stalinova pomníku nebo na striptýzové produkci. Jireš postihuje nejen osobnosti obou staříků, to, jak se projevují v cizím, nezvyklém prostředí, ale také atmosféru tak zvaně krizového období, jak se vtělí třeba do pouličního nápisu <a href=""https://www.fdb.cz/osobnost/217229-alexander-dubcek"">Alexander Dubček</a> = Svoboda.

Zdroj: Letní filmová škola";;;;;;Jaromil Jireš, Vladimír Skalský;Vincenc Moštěk, Šimon Pešl;False;;;;tt0171166;;True;False;;;;
