iRating;iId;sType;sMovie;iYear;sCountry;sGenre;sDirector;sActors;sAward
85,20%;714;s;Olověné děti;2026;Polsko;Drama;Maciej Pieprzyca;Joanna Kulig, Agata Kulesza;
83,60%;1257;s;Rytíř Sedmi království;2026;USA;Akční / Dobrodružný;Owen Harris, Sarah Adina Smith;Peter Claffey, Dexter Sol Ansell;
79,30%;2082;m;Poberta;2026;Česko;Krimi / Komedie;Ondřej Hudeček;Matyáš Řezníček, Václav Neužil;
74,80%;2419;m;Princezna stokrát jinak;2026;Česko / Slovensko;Pohádka;Miloslav Šmídmajer;Filip Březina, Ema Klangová Businská;
91,50%;80;s;Urgent;2025;USA;Drama;John Wells, Amanda Marsalis;Noah Wyle, Katherine LaNasa;
91,40%;87;m;Yungblud. Are You Ready, Boy?;2025;Velká Británie;Hudební / Dokumentární;Paul Dugdale;Yungblud;
91,30%;88;s;Dexter: Vzkříšení;2025;USA;Krimi / Drama;Marcos Siega, Monica Raymund;Michael C. Hall, Jack Alcott;
90,30%;136;m;Ozzy: Z teď není úniku;2025;USA / Velká Británie;Dokumentární / Hudební;Tania Alexander;Ozzy Osbourne, Sharon Osbourne;
89,90%;149;m;Přísahám, že za to nemůžu;2025;Velká Británie;Drama / Životopisný;Kirk Jones;Robert Aramayo, Shirley Henderson;
88,90%;212;m;Potopa;2025;Slovensko / Česko;Drama / Historický;Martin Gonda;Sára Chripáková, Jozef Pantlikáš;
88,50%;241;st;Brácha;2025;Česko;Drama / Krátkometrážní;Filip Špinka;Tom Brenton, Daniel John Rowland;
87,60%;328;m;Demon Slayer: Kimetsu no Yaiba Infinity Castle;2025;Japonsko;Animovaný / Akční;Hikaru Kondó, Haruo Sotozaki;Nacuki Hanae, Akari Kitó;
87,60%;329;s;The Mighty Nein;2025;USA;Animovaný / Akční;Eugene Lee, Ed Tadem;Laura Bailey, Liam O'Brien;
87,00%;396;s;Kaoru Hana wa Rin to Saku;2025;Japonsko;Animovaný / Drama;Mijuki Kuroki, Makoto Kató;Honoka Inoue, Jošinori Nakajama;
87,00%;397;st;Kapr;2025;Česko;Krátkometrážní / Komedie;Jan Ryba;Mikuláš Cholinský, Michal Kern;
86,90%;415;s;Země gangů;2025;USA;Krimi / Drama;Guy Ritchie, Anthony Byrne;Tom Hardy, Helen Mirren;
86,50%;485;m;EPiC: Elvis Presley in Concert;2025;Austrálie / USA;Dokumentární / Hudební;Baz Luhrmann;Elvis Presley, Sammy Davis Jr.;
86,00%;555;m;Hledám si reálnou práci;2025;Česko;Krátkometrážní;Veronika Ramertová;Petr Esterka, Petr Purmenský;
85,40%;662;s;Dobrá práce;2025;Jižní Korea;Drama / Historický;Won-seok Kim;IU, Bo-geum Park;
85,00%;773;m;Chainsaw Man – Film: Reze Arc;2025;Japonsko;Animovaný / Akční;Tacuja Jošihara;Toja Kikunosuke, Reina Ueda;
84,50%;952;s;Kdysi dávno v Americe;2025;USA;Akční / Drama;Peter Berg;Taylor Kitsch, Betty Gilpin;
82,80%;1522;m;Velký Marty;2025;USA / Finsko;Drama / Sportovní;Josh Safdie;Timothée Chalamet, Odessa A'zion;
82,50%;1617;m;F1;2025;USA;Akční / Sportovní;Joseph Kosinski;Brad Pitt, Damson Idris;
82,50%;1618;st;Stíny bezmoci;2025;Česko;Krátkometrážní;Matouš Vaďura;Tomáš Vobořil, Matyáš Řezníček;
82,30%;1674;st;Kůže na kůži;2025;Německo;Krátkometrážní / Drama;Simon Schneckenburger;Jonas Smulders, Jurij Drevenšek;
82,10%;1741;s;Spalující rivalita;2025;Kanada;Drama / Sportovní;Jacob Tierney;Hudson Williams, Connor Storrie;
79,60%;2071;m;Becoming Led Zeppelin;2025;Velká Británie / USA;Dokumentární / Hudební;Bernard MacMahon;Jimmy Page, John Paul Jones;
78,80%;2128;m;Otec;2025;Slovensko / Česko;Drama;Tereza Nvotová;Milan Ondrík, Dominika Morávková;
78,50%;2156;st;Vlček;2025;Česko;Krátkometrážní / Animovaný;Philippe Kastner;Adéla Majzlíková, Patrick Biela;
77,60%;2240;m;Dream Team;2025;Česko / Slovensko;Komedie / Sportovní;Jonáš Karásek;Martin Hofmann, Jakub Prachař;
77,50%;2251;st;Pes a vlk;2025;Česko;Krátkometrážní / Drama;Tereza Halamová;Tomáš Čapek, Kateřina Hulinská;
77,40%;2258;st;malý film o znásilnění;2025;Česko;Krátkometrážní / Experimentální;Nebe Motýlová;;
