idCsfd;sTitle;sType;iYear;iRating;iRuntime;urlPoster;urlCsfd;sCountry;sGenre;sTitle_EN;sStory;sCopyright;sTags;sSeries;sEpisodes;sDirector;sActor;sAuthor;sPlatforms;sNominated;sAwarded;urlDirector1;urlActor1;urlActor2;urlActor3;urlSource
326273;Parkway Drive: Home Is for the Heartless;m;2012;97,54716981;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/043/951/43951980_703dc9.jpg;https://www.csfd.cz/film/326273-parkway-drive-home-is-for-the-heartless/;USA;Dokumentární / Hudební;;"Film Parkway Drive: Home Is for the Heartless zachytáva nekonečné putovanie tejto metalcorovej senzácie z Byron Bay (Austrália) a umožňuje nazrieť na svet očami členov kapely. Hudobný dokument natáčaný v štyridsiatich dvoch krajinách na piatich kontinentoch má aj cestopisný charakter a poskytuje detailný pohľad na skupinu na javisku i mimo neho. Okrem ukážok tých najbláznivejších show, aké kapela mala, nechýbajú ani niektoré z ich najlepších dobrodružstiev a prenikavých spoločných momentov. Parkway Drive cestujú do viacerých zapadnutých oblastí, vrátane miest tretieho sveta, kde nikdy žiadna ""tvrdá"" medzinárodná kapela nehrala. Dokazujú tak, že miestni ľudia a kultúra sú živou súčasťou ich dobrodružstva. (Ollie.ver)";;;;;Ben Gordon;Winston McCall, Ben Gordon;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;;;;;
270353;Slayer: Still Reigning;m;2004;97,47126437;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/063/63991_b08004.jpg;https://www.csfd.cz/film/270353-slayer-still-reigning/;USA;Hudební / Dokumentární;;"DVD z koncertu amerických thrash metalových „řezníků“ Slayer. DVD obsahuje dvě části:Reign in Blood live 1. ""Angel of Death"" 2. ""Piece by Piece"" 3. ""Necrophobic"" 4. ""Altar of Sacrifice"" 5. ""Jesus Saves"" 6. ""Criminally Insane"" 7. ""Reborn"" 8. ""Epidemic"" 9. ""Postmortem"" 10. ""Raining Blood""Bonus materiál 1. ""War Ensemble"" 2. ""Hallowed Point"" 3. ""Necrophiliac"" 4. ""Mandatory Suicide"" 5. ""Spill the Blood"" 6. ""South of Heaven"" 7. ""Slayer in Their Own Words"" (interview) (Chatterer)";;metal;;;Dean Karr;Tom Araya, Kerry King;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;;;;;
683975;Černobyl;s;2019;96,11587733;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/163/798/163798914_da5cee.jpg;https://www.csfd.cz/film/683975-cernobyl/;USA / Velká Británie;Drama / Historický;Chernobyl;Černobyl, pětidílná minisérie z koprodukce společností HBO a Sky, rekonstruuje příběh o jaderné havárii z roku 1986, jedné z nejhorších katastrof v historii způsobených člověkem, a o obětech, které byly učiněny pro záchranu Evropy před nepředstavitelnou pohromou. Dne 26. dubna 1986 otřásla jadernou elektrárnou v Černobylu na Ukrajině mohutná exploze, která uvolnila nebezpečné radioaktivní látky nejen na ukrajinském, běloruském a ruském území tehdejšího Sovětského svazu, ale také do oblastí Skandinávie a západní Evropy. Jared Harris ztvárňuje Valerije Legasova, předního sovětského jaderného fyzika, který vedl vyšetřování tragické události. Stellan Skarsgård hraje sovětského místopředsedu vlády Borise Ščerbinu, kterého Kreml pověřil vedením vládní komise zjišťující okolnosti havárie. Emily Watsonová představuje jadernou fyzičku Ulanu Khomyukovou, která chce odhalit tajemství kolem černobylského neštěstí. (HBO Europe);V TV od 06.05.2019 Home Box Office;smrt, 20. století, strach, vyšetřování, politika, vojáci, lež, podle skutečného příběhu, armáda, nemocnice, soud, těhotenství, nehoda, sebevražda, vědci, věda, komunismus, období 1980-1990, výbuch, katastrofa, požár, oheň, tajná policie, záchranáři, radioaktivita, hasiči, Ukrajina, horníci, KGB, politický proces, Černobyl, elektrárna, nemoc z ozáření, jaderná elektrárna;0.0;5.0;Johan Renck;Jared Harris, Stellan Skarsgård, Emily Watson, Jessie Buckley, Paul Ritter, Adam Nagaitis, Robert Emms, Sam Troughton, Con O'Neill, Adrian Rawlins;;https://www.hbomax.com/cz/en/shows/chernobyl/396999a6-3fff-4af3-802b-10c46d10deff<br>http://www.hbo.eu<br>http://www.hbo.eu<br>/novinky/9735-hbo-chysta-serial-ze-sveta-hry-baldur-s-gate/<br>/novinky/9735-hbo-chysta-serial-ze-sveta-hry-baldur-s-gate/<br>/novinky/9735-hbo-chysta-serial-ze-sveta-hry-baldur-s-gate/<br>https://www.hbomax.com/cz/en/shows/chernobyl/396999a6-3fff-4af3-802b-10c46d10deff<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Golden Globes (2x)<br>Critics Choice Awards (3x)<br>;Golden Globes (2x)<br>Critics Choice Awards (1x)<br>;;;;;
308763;Nazi Concentration Camps;m;1945;95,3968254;59.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/170/559/170559687_3bctox.jpg;https://www.csfd.cz/film/308763-nazi-concentration-camps/;USA;Dokumentární;;;;Židé, koncentrační tábor;;;George Stevens;Dwight D. Eisenhower, George S. Patton;;https://www.netflix.com/title/81405890<br>https://www.netflix.com/title/81405890<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;;;;;
2294;Vykoupení z věznice Shawshank;m;1994;95,36082296;142;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/505/162505167_735db9.jpg;https://www.csfd.cz/film/2294-vykoupeni-z-veznice-shawshank/;USA;Drama / Krimi;The Shawshank Redemption;Strach dělá z lidí vězně. Naděje jim dává křídla. Film natočený podle novely Stephena Kinga. Strhující příběh o přátelství, naději a moudrosti s velmi výraznými hereckými i charakterovými osobnostmi. Andy Dufresne (Tim Robbins) přichází do vězení v Shawshanku jako nový vězeň podezřelý z vraždy. Spřátelí se s doživotně odsouzeným Redem (Morgan Freeman) a společně se snaží přežít v nelidském prostředí vězeňského systému. Odmítají upadnout do rezignace a dodávají naději sobě i spoluvězňům. Film získal mnoho ocenění filmové kritiky a díky svému hluboce humánnímu poselství, skvělým hereckým výkonům a působivému zpracování byl 7 x nominován na Oscara - za nejlepší film, herce v hlavní roli (Morgan Freeman), nejlepší scénář, kameru, hudbu, střih a zvuk.;14.10.1994 Columbia/Sony;muž, smrt, přátelství, přátelé, vražda, 20. století, násilí, policie, manželé, touha, útěk, zbraně, vrah, oběť (autonehody/zločinu), období 1940-1950, lež, sny, nevěra, vězení, boj o přežití, podvod, naděje, soud, stáří, nespravedlnost, sebevražda, korupce, podle povídky, šikana, křivé obvinění, iluze, milenec, svoboda, období 1950-1960, knihovna, doživotí, Maine;;;Frank Darabont;Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows, Mark Rolston, James Whitmore, Jeffrey DeMunn, Larry Brandenburg;Stephen King;https://www.netflix.com/title/70005379<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-shawshank-redemption/umc.cmc.459n4f98t82t8ommdoa7ebnny<br>https://www.youtube.com/watch?v=R2ljf7F4wgw<br>https://www.netflix.com/title/70005379<br>https://srv.clickfuse.com/ads/adclkr.php?id=100006636&url=https://tv.apple.com/cz/movie/the-shawshank-redemption/umc.cmc.459n4f98t82t8ommdoa7ebnny<br>https://www.youtube.com/watch?v=R2ljf7F4wgw<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;Academy Awards (7x)<br>Golden Globes (2x)<br>The Saturn Awards (3x)<br>;The Saturn Awards (1x)<br>;;;;;
761186;Critical Role;m;2015;95,2;;//static.pmgstatic.com/assets/images/050b5bad23b8eb0b4f88f971b8f6a168/empty-image.svg;https://www.csfd.cz/film/761186-critical-role/;USA;Dobrodružný / Fantasy;;Webseriál, kde skupina profesionálních dabérů streamuje hrání vlastních kampaní pro „Dungeons & Dragons“. První kampaň byla adaptována Amazon Studios do televizního animovaného seriálu The Legend of Vox Machina. (LeitoSE);;deskové hry;;;Matthew Mercer;Liam O'Brien, Matthew Mercer, Taliesin Jaffe, Marisha Ray, Ashley Johnson, Will Friedle, Ashly Burch, Nate Stevenson, Wil Wheaton, Felicia Day;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;;;;;
238965;Sepultura: Under Siege (Live in Barcelona);m;1991;95,12605042;;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/158/260/158260938_9248d0.jpg;https://www.csfd.cz/film/238965-sepultura-under-siege-live-in-barcelona/;Španělsko;Dokumentární / Hudební;;;;;;;;Max Cavalera;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;;;;;
326786;A Year with Armin van Buuren;m;2012;95,05882353;52.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/043/952/43952050_cdd0f3.jpg;https://www.csfd.cz/film/326786-a-year-with-armin-van-buuren/;Nizozemsko;Hudební / Dokumentární;;"Obyčejný člověk, který vede neobyčejný život. Superhvězda DJingu, Armin van Buuren, žije tak, jak by si mnoho z nás mohlo nechat jenom zdát. S vytrvalou vášní pro hudbu se tento rozený perfekcionista snaží zůstat na vrcholu, s čímž souvisí vypořádávání se s každodenním tlakem. Rok v životě Armina van Buurena vám poskytne bližší pohled na člověka stojícího v popředí nizozemského DJingu. Pojďme strávit jeden výjimečný rok jeho bouřlivého života… Davy skandují jeho jméno. Lidé si ho všude fotografují. Je vždy v pohybu, z jednoho klubu do druhého. Dny strávené v letadlech pro pár hodin toho, co mu jde nejlíp: potěšit dav. Nebýt lásky k muzice, Armin van Buuren by nikdy nebyl tam, kde teď je. Čtyřnásobný vítěz po sobě v anketě DJ Mag Top 100 a rytíř, na kterého byl pasován královnou své domovské země. Strůjce jedné z nejdéle vysílaných show v rádiu na poli dějin taneční hudby a majitel vydavatelství A State of Trance. Ale také manžel Eriky, lásky jeho života, a otec dcery Fenny. Věrný přítel k těm, kdo pochopí jeho nedostatek volného času a milující člen vřelé rodiny. Tento dokument vás vezme z jeho domova přes letiště s osobními tryskáči až přímo na párty. Ukáže vám osamělost prázdného hotelového pokoje a zavede vás až do samého žáru chvíle, kdy tisíce fanoušků očekávají svého hrdinu. Odhalí jeho perfekcionismus a neúprosné úsilí, stejně jako závislost na muzice. Od příprav světového turné k albu ""Mirage"" a telefonátu, který mu prozradí, zda si udrží první příčku v DJ Top 100, až po prohlídku domu, ve kterém vyrůstal a oznámení v rádiu, že bude otcem. Rok v životě Armina van Buurena není dalším zákulisním dokumentem. Je to Armin van Buuren, osobně. (mrx.friend)";;;;;;Armin van Buuren, Ferry Corsten;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;;;;;
597993;Pásky z Nagana;m;2018;94,96294554;73.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/162/467/162467520_f9ffb9.jpg;https://www.csfd.cz/film/597993-pasky-z-nagana/;USA / Česko / Kanada;Dokumentární / Sportovní;The Nagano Tapes;Olympijský hokejový Turnaj století v Naganu 1998 trochu z odstupu a nadhledu v dokumentu Ondřeje Hudečka. (Česká televize);;20. století, sláva, trenér, období 1990-2000, emigrace, hokej, turnaj, zápas, olympijské hry, bruslení;;;Ondřej Hudeček;Dominik Hašek, Jaromír Jágr, Petr Svoboda, Robert Záruba, Ivan Hlinka, Slavomír Lener, Michael Žantovský, Roman Hamrlík, Martin Straka, Giancarlo Esposito;;http://www.ceskatelevize.cz<br>https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;Ceny české filmové kritiky (1x)<br>;;;;;
271429;Creating the Lord of the Rings Symphony: A Composer's Journey Through Middle-Earth;m;2004;94,95495495;52.0;https://image.pmgstatic.com/cache/resized/w420/files/images/film/posters/000/064/64331_84beaf.jpg;https://www.csfd.cz/film/271429-creating-the-lord-of-the-rings-symphony-a-composer-s-journey-through-middle-earth/;Kanada;Dokumentární / Hudební;;Pouť skladatele Howarda Shora Středozemí obsahuje úryvky z koncertu Pána prstenů: Šest vět pro orchestr, sbor a sólisté. Dokument je doplněn komentářem Howarda Shora a ilustracemi Alana Leeho a Johna Howea. Záznam z koncertu byl nahrán v Salle Wilfrid-Pelletier, Place des Arts, Montreal, Kanada v únoru 2004. (kolya);;;;;;Howard Shore;;https://apps.apple.com/cz/app/id6755365206<br>https://play.google.com/store/apps/details?id=cz.csfd.csfdroid<br>;;;;;;;
