sName;Rok
Sully Prudhomme;1901
Theodor Mommsen;1902
Bjørnstjerne Bjørnson;1903
Frédéric Mistral;1904
José Echegaray;1904
Henryk Sienkiewicz;1905
Giosuè Carducci;1906
Rudyard Kipling;1907
Rudolf Christoph Eucken;1908
Selma Lagerlöf;1909
Paul von Heyse;1910
Maurice Maeterlinck;1911
Gerhart Hauptmann;1912
Rabíndranáth Thákur;1913
Romain Rolland;1915
Verner von Heidenstam;1916
Karl Adolph Gjellerup;1917
Henrik Pontoppidan;1917
Carl Spitteler;1919
Knut Hamsun;1920
Anatole France;1921
Jacinto Benavente;1922
William Butler Yeats;1923
Władysław Reymont;1924
George Bernard Shaw;1925
Grazia Deledda;1926
Henri Bergson;1927
Sigrid Unset;1928
Thomas Mann;1929
Sinclair Lewis;1930
Erik Axel Karlfeldt;1931
John Galsworthy;1932
Ivan Bunin;1933
Luigi Pirandello;1934
Eugene O'Neill;1936
Roger Martin du Gard;1937
Pearl Buck;1938
Frans Eemil Sillanpää;1939
Johannes Vilhelm Jensen;1944
Gabriela Mistral;1945
Hermann Hesse;1946
André Gide;1947
Thomas Stearns Eliot;1948
William Faulkner;1949
Bertrand Russell;1950
Pär Lagerkvist;1951
François Mauriac;1952
Winston Churchill;1953
Ernest Hemingway;1954
Halldór Laxness;1955
Juan Ramón Jiménez;1956
Albert Camus;1957
Boris Pasternak;1958
Salvatore Quasimodo;1959
Saint-John Perse;1960
Ivo Andrić;1961
John Steinbeck;1962
Giorgos Seferis;1963
Jean-Paul Sartre;1964
Michail Sholokhov;1965
Shmuel Yosef Agnon;1966
Nelly Sachsová;1966
Miguel Ángel Asturias;1967
Yasunari Kawabata;1968
Samuel Beckett;1969
Aleksandr Solženicyn;1970
Pablo Neruda;1971
Heinrich Böll;1972
Patrick White;1973
Eyvind Johnson;1974
Harry Martinson;1974
Eugenio Montale;1975
Saul Bellow;1976
Vicente Aleixandre;1977
Isaac Bashevis Singer;1978
Odysseas Elytis;1979
Czesław Miłosz;1980
Elias Canetti;1981
Gabriel García Márquez;1982
William Golding;1983
Jaroslav Seifert;1984
Claude Simon;1985
Wole Soyinka;1986
Josif Brodskij;1987
Naguib Mahfouz;1988
Camilo José Cela;1989
Octavio Paz;1990
Nadine Gordimer;1991
Derek Walcott;1992
Toni Morrisonová;1993
Kenzaburō Oe;1994
Seamus Heaney;1995
Wisława Szymborská;1996
Dario Fo;1997
José Saramago;1998
Günter Grass;1999
Gao Xingjian;2000
Vidiadhar Surajprasad Naipaul;2001
Imre Kertész;2002
John Maxwell Coetzee;2003
Elfriede Jelinek;2004
Harold Pinter;2005
Orhan Pamuk;2006
Doris Lessingová;2007
Jean-Marie Gustave Le Clézio;2008
Herta Müller;2009
Mario Vargas Llosa;2010
Tomáš Tranströmer;2011
Mo Yan;2012
Alice Munro;2013
Patrick Modiano;2014
Světlana Alexijevič;2015
Bob Dylan;2016
Kazuo Ishiguro;2017
Olga Tokarczuková;2018
Peter Handke;2019
Louise Glück;2020
Abdulrazak Gurnah;2021
Annie Ernaux;2022
Jon Fosse;2023
Han Kang;2024
László Krasznahorkai;2025
